,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Other,Solar,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Geothermal,Fossil Coal-derived gas,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,137.0,8983.75,3.0,947.5,1432.25,0.0,9.0,21.0,59.0,0.0,9.0,11601.5,0.0,286.25,11872.75,11601.5,12159.0,-557.5
2026-01-01 01:00:00+00:00,137.75,8893.5,3.0,938.25,1431.5,0.0,13.25,21.0,58.0,0.0,9.0,11505.25,0.0,503.75,11493.25,11505.25,11997.0,-491.75
2026-01-01 02:00:00+00:00,136.75,8298.0,3.0,916.0,1432.25,0.0,37.0,21.0,58.0,0.0,8.0,10910.0,0.0,664.5,11146.75,10910.0,11811.25,-901.25
2026-01-01 03:00:00+00:00,136.5,7475.5,2.5,892.0,1439.0,0.0,44.0,24.5,57.5,0.0,8.0,10079.5,0.0,84.0,10981.25,10079.5,11065.25,-985.75
2026-01-01 04:00:00+00:00,134.5,7193.0,2.0,870.75,1438.0,0.0,61.0,33.0,58.75,0.0,8.0,9799.0,0.5,0.0,11209.0,9799.5,11209.0,-1409.5
2026-01-01 05:00:00+00:00,136.0,7803.75,2.0,944.0,1425.75,0.0,70.0,40.5,81.5,0.0,9.25,10512.75,384.75,0.0,11866.75,10897.5,11866.75,-969.25
2026-01-01 06:00:00+00:00,136.0,8181.75,2.0,1103.5,1436.5,0.5,89.5,41.0,90.25,0.0,9.75,11090.75,1.5,0.0,12374.75,11092.25,12374.75,-1282.5
2026-01-01 07:00:00+00:00,136.0,6810.25,2.0,1066.75,1441.75,287.0,86.0,41.0,105.5,0.0,9.75,9986.0,271.75,0.0,12419.75,10257.75,12419.75,-2162.0
2026-01-01 08:00:00+00:00,137.75,5524.5,2.5,997.25,1445.25,1114.0,84.0,37.0,78.75,0.0,9.75,9430.75,364.5,0.0,12702.25,9795.25,12702.25,-2907.0
2026-01-01 09:00:00+00:00,137.0,5067.25,3.0,899.25,1449.25,1843.0,71.25,31.0,69.25,0.0,10.0,9580.25,0.0,6.75,12825.0,9580.25,12831.75,-3251.5
2026-01-01 10:00:00+00:00,137.5,5508.5,2.25,863.75,1443.0,2460.25,59.75,31.0,70.0,0.0,9.5,10585.5,0.0,492.0,13451.75,10585.5,13943.75,-3358.25
2026-01-01 11:00:00+00:00,137.5,5874.25,2.0,841.25,1438.75,2416.25,32.0,31.0,62.25,0.0,9.0,10844.25,0.0,474.0,13844.0,10844.25,14318.0,-3473.75
2026-01-01 12:00:00+00:00,137.5,6484.5,3.0,838.25,1445.0,1705.5,34.5,30.25,66.75,0.0,9.0,10754.25,0.0,365.0,13485.0,10754.25,13850.0,-3095.75
2026-01-01 13:00:00+00:00,138.0,6740.0,2.5,856.5,1439.75,1103.5,29.75,26.0,66.75,0.0,9.0,10411.75,0.0,143.75,13264.0,10411.75,13407.75,-2996.0
2026-01-01 14:00:00+00:00,136.25,7852.25,2.25,932.0,1438.75,428.5,34.25,26.0,69.25,0.0,9.0,10928.5,0.0,2.5,13408.25,10928.5,13410.75,-2482.25
2026-01-01 15:00:00+00:00,135.75,8358.25,2.0,1189.0,1438.75,47.75,42.5,26.0,86.0,0.0,9.0,11335.0,89.25,0.0,14077.0,11424.25,14077.0,-2652.75
2026-01-01 16:00:00+00:00,138.25,8346.5,2.75,1607.5,1439.75,0.0,47.0,26.0,183.5,0.0,9.25,11800.5,834.75,0.0,15239.0,12635.25,15239.0,-2603.75
2026-01-01 17:00:00+00:00,137.75,8424.75,2.5,1612.5,1449.0,0.0,55.0,29.0,286.5,0.0,9.5,12006.5,608.75,0.0,15677.25,12615.25,15677.25,-3062.0
2026-01-01 18:00:00+00:00,137.25,8463.0,2.75,1631.25,1449.5,0.0,48.5,31.0,301.0,0.0,9.75,12074.0,635.25,0.0,15847.0,12709.25,15847.0,-3137.75
2026-01-01 19:00:00+00:00,138.5,8629.75,3.0,1570.5,1449.5,0.0,45.25,31.0,177.75,0.0,10.0,12055.25,290.75,0.0,15304.25,12346.0,15304.25,-2958.25
2026-01-01 20:00:00+00:00,139.0,8806.75,3.0,1380.5,1456.75,0.0,40.5,27.0,80.5,0.0,10.0,11944.0,93.25,0.0,14479.0,12037.25,14479.0,-2441.75
2026-01-01 21:00:00+00:00,136.5,8715.75,3.0,1048.25,1441.75,0.0,47.25,21.0,69.75,0.0,8.0,11491.25,5.0,0.0,13297.25,11496.25,13297.25,-1801.0
2026-01-01 22:00:00+00:00,133.75,7617.5,3.0,957.25,1432.5,0.0,38.75,21.0,70.5,0.0,7.0,10281.25,0.0,65.75,12163.25,10281.25,12229.0,-1947.75
2026-01-01 23:00:00+00:00,134.0,6364.75,3.0,934.5,1426.25,0.0,39.25,21.0,75.75,0.0,7.0,9005.5,23.5,0.0,11290.25,9029.0,11290.25,-2261.25
2026-01-02 00:00:00+00:00,136.25,5371.5,2.75,904.25,1428.75,0.0,39.25,21.0,69.5,0.0,7.0,7980.25,49.5,0.0,10673.0,8029.75,10673.0,-2643.25
2026-01-02 01:00:00+00:00,136.5,4777.5,3.0,878.75,1426.5,0.0,34.0,21.0,70.75,0.0,7.75,7355.75,0.0,99.5,10344.75,7355.75,10444.25,-3088.5
2026-01-02 02:00:00+00:00,135.25,4799.0,2.75,862.75,1419.25,0.0,32.0,21.0,72.5,0.0,8.75,7353.25,0.0,217.0,10299.25,7353.25,10516.25,-3163.0
2026-01-02 03:00:00+00:00,136.5,5323.0,2.0,866.0,1418.25,0.0,32.0,24.5,72.25,0.0,9.5,7884.0,0.0,398.5,10502.0,7884.0,10900.5,-3016.5
2026-01-02 04:00:00+00:00,136.5,5406.5,2.0,879.0,1421.0,0.0,34.25,33.0,72.75,0.0,9.0,7994.0,0.0,59.5,11256.5,7994.0,11316.0,-3322.0
2026-01-02 05:00:00+00:00,137.5,6595.75,2.0,942.5,1407.5,0.0,35.5,38.0,82.0,0.0,9.0,9249.75,7.0,0.0,12998.75,9256.75,12998.75,-3742.0
2026-01-02 06:00:00+00:00,133.75,7159.0,2.25,1161.0,1416.0,0.25,48.0,38.0,102.5,0.0,8.0,10068.75,209.75,0.0,14678.0,10278.5,14678.0,-4399.5
2026-01-02 07:00:00+00:00,135.75,7256.75,2.0,1526.5,1407.25,198.25,52.25,38.0,181.5,0.0,8.0,10806.25,732.25,0.0,15934.75,11538.5,15934.75,-4396.25
2026-01-02 08:00:00+00:00,134.75,7196.5,2.25,1453.5,1412.0,910.25,57.5,37.25,108.5,0.0,8.25,11320.75,799.75,0.0,16785.0,12120.5,16785.0,-4664.5
2026-01-02 09:00:00+00:00,135.5,7730.0,2.0,1094.0,1417.0,1700.0,55.0,31.5,85.0,0.0,9.0,12259.0,98.0,0.0,16470.75,12357.0,16470.75,-4113.75
2026-01-02 10:00:00+00:00,136.25,7669.5,1.75,910.25,1417.75,2777.5,62.75,31.0,84.0,0.0,9.0,13099.75,0.0,114.25,16807.0,13099.75,16921.25,-3821.5
2026-01-02 11:00:00+00:00,136.25,7172.75,2.0,918.0,1425.25,3021.25,73.25,31.0,76.5,0.0,9.0,12865.25,0.0,417.75,16445.75,12865.25,16863.5,-3998.25
2026-01-02 12:00:00+00:00,137.75,7242.0,2.0,875.5,1432.75,2754.25,73.75,30.25,76.75,0.0,9.0,12634.0,0.0,265.75,15746.0,12634.0,16011.75,-3377.75
2026-01-02 13:00:00+00:00,137.25,7933.5,2.0,870.5,1441.0,1869.75,72.5,26.0,75.25,0.0,8.75,12436.5,0.0,88.25,15564.0,12436.5,15652.25,-3215.75
2026-01-02 14:00:00+00:00,135.25,8732.25,2.0,1005.5,1449.75,886.5,58.5,26.0,90.25,0.0,9.0,12395.0,62.25,0.0,15880.75,12457.25,15880.75,-3423.5
2026-01-02 15:00:00+00:00,135.5,9393.25,0.25,1390.0,1432.75,125.75,59.0,29.0,188.75,0.0,7.0,12761.25,275.75,0.0,16829.0,13037.0,16829.0,-3792.0
2026-01-02 16:00:00+00:00,137.0,9506.25,0.0,1727.75,1450.75,0.0,72.25,31.0,369.0,0.0,7.0,13301.0,754.5,0.0,18279.0,14055.5,18279.0,-4223.5
2026-01-02 17:00:00+00:00,137.25,9452.75,0.0,1769.0,1453.25,0.0,70.25,31.0,351.75,0.0,7.0,13272.25,955.25,0.0,18585.0,14227.5,18585.0,-4357.5
2026-01-02 18:00:00+00:00,136.0,9163.25,0.5,1757.75,1467.0,0.0,93.75,30.25,259.5,0.0,6.5,12914.5,1116.75,0.0,18377.5,14031.25,18377.5,-4346.25
2026-01-02 19:00:00+00:00,136.0,9269.0,2.0,1474.5,1467.0,0.0,110.25,26.0,168.75,0.0,6.75,12660.25,401.0,0.0,17295.25,13061.25,17295.25,-4234.0
2026-01-02 20:00:00+00:00,136.25,9239.0,2.0,1214.5,1462.0,0.0,74.75,25.25,96.5,0.0,6.75,12257.0,0.0,0.25,16023.75,12257.0,16024.0,-3767.0
2026-01-02 21:00:00+00:00,137.0,8573.25,2.5,1085.0,1446.5,0.0,59.0,21.0,79.75,0.0,6.5,11410.5,0.0,2.5,14701.75,11410.5,14704.25,-3293.75
2026-01-02 22:00:00+00:00,135.5,7228.0,2.0,989.0,1444.5,0.0,56.5,21.0,80.25,0.0,7.0,9963.75,0.0,12.0,13380.0,9963.75,13392.0,-3428.25
2026-01-02 23:00:00+00:00,134.75,5816.0,2.0,1040.75,1444.75,0.0,38.5,21.0,71.5,0.0,7.0,8576.25,0.0,260.5,12353.0,8576.25,12613.5,-4037.25
2026-01-03 00:00:00+00:00,135.0,5463.75,2.5,952.75,1442.75,0.0,35.5,21.0,71.25,0.0,7.0,8131.5,0.0,339.75,11787.25,8131.5,12127.0,-3995.5
2026-01-03 01:00:00+00:00,135.75,5544.75,3.0,933.25,1445.5,0.0,45.0,21.0,78.25,0.0,7.0,8213.5,0.0,562.75,11397.0,8213.5,11959.75,-3746.25
2026-01-03 02:00:00+00:00,136.0,5590.75,3.0,914.25,1453.25,0.0,54.0,21.0,85.5,0.0,9.5,8267.25,0.0,424.75,11229.5,8267.25,11654.25,-3387.0
2026-01-03 03:00:00+00:00,136.25,5622.0,3.0,948.5,1443.25,0.0,74.25,21.0,77.75,0.0,9.0,8335.0,0.0,363.5,11364.25,8335.0,11727.75,-3392.75
2026-01-03 04:00:00+00:00,134.75,6087.0,3.0,943.5,1432.5,0.0,77.0,26.5,77.25,0.0,9.0,8790.5,0.0,17.0,11944.0,8790.5,11961.0,-3170.5
2026-01-03 05:00:00+00:00,132.75,6859.0,3.0,1061.25,1434.75,0.0,62.25,35.25,239.0,0.0,9.0,9836.25,76.0,0.0,13203.0,9912.25,13203.0,-3290.75
2026-01-03 06:00:00+00:00,130.75,6940.75,3.0,1381.0,1442.0,0.25,41.0,36.0,378.0,0.0,9.0,10361.75,228.5,0.0,14553.5,10590.25,14553.5,-3963.25
2026-01-03 07:00:00+00:00,134.5,6710.5,3.0,1457.5,1431.25,223.25,40.75,36.0,325.0,0.0,10.0,10371.75,525.25,0.0,15435.5,10897.0,15435.5,-4538.5
2026-01-03 08:00:00+00:00,134.25,6921.0,3.0,1484.25,1443.75,1006.0,34.75,35.25,337.0,0.0,9.75,11409.0,374.5,0.0,16400.0,11783.5,16400.0,-4616.5
2026-01-03 09:00:00+00:00,134.25,6703.0,3.5,1475.5,1452.5,1787.75,28.25,31.0,450.75,0.0,10.0,12076.5,86.0,0.0,16487.75,12162.5,16487.75,-4325.25
2026-01-03 10:00:00+00:00,134.5,6771.25,4.0,1299.0,1449.75,2593.0,27.5,31.0,415.5,0.0,9.5,12735.0,0.0,75.75,16427.5,12735.0,16503.25,-3768.25
2026-01-03 11:00:00+00:00,133.25,6656.25,4.0,1257.0,1444.0,2802.75,30.0,30.25,302.75,0.0,9.0,12669.25,0.0,196.75,16018.0,12669.25,16214.75,-3545.5
2026-01-03 12:00:00+00:00,134.25,6941.75,4.5,1170.0,1448.0,2469.75,18.5,26.0,181.5,0.0,9.0,12403.25,0.0,406.5,15276.5,12403.25,15683.0,-3279.75
2026-01-03 13:00:00+00:00,132.75,7052.75,4.25,1268.75,1446.75,1596.75,14.5,26.0,407.5,0.0,9.0,11959.0,0.0,175.0,15196.0,11959.0,15371.0,-3412.0
2026-01-03 14:00:00+00:00,132.5,7526.75,0.25,1428.75,1448.5,730.0,14.0,26.0,378.25,0.0,9.0,11694.0,0.0,180.5,15547.0,11694.0,15727.5,-4033.5
