,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Other,Solar,Wind Onshore,Geothermal,Fossil Coal-derived gas,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,15.0,274.75,0.0,7.75,9.0,0.0,97.25,0.0,0.0,403.75,9.5,0.0,1656.5,413.25,1656.5,-1243.25
2026-01-01 01:00:00+00:00,15.25,269.5,0.0,5.0,9.0,0.0,112.75,0.0,0.0,411.5,0.0,0.0,1571.25,411.5,1571.25,-1159.75
2026-01-01 02:00:00+00:00,15.0,264.25,0.0,5.0,9.0,0.0,147.25,0.0,0.0,440.5,0.0,0.0,1476.5,440.5,1476.5,-1036.0
2026-01-01 03:00:00+00:00,15.0,263.75,0.0,5.0,9.0,0.0,167.25,0.0,0.0,460.0,0.0,0.0,1406.75,460.0,1406.75,-946.75
2026-01-01 04:00:00+00:00,15.0,264.75,0.0,5.0,9.0,0.0,208.75,0.0,0.0,502.5,0.0,0.25,1383.75,502.5,1384.0,-881.5
2026-01-01 05:00:00+00:00,15.0,266.0,0.0,8.5,8.75,0.0,233.0,0.0,0.0,531.25,0.0,2.0,1413.75,531.25,1415.75,-884.5
2026-01-01 06:00:00+00:00,15.0,279.75,0.0,8.75,8.5,25.0,278.5,0.0,0.0,615.5,0.0,0.0,1433.25,615.5,1433.25,-817.75
2026-01-01 07:00:00+00:00,15.0,269.0,0.0,9.0,9.5,286.75,384.0,0.0,0.0,973.25,1.0,0.0,1544.0,974.25,1544.0,-569.75
2026-01-01 08:00:00+00:00,15.0,263.0,0.0,5.0,10.0,668.75,396.25,0.0,0.0,1358.0,0.0,0.0,1738.0,1358.0,1738.0,-380.0
2026-01-01 09:00:00+00:00,15.0,262.5,0.0,5.0,10.0,934.75,388.75,0.0,0.0,1616.0,0.0,0.0,1905.0,1616.0,1905.0,-289.0
2026-01-01 10:00:00+00:00,15.0,262.25,0.0,5.0,9.0,1070.25,426.5,0.0,0.0,1788.0,0.0,7.0,2036.25,1788.0,2043.25,-255.25
2026-01-01 11:00:00+00:00,15.0,261.5,0.0,5.0,9.5,1104.75,496.0,0.0,0.0,1891.75,0.0,0.0,2135.75,1891.75,2135.75,-244.0
2026-01-01 12:00:00+00:00,15.0,262.25,0.0,5.0,10.0,882.75,591.25,0.0,0.0,1766.25,0.0,12.0,1978.75,1766.25,1990.75,-224.5
2026-01-01 13:00:00+00:00,15.0,324.5,0.0,7.0,9.75,615.0,704.0,0.0,0.0,1675.25,0.0,3.0,1731.75,1675.25,1734.75,-59.5
2026-01-01 14:00:00+00:00,15.0,532.75,0.0,7.75,9.0,250.25,679.5,0.0,0.0,1494.25,0.0,0.0,1669.25,1494.25,1669.25,-175.0
2026-01-01 15:00:00+00:00,15.0,835.25,0.0,5.0,9.0,39.0,694.5,0.0,0.0,1597.75,3.0,0.0,1776.0,1600.75,1776.0,-175.25
2026-01-01 16:00:00+00:00,15.0,1057.25,0.0,9.5,9.0,0.0,715.5,0.0,0.0,1806.25,6.0,0.0,1955.75,1812.25,1955.75,-143.5
2026-01-01 17:00:00+00:00,15.0,1059.0,0.0,8.75,9.0,0.0,785.25,0.0,0.0,1877.0,6.0,0.0,2022.25,1883.0,2022.25,-139.25
2026-01-01 18:00:00+00:00,15.0,1059.75,0.0,5.0,9.0,0.0,858.0,0.0,0.0,1946.75,0.0,0.0,2079.75,1946.75,2079.75,-133.0
2026-01-01 19:00:00+00:00,15.25,1055.75,0.0,5.0,9.0,0.0,794.25,0.0,0.0,1879.25,5.5,0.0,2110.75,1884.75,2110.75,-226.0
2026-01-01 20:00:00+00:00,16.0,1010.25,0.0,8.0,9.0,0.0,784.0,0.0,0.0,1827.25,0.0,0.0,2046.75,1827.25,2046.75,-219.5
2026-01-01 21:00:00+00:00,15.75,657.75,0.0,8.75,9.0,0.0,806.0,0.0,0.0,1497.25,0.0,0.0,1934.5,1497.25,1934.5,-437.25
2026-01-01 22:00:00+00:00,16.0,264.25,0.0,8.75,9.0,0.0,810.75,0.0,0.0,1108.75,0.0,0.75,1777.25,1108.75,1778.0,-669.25
2026-01-01 23:00:00+00:00,16.0,265.0,0.0,5.0,12.25,0.0,801.25,0.0,0.0,1099.5,0.0,0.0,1601.75,1099.5,1601.75,-502.25
2026-01-02 00:00:00+00:00,15.5,261.5,0.0,5.0,13.0,0.0,793.0,0.0,0.0,1088.0,0.0,1.5,1448.0,1088.0,1449.5,-361.5
2026-01-02 01:00:00+00:00,16.0,260.75,0.0,5.0,12.5,0.0,768.5,0.0,0.0,1062.75,0.0,3.0,1357.5,1062.75,1360.5,-297.75
2026-01-02 02:00:00+00:00,16.0,261.0,0.0,5.0,11.75,0.0,780.0,0.0,0.0,1073.75,0.0,10.0,1316.25,1073.75,1326.25,-252.5
2026-01-02 03:00:00+00:00,16.0,262.0,0.0,5.0,11.25,0.0,877.5,0.0,0.0,1171.75,0.0,12.0,1311.5,1171.75,1323.5,-151.75
2026-01-02 04:00:00+00:00,16.0,262.25,0.0,5.0,12.0,0.0,948.5,0.0,0.0,1243.75,0.0,3.0,1369.0,1243.75,1372.0,-128.25
2026-01-02 05:00:00+00:00,16.0,272.5,0.0,9.75,12.0,0.0,1090.5,0.0,0.0,1400.75,59.5,0.0,1513.5,1460.25,1513.5,-53.25
2026-01-02 06:00:00+00:00,15.75,293.25,0.0,9.5,12.25,46.25,1324.75,0.0,0.0,1701.75,126.25,0.0,1681.5,1828.0,1681.5,146.5
2026-01-02 07:00:00+00:00,16.0,293.0,0.0,9.75,13.0,344.75,1436.25,0.0,0.0,2112.75,132.5,0.0,1885.5,2245.25,1885.5,359.75
2026-01-02 08:00:00+00:00,15.75,299.5,0.0,5.0,13.75,760.0,1555.0,0.0,0.0,2649.0,121.75,0.0,2063.5,2770.75,2063.5,707.25
2026-01-02 09:00:00+00:00,14.0,277.5,0.0,5.0,14.0,1034.0,1726.25,0.0,0.0,3070.75,56.0,0.0,2136.25,3126.75,2136.25,990.5
2026-01-02 10:00:00+00:00,14.0,263.0,0.0,5.0,14.0,1100.5,1855.0,0.0,0.0,3251.5,0.0,11.0,2116.75,3251.5,2127.75,1123.75
2026-01-02 11:00:00+00:00,14.5,264.0,0.0,5.0,14.0,1183.5,1906.75,0.0,0.0,3387.75,0.0,51.75,2179.25,3387.75,2231.0,1156.75
2026-01-02 12:00:00+00:00,15.75,263.5,0.0,5.0,14.0,1044.75,1853.0,0.0,0.0,3196.0,0.0,164.0,2124.0,3196.0,2288.0,908.0
2026-01-02 13:00:00+00:00,16.0,323.75,0.0,5.0,13.0,835.25,1778.5,0.0,0.0,2971.5,0.0,123.0,2099.75,2971.5,2222.75,748.75
2026-01-02 14:00:00+00:00,16.0,527.5,0.0,5.0,13.75,451.5,1595.75,0.0,0.0,2609.5,0.0,0.0,2085.75,2609.5,2085.75,523.75
2026-01-02 15:00:00+00:00,15.75,782.0,0.0,8.75,14.0,77.75,1475.0,0.0,0.0,2373.25,2.0,0.0,2170.0,2375.25,2170.0,205.25
2026-01-02 16:00:00+00:00,15.75,1072.5,0.0,9.0,14.0,0.0,1347.0,0.0,0.0,2458.25,9.5,0.0,2390.5,2467.75,2390.5,77.25
