,Wind Onshore,Hydro Water Reservoir,Fossil Brown coal/Lignite,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,2.7885,135.0525,186.23,324.071,0.0,0.0,480.243,324.071,480.243,-156.17199999999997
2026-01-01 01:00:00+00:00,4.323,92.24325,185.515,282.08124999999995,0.0,0.0,439.619475,282.08124999999995,439.619475,-157.53822500000007
2026-01-01 02:00:00+00:00,1.65825,39.83925,185.02,226.5175,0.0,0.0,425.526225,226.5175,425.526225,-199.008725
2026-01-01 03:00:00+00:00,2.54925,32.175,186.065,220.78924999999998,0.0,0.0,402.160975,220.78924999999998,402.160975,-181.37172500000003
2026-01-01 04:00:00+00:00,6.6825,30.7725,186.78,224.235,0.0,0.0,385.65965,224.235,385.65965,-161.42464999999999
2026-01-01 05:00:00+00:00,4.983,16.01325,185.46,206.45625,0.0,0.0,398.921225,206.45625,398.921225,-192.46497499999998
2026-01-01 06:00:00+00:00,1.914,58.81425,184.8,245.52825,0.0,0.0,424.213375,245.52825,424.213375,-178.68512499999997
2026-01-01 07:00:00+00:00,0.0,59.93625,186.23,246.16625,0.0,0.0,469.789225,246.16625,469.789225,-223.622975
2026-01-01 08:00:00+00:00,0.0,83.3415,184.58,267.92150000000004,0.0,0.0,484.711425,267.92150000000004,484.711425,-216.78992499999998
2026-01-01 09:00:00+00:00,0.396,45.738,184.855,230.98899999999998,0.0,0.0,531.9398,230.98899999999998,531.9398,-300.9508
2026-01-01 10:00:00+00:00,2.2605,30.03,184.8,217.09050000000002,0.0,0.0,492.76115,217.09050000000002,492.76115,-275.67064999999997
2026-01-01 11:00:00+00:00,6.105,30.02175,185.68,221.80675000000002,0.0,0.0,488.8893,221.80675000000002,488.8893,-267.08254999999997
2026-01-01 12:00:00+00:00,8.118,30.03,185.46,223.608,0.0,0.0,494.648775,223.608,494.648775,-271.040775
2026-01-01 13:00:00+00:00,16.863,30.03,184.91,231.803,0.0,0.0,477.49185,231.803,477.49185,-245.68885
2026-01-01 14:00:00+00:00,26.466,31.4325,185.57,243.4685,0.0,0.0,499.74175,243.4685,499.74175,-256.27325
2026-01-01 15:00:00+00:00,31.0035,346.6485,186.01,563.662,0.0,0.0,552.668025,563.662,552.668025,10.993975000000091
2026-01-01 16:00:00+00:00,21.252,380.1435,185.185,586.5805,0.0,0.0,588.5839,586.5805,588.5839,-2.0033999999999423
2026-01-01 17:00:00+00:00,13.563,384.846,185.68,584.0889999999999,0.0,0.0,605.17485,584.0889999999999,605.17485,-21.08585000000005
2026-01-01 18:00:00+00:00,7.425,385.638,185.02,578.083,0.0,0.0,609.82535,578.083,609.82535,-31.742349999999988
2026-01-01 19:00:00+00:00,7.854,383.262,186.725,577.841,0.0,0.0,595.697175,577.841,595.697175,-17.856175000000007
2026-01-01 20:00:00+00:00,18.4305,269.8245,185.405,473.65999999999997,0.0,0.0,588.96185,473.65999999999997,588.96185,-115.30185000000006
2026-01-01 21:00:00+00:00,44.4345,190.509,185.295,420.23849999999993,0.0,0.0,548.893975,420.23849999999993,548.893975,-128.65547500000002
2026-01-01 22:00:00+00:00,53.74875,49.533,186.945,290.22675,0.0,0.0,506.8832,290.22675,506.8832,-216.65645
2026-01-01 23:00:00+00:00,58.08,134.07075,186.01,378.16075,0.0,0.0,466.334575,378.16075,466.334575,-88.17382499999997
2026-01-02 00:00:00+00:00,63.05475,38.3955,186.23,287.68025,0.0,0.0,419.73025,287.68025,419.73025,-132.05
2026-01-02 01:00:00+00:00,76.593,0.33,185.515,262.438,0.0,0.0,387.558775,262.438,387.558775,-125.12077500000004
2026-01-02 02:00:00+00:00,80.39625,0.0,185.68,266.07625,0.0,0.0,362.951325,266.07625,362.951325,-96.87507499999998
2026-01-02 03:00:00+00:00,88.473,0.0,185.515,273.988,0.0,0.0,352.6018,273.988,352.6018,-78.61380000000003
2026-01-02 04:00:00+00:00,98.05125,0.0,184.965,283.01625,0.0,0.0,356.9602,283.01625,356.9602,-73.94394999999997
2026-01-02 05:00:00+00:00,102.993,0.396,186.175,289.564,0.0,0.0,382.090975,289.564,382.090975,-92.526975
2026-01-02 06:00:00+00:00,104.8905,40.11975,185.9,330.91025,0.0,0.0,418.4113,330.91025,418.4113,-87.50104999999996
2026-01-02 07:00:00+00:00,103.158,56.15775,185.955,345.27075,0.0,0.0,489.670525,345.27075,489.670525,-144.39977499999998
2026-01-02 08:00:00+00:00,104.544,108.39675,184.69,397.63075,0.0,0.0,566.8057,397.63075,566.8057,-169.17495000000002
2026-01-02 09:00:00+00:00,103.554,136.44675,185.295,425.29575,0.0,0.0,574.631875,425.29575,574.631875,-149.33612500000004
2026-01-02 10:00:00+00:00,99.957,155.7105,185.13,440.7975,0.0,0.0,597.34635,440.7975,597.34635,-156.54885000000002
2026-01-02 11:00:00+00:00,100.46025,128.0565,185.735,414.25175,0.0,0.0,592.9217,414.25175,592.9217,-178.66994999999997
2026-01-02 12:00:00+00:00,109.22175,114.73275,186.01,409.9645,0.0,0.0,576.86335,409.9645,576.86335,-166.89884999999998
2026-01-02 13:00:00+00:00,107.76975,137.30475,184.47,429.54449999999997,0.0,0.0,557.80405,429.54449999999997,557.80405,-128.25955
2026-01-02 14:00:00+00:00,103.46325,285.4005,186.01,574.87375,0.0,0.0,554.6495,574.87375,554.6495,20.224249999999984
2026-01-02 15:00:00+00:00,103.983,297.20625,185.57,586.7592500000001,0.0,0.0,544.3469,586.7592500000001,544.3469,42.41235000000006
2026-01-02 16:00:00+00:00,102.069,294.73125,185.075,581.87525,0.0,0.0,560.042575,581.87525,560.042575,21.832674999999995
2026-01-02 17:00:00+00:00,104.049,280.005,185.46,569.514,0.0,0.0,564.201075,569.514,564.201075,5.312925000000064
2026-01-02 18:00:00+00:00,101.86275,278.13225,185.24,565.235,0.0,0.0,556.4388,565.235,556.4388,8.796199999999999
2026-01-02 19:00:00+00:00,106.46625,270.699,186.285,563.45025,0.0,0.0,546.9212,563.45025,546.9212,16.529049999999984
2026-01-02 20:00:00+00:00,106.3425,250.64325,185.735,542.72075,0.0,0.0,529.073525,542.72075,529.073525,13.647224999999935
2026-01-02 21:00:00+00:00,105.798,133.60875,185.02,424.42674999999997,0.0,0.0,501.340075,424.42674999999997,501.340075,-76.91332500000004
2026-01-02 22:00:00+00:00,108.38025,101.5245,184.855,394.75975,0.0,0.0,471.291875,394.75975,471.291875,-76.53212500000001
2026-01-02 23:00:00+00:00,108.2565,37.84275,184.085,330.18425,0.0,0.0,423.070725,330.18425,423.070725,-92.88647499999996
2026-01-03 00:00:00+00:00,109.45275,28.88325,184.415,322.751,0.0,0.0,373.496775,322.751,373.496775,-50.74577500000004
2026-01-03 01:00:00+00:00,109.4775,19.041,183.81,312.3285,0.0,0.0,334.08775,312.3285,334.08775,-21.75925000000001
2026-01-03 02:00:00+00:00,108.56175,18.2985,185.13,311.99025,0.0,0.0,310.9708,311.99025,310.9708,1.0194500000000062
2026-01-03 03:00:00+00:00,107.349,20.97975,185.35,313.67875000000004,0.0,0.0,296.4023,313.67875000000004,296.4023,17.27645000000001
