,Biomass,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore,Hydro Water Reservoir,Other renewable,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,0.0,334.51696525,0.0,0.0,6.003175,908.357851,2391.862594,25.0,3665.74058525,43.393257000000006,0.0,3616.6724999999997,3709.1338422500003,3616.6724999999997,92.4613422500006
2026-01-01 01:00:00+00:00,0.0,332.92209925,0.0,0.0,5.32119175,896.845242,2215.1227065000003,25.0,3475.2112395000004,42.1601975,0.0,3583.8975,3517.3714370000002,3583.8975,-66.5260629999998
2026-01-01 02:00:00+00:00,0.0,323.87174025,0.0,0.0,5.75946875,913.18718225,1885.872091,25.0,3153.69048225,35.83168825,0.0,3577.5825,3189.5221705,3577.5825,-388.0603295000001
2026-01-01 03:00:00+00:00,0.0,321.77252325,0.0,0.0,5.659221,920.64060775,1654.3267555,25.0,2927.3991075,35.68368075,0.0,3573.085,2963.08278825,3573.085,-610.0022117500002
2026-01-01 04:00:00+00:00,0.0,320.40270725,0.0,0.0,3.4181015,952.1054075,1498.790873,25.0,2799.71708925,35.915687750000004,0.0,3586.06,2835.632777,3586.06,-750.4272230000001
2026-01-01 05:00:00+00:00,0.0,316.94456575,0.0,0.0,4.62489875,1019.17589475,1330.7602630000001,25.0,2696.50562225,35.78291625,0.0,3619.42,2732.2885385000004,3619.42,-887.1314614999997
2026-01-01 06:00:00+00:00,0.0,319.2625665,0.0,0.0,5.39954275,1137.41297625,1397.88362175,25.0,2884.95870725,32.37341025,0.0,3683.4375,2917.3321174999996,3683.4375,-766.1053825000004
2026-01-01 07:00:00+00:00,0.0,320.27920075,0.0,0.0,5.48947525,1085.15802475,1439.86329325,25.0,2875.7899939999998,31.68067875,0.0,3757.055,2907.4706727499997,3757.055,-849.5843272500001
2026-01-01 08:00:00+00:00,0.0,318.462186,0.0,0.0,6.02786225,1042.83176175,1448.73189675,25.0,2841.05370675,35.76677275,0.0,3811.9425,2876.8204795,3811.9425,-935.1220205
2026-01-01 09:00:00+00:00,0.0,318.495809,0.0,0.0,6.335319,949.927586,1572.4939585,25.0,2872.2526725,37.1491295,0.0,3861.9275,2909.401802,3861.9275,-952.5256979999999
2026-01-01 10:00:00+00:00,0.0,321.38229075,0.0,0.0,6.063363,1080.09998075,1646.7183209999998,25.0,3079.2639554999996,37.58337225,0.0,3885.91,3116.8473277499997,3885.91,-769.0626722500001
2026-01-01 11:00:00+00:00,0.0,319.76990625,0.0,0.0,6.102546,1132.62652,1630.0237455000001,25.0,3113.52271775,45.7943295,0.0,3895.0475,3159.31704725,3895.0475,-735.73045275
