,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Wind Offshore,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,338.5,727.6,1101.1,29.6,0.0,6.6,2145.8,0.0,932.1,5281.3,451.9,0.0,5831.0,5733.2,5831.0,-97.80000000000018
2026-01-01 01:00:00+00:00,339.3,689.9,977.3,28.5,0.0,10.2,2242.9,0.0,938.1,5226.200000000001,433.3,0.0,5614.9,5659.500000000001,5614.9,44.60000000000127
2026-01-01 02:00:00+00:00,342.0,611.0999999999999,953.0,29.2,0.0,12.1,2295.5,0.0,586.2,4829.099999999999,0.0,125.60000000000002,5210.2,4829.099999999999,5335.8,-506.7000000000007
2026-01-01 03:00:00+00:00,341.1,596.5,873.6999999999999,28.6,0.1,11.7,2308.7,0.0,684.0,4844.4,0.0,822.4,4887.8,4844.4,5710.2,-865.8000000000002
2026-01-01 04:00:00+00:00,337.9,597.3,761.1999999999999,29.2,0.0,12.2,2367.4,0.0,648.3000000000001,4753.5,0.0,1179.1,4658.7,4753.5,5837.799999999999,-1084.2999999999993
2026-01-01 05:00:00+00:00,334.8,670.1999999999999,858.0,27.9,0.0,13.6,2274.0,0.0,609.5,4788.0,0.0,1134.7,4539.1,4788.0,5673.8,-885.8000000000002
2026-01-01 06:00:00+00:00,339.3,592.9,867.6999999999999,29.1,0.0,14.3,2309.3,0.0,643.7,4796.3,0.0,603.5999999999999,4530.6,4796.3,5134.200000000001,-337.90000000000055
2026-01-01 07:00:00+00:00,342.4,541.0,956.2,30.0,0.1,15.1,2693.2,0.0,533.1,5111.1,0.0,1243.8,4549.0,5111.1,5792.8,-681.6999999999998
2026-01-01 08:00:00+00:00,337.7,600.1,927.2,28.8,27.7,20.0,2987.4,0.0,514.6,5443.5,0.0,1850.8999999999999,4650.4,5443.5,6501.299999999999,-1057.7999999999993
2026-01-01 09:00:00+00:00,336.8,671.6999999999999,703.8000000000001,28.3,144.0,19.6,3209.5,0.0,492.0,5605.7,0.0,2000.8999999999999,5093.0,5605.7,7093.9,-1488.1999999999998
2026-01-01 10:00:00+00:00,332.2,730.3000000000001,726.4,28.6,267.2,21.1,3325.3,0.0,556.0,5987.1,0.0,1917.8,5740.7,5987.1,7658.5,-1671.3999999999996
2026-01-01 11:00:00+00:00,312.2,692.3,691.0,26.9,381.4,25.0,3345.9,0.0,610.9,6085.6,0.0,1720.3000000000002,6377.4,6085.6,8097.7,-2012.0999999999995
2026-01-01 12:00:00+00:00,312.4,650.4,696.1,27.2,432.7,25.0,3333.3,0.0,617.7,6094.8,0.0,1348.7,6774.5,6094.8,8123.2,-2028.3999999999996
2026-01-01 13:00:00+00:00,315.7,704.0,714.9,28.4,376.9,25.0,3296.5,0.0,696.2,6157.599999999999,0.0,1180.3,6632.2,6157.599999999999,7812.5,-1654.9000000000005
2026-01-01 14:00:00+00:00,316.0,649.0,697.4,28.1,256.4,25.0,3251.1,0.0,731.6,5954.6,0.0,1205.6,6442.6,5954.6,7648.200000000001,-1693.6000000000004
2026-01-01 15:00:00+00:00,312.7,660.9,777.6,27.7,159.2,25.0,3315.9,0.0,734.7,6013.7,0.0,68.5,6390.8,6013.7,6459.3,-445.60000000000036
2026-01-01 16:00:00+00:00,311.7,621.1999999999999,1527.6,27.6,44.7,19.4,3373.7,0.0,798.4,6724.299999999999,704.5999999999999,0.0,6482.2,7428.9,6482.2,946.6999999999998
2026-01-01 17:00:00+00:00,313.1,676.7,1840.5,28.0,0.7,16.7,3566.4,0.0,877.3,7319.400000000001,1568.3,0.0,6907.7,8887.7,6907.7,1980.000000000001
2026-01-01 18:00:00+00:00,309.4,695.2,1818.1,26.6,0.0,25.0,3637.4,0.0,952.2,7463.9,1974.8999999999999,0.0,7274.3,9438.8,7274.3,2164.499999999999
2026-01-01 19:00:00+00:00,307.5,757.8,1722.6,26.3,0.1,25.0,3750.5,0.0,1027.3999999999999,7617.199999999999,2182.1,0.0,7427.2,9799.3,7427.2,2372.0999999999995
