,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Nuclear,Solar,Wind Onshore,Fossil Hard coal,Hydro Water Reservoir,Fossil Brown coal/Lignite,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,46.0,1772.0,540.25,1225.5,0.0,354.75,0.0,408.0,531.0,4877.5,11.25,0.0,5513.75,4888.75,5513.75,-625.0
2026-01-01 01:00:00+00:00,46.5,1752.0,539.25,1225.75,0.0,287.5,0.0,349.0,534.25,4734.25,6.0,0.0,5360.5,4740.25,5360.5,-620.25
2026-01-01 02:00:00+00:00,46.5,1765.5,575.0,1225.0,0.0,164.0,0.0,368.0,539.0,4683.0,14.5,0.0,5277.75,4697.5,5277.75,-580.25
2026-01-01 03:00:00+00:00,46.5,1762.5,615.0,1223.75,0.0,109.5,0.0,379.5,530.5,4667.25,5.75,0.0,5285.75,4673.0,5285.75,-612.75
2026-01-01 04:00:00+00:00,47.0,1712.75,619.0,1224.25,0.0,144.25,0.0,448.5,534.0,4729.75,8.25,0.0,5287.0,4738.0,5287.0,-549.0
2026-01-01 05:00:00+00:00,45.0,1702.25,708.0,1225.0,0.0,269.0,0.0,396.75,508.5,4854.5,5.0,0.0,5209.75,4859.5,5209.75,-350.25
2026-01-01 06:00:00+00:00,45.25,1657.5,594.25,1226.25,60.0,624.75,0.0,385.5,496.5,5090.0,33.0,0.0,5106.75,5123.0,5106.75,16.25
2026-01-01 07:00:00+00:00,44.5,1648.0,570.0,1226.75,291.5,780.0,0.0,345.25,491.5,5397.5,53.75,0.0,4938.25,5451.25,4938.25,513.0
2026-01-01 08:00:00+00:00,44.75,1639.75,572.75,1227.25,542.75,759.0,0.0,327.75,503.25,5617.25,102.75,0.0,4732.5,5720.0,4732.5,987.5
2026-01-01 09:00:00+00:00,44.5,1612.0,588.0,1228.0,721.5,938.75,0.0,313.5,484.5,5930.75,19.5,0.0,4625.25,5950.25,4625.25,1325.0
2026-01-01 10:00:00+00:00,44.25,1561.75,488.25,1228.0,728.75,1343.5,0.0,212.25,466.5,6073.25,6.5,0.0,4678.75,6079.75,4678.75,1401.0
2026-01-01 11:00:00+00:00,44.5,1553.25,434.75,1226.25,695.25,1620.25,0.0,187.5,475.5,6237.25,5.5,0.0,4680.75,6242.75,4680.75,1562.0
2026-01-01 12:00:00+00:00,43.0,1572.0,436.75,1226.25,542.0,1704.75,0.0,192.5,486.5,6203.75,7.0,0.0,4844.75,6210.75,4844.75,1366.0
