,Fossil Gas,Hydro Run-of-river and poundage,Wind Onshore,Hydro Water Reservoir,Fossil Brown coal/Lignite,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,21.0,347.0,62.694,0.0,3024.0,3454.694,0.0,0.0,4604.0,3454.694,4604.0,-1149.306
2026-01-01 01:00:00+00:00,21.0,365.0,57.754,0.0,3043.0,3486.754,0.0,0.0,4445.0,3486.754,4445.0,-958.2460000000001
2026-01-01 02:00:00+00:00,21.0,383.0,75.729,0.0,3052.0,3531.729,0.0,0.0,4243.0,3531.729,4243.0,-711.2710000000002
2026-01-01 03:00:00+00:00,21.0,430.0,104.651,0.0,2981.0,3536.651,0.0,0.0,4048.0,3536.651,4048.0,-511.34900000000016
2026-01-01 04:00:00+00:00,21.0,561.0,83.565,0.0,2915.0,3580.565,0.0,0.0,3942.0,3580.565,3942.0,-361.43499999999995
2026-01-01 05:00:00+00:00,29.0,631.0,84.566,0.0,2916.0,3660.566,0.0,0.0,3948.0,3660.566,3948.0,-287.4340000000002
2026-01-01 06:00:00+00:00,34.0,609.0,90.209,0.0,2889.0,3622.209,0.0,0.0,3889.0,3622.209,3889.0,-266.79100000000017
2026-01-01 07:00:00+00:00,39.0,516.0,82.55,0.0,2944.0,3581.55,0.0,0.0,4067.0,3581.55,4067.0,-485.4499999999998
2026-01-01 08:00:00+00:00,61.0,576.0,82.429,0.0,2904.0,3623.429,0.0,0.0,4278.0,3623.429,4278.0,-654.5709999999999
2026-01-01 09:00:00+00:00,75.0,477.0,78.385,0.0,2951.0,3581.385,0.0,0.0,4375.0,3581.385,4375.0,-793.6149999999998
2026-01-01 10:00:00+00:00,81.0,385.0,57.699,0.0,2994.0,3517.699,0.0,0.0,4410.0,3517.699,4410.0,-892.3009999999999
2026-01-01 11:00:00+00:00,81.0,325.0,85.265,0.0,3016.0,3507.265,0.0,0.0,4395.0,3507.265,4395.0,-887.7350000000001
2026-01-01 12:00:00+00:00,83.0,326.0,115.593,0.0,2974.0,3498.593,0.0,0.0,4325.0,3498.593,4325.0,-826.4070000000002
2026-01-01 13:00:00+00:00,82.0,371.0,147.544,0.0,2947.0,3547.544,0.0,0.0,4248.0,3547.544,4248.0,-700.4560000000001
2026-01-01 14:00:00+00:00,83.0,746.0,261.764,0.0,2930.0,4020.764,0.0,0.0,4301.0,4020.764,4301.0,-280.2359999999999
2026-01-01 15:00:00+00:00,86.0,703.0,422.0,0.0,2937.0,4148.0,0.0,0.0,4556.0,4148.0,4556.0,-408.0
2026-01-01 16:00:00+00:00,86.0,800.0,446.163,0.0,2932.0,4264.1630000000005,0.0,0.0,4661.0,4264.1630000000005,4661.0,-396.83699999999953
2026-01-01 17:00:00+00:00,86.0,741.0,446.965,0.0,2966.0,4239.965,0.0,0.0,4611.0,4239.965,4611.0,-371.03499999999985
2026-01-01 18:00:00+00:00,86.0,673.0,453.781,0.0,3040.0,4252.781,0.0,0.0,4633.0,4252.781,4633.0,-380.21900000000005
