,Other,Solar,Wind Onshore,Hydro Water Reservoir,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,24.921750000000003,0.0,174.37,2759.5955,2958.8872499999998,0.0,0.0,1564.25,2958.8872499999998,1564.25,1394.6372499999998
2026-01-01 01:00:00+00:00,24.867,0.0,176.72625,2510.44225,2712.0355,0.0,0.0,1570.5,2712.0355,1570.5,1141.5355
2026-01-01 02:00:00+00:00,24.767,0.0,199.68574999999998,2214.5865,2439.03925,0.0,0.0,1539.25,2439.03925,1539.25,899.7892499999998
2026-01-01 03:00:00+00:00,24.77675,0.0,251.05475,2026.0085,2301.84,0.0,0.0,1564.0,2301.84,1564.0,737.8400000000001
2026-01-01 04:00:00+00:00,24.775,0.0,314.75800000000004,1974.549,2314.082,0.0,0.0,1512.25,2314.082,1512.25,801.8319999999999
2026-01-01 05:00:00+00:00,24.782,0.0,445.67375,1945.4904999999999,2415.94625,0.0,0.0,1601.75,2415.94625,1601.75,814.19625
2026-01-01 06:00:00+00:00,24.786749999999998,0.0,539.15825,2127.91775,2691.8627500000002,0.0,0.0,1621.25,2691.8627500000002,1621.25,1070.6127500000002
2026-01-01 07:00:00+00:00,24.805,0.0,598.51275,2155.7945,2779.11225,0.0,0.0,1740.5,2779.11225,1740.5,1038.6122500000001
2026-01-01 08:00:00+00:00,24.794,0.0,650.3615,2155.603,2830.7585,0.0,0.0,1836.5,2830.7585,1836.5,994.2584999999999
2026-01-01 09:00:00+00:00,24.7255,0.0,663.5375,2217.46925,2905.73225,0.0,0.0,1976.5,2905.73225,1976.5,929.23225
2026-01-01 10:00:00+00:00,24.7315,0.00575,654.42125,2304.7225,2983.881,0.0,0.0,2052.5,2983.881,2052.5,931.3809999999999
2026-01-01 11:00:00+00:00,24.73075,0.006500000000000001,694.9945,2320.5389999999998,3040.2707499999997,0.0,0.0,2197.0,3040.2707499999997,2197.0,843.2707499999997
2026-01-01 12:00:00+00:00,24.72025,0.002,799.441,2354.84,3179.00325,0.0,0.0,2198.0,3179.00325,2198.0,981.0032500000002
2026-01-01 13:00:00+00:00,24.7185,0.0,653.59875,2363.57,3041.88725,0.0,0.0,1974.5,3041.88725,1974.5,1067.3872500000002
2026-01-01 14:00:00+00:00,24.7285,0.0,787.94425,2521.03775,3333.7105,0.0,0.0,2024.25,3333.7105,2024.25,1309.4605000000001
