,Fossil Gas,Nuclear,Other,Solar,Wind Onshore,Hydro Water Reservoir,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,0.6,6780.0,486.0525,0.11925,2313.71625,1028.79825,10609.28625,0.0,0.0,10641.0,10609.28625,10641.0,-31.7137500000008
2026-01-01 01:00:00+00:00,0.7,6781.0,509.82775,0.11675,2464.79375,885.5635,10642.00175,0.0,0.0,10561.0,10642.00175,10561.0,81.00174999999945
2026-01-01 02:00:00+00:00,0.8,6783.0,456.0985,0.08925000000000001,2498.727,846.153,10584.86775,0.0,0.0,10332.25,10584.86775,10332.25,252.61774999999943
2026-01-01 03:00:00+00:00,0.8,6705.0,461.36825,0.113,2467.64225,824.2705,10459.194000000001,0.0,0.0,10186.5,10459.194000000001,10186.5,272.6940000000013
2026-01-01 04:00:00+00:00,0.8,6687.0,457.7115,0.017750000000000002,2456.922,809.91275,10412.364,0.0,0.0,10326.75,10412.364,10326.75,85.61399999999958
2026-01-01 05:00:00+00:00,0.4,6685.0,487.98125,0.1235,2417.1549999999997,820.1179999999999,10410.77775,0.0,0.0,10391.5,10410.77775,10391.5,19.277749999999287
2026-01-01 06:00:00+00:00,0.8,6680.0,475.105,0.032,2310.0945,824.58325,10290.61475,0.0,0.0,10318.25,10290.61475,10318.25,-27.63524999999936
2026-01-01 07:00:00+00:00,0.9,6637.0,471.15725,0.366,2204.63175,825.3172500000001,10139.37225,0.0,0.0,10400.0,10139.37225,10400.0,-260.62774999999965
2026-01-01 08:00:00+00:00,0.9,6467.0,469.7855,1.522,2064.8385,829.9712499999999,9834.017249999999,0.0,0.0,10601.25,9834.017249999999,10601.25,-767.232750000001
2026-01-01 09:00:00+00:00,1.3,6421.0,472.91425,4.864,1896.7327500000001,893.86975,9690.68075,0.0,0.0,10966.5,9690.68075,10966.5,-1275.8192500000005
2026-01-01 10:00:00+00:00,1.6,6287.0,417.1365,21.56525,1826.288,939.184,9492.773749999998,0.0,0.0,11238.75,9492.773749999998,11238.75,-1745.9762500000015
2026-01-01 11:00:00+00:00,1.8,6307.0,431.878,27.125500000000002,1701.028,964.579,9433.4105,0.0,0.0,11343.0,9433.4105,11343.0,-1909.5895
2026-01-01 12:00:00+00:00,1.3,6391.0,428.873,17.5565,1605.4947499999998,970.2094999999999,9414.43375,0.0,0.0,11330.0,9414.43375,11330.0,-1915.5662499999999
2026-01-01 13:00:00+00:00,1.0,6409.0,431.0755,9.817499999999999,1544.75175,975.4815,9371.12625,0.0,0.0,11478.75,9371.12625,11478.75,-2107.6237500000007
2026-01-01 14:00:00+00:00,0.8,6407.0,439.06725,1.7262499999999998,1455.155,987.11575,9290.86425,0.0,0.0,11816.0,9290.86425,11816.0,-2525.1357499999995
2026-01-01 15:00:00+00:00,1.1,6409.0,478.42449999999997,0.13724999999999998,1367.092,1035.2782499999998,9291.032,0.0,0.0,11893.25,9291.032,11893.25,-2602.2180000000008
2026-01-01 16:00:00+00:00,1.6,6412.0,512.385,0.11975,1304.47475,1070.1695,9300.749,0.0,0.0,11956.0,9300.749,11956.0,-2655.251
2026-01-01 17:00:00+00:00,1.0,6414.0,517.29,0.11775,1275.13025,1075.38525,9282.92325,0.0,0.0,11871.0,9282.92325,11871.0,-2588.07675
2026-01-01 18:00:00+00:00,1.3,6412.0,514.99025,0.1155,1248.38375,1094.02275,9270.812249999999,0.0,0.0,11740.5,9270.812249999999,11740.5,-2469.687750000001
2026-01-01 19:00:00+00:00,0.9,6412.0,505.02375,0.11575,1242.51125,1123.15175,9283.7025,0.0,0.0,11465.5,9283.7025,11465.5,-2181.7975000000006
2026-01-01 20:00:00+00:00,0.9,6411.0,504.52225,0.116,1225.06075,1192.694,9334.293,0.0,0.0,11120.0,9334.293,11120.0,-1785.7070000000003
2026-01-01 21:00:00+00:00,1.0,6412.0,501.512,0.119,1183.1077500000001,1107.4625,9205.20125,0.0,0.0,10818.0,9205.20125,10818.0,-1612.79875
2026-01-01 22:00:00+00:00,1.0,6412.0,502.877,0.1245,1182.9782500000001,1021.97475,9120.9545,0.0,0.0,10525.25,9120.9545,10525.25,-1404.2955000000002
2026-01-01 23:00:00+00:00,0.7,6413.0,477.24875,0.1235,1223.9935,1081.0725,9196.13825,0.0,0.0,10126.75,9196.13825,10126.75,-930.61175
2026-01-02 00:00:00+00:00,0.8,6415.0,479.4505,0.12275,1295.1805,1145.261,9335.814750000001,0.0,0.0,9941.5,9335.814750000001,9941.5,-605.6852499999986
2026-01-02 01:00:00+00:00,0.8,6414.0,496.2765,0.11875,1410.7665000000002,1162.25475,9484.2165,0.0,0.0,9890.0,9484.2165,9890.0,-405.78349999999955
2026-01-02 02:00:00+00:00,0.8,6414.0,534.73775,0.114,1476.5945,1169.3532500000001,9595.5995,0.0,0.0,9943.0,9595.5995,9943.0,-347.40049999999974
2026-01-02 03:00:00+00:00,0.8,6412.0,545.8367499999999,0.113,1659.87425,1174.30325,9792.92725,0.0,0.0,10093.0,9792.92725,10093.0,-300.07274999999936
2026-01-02 04:00:00+00:00,1.0,6412.0,542.2117499999999,0.11575,1875.6395,1218.4234999999999,10049.390500000001,0.0,0.0,10021.25,10049.390500000001,10021.25,28.14050000000134
2026-01-02 05:00:00+00:00,0.6,6415.0,599.6692499999999,0.12225,2095.2780000000002,1247.3405,10358.01,0.0,0.0,10669.25,10358.01,10669.25,-311.2399999999998
2026-01-02 06:00:00+00:00,0.8,6415.0,691.3172500000001,0.134,2269.09925,1374.51025,10750.86075,0.0,0.0,11397.75,10750.86075,11397.75,-646.8892500000002
2026-01-02 07:00:00+00:00,0.9,6413.0,757.39525,0.2985,2423.51625,1576.828,11171.937999999998,0.0,0.0,11740.25,11171.937999999998,11740.25,-568.3120000000017
2026-01-02 08:00:00+00:00,0.9,6414.0,775.61175,1.93075,2541.1485000000002,1588.675,11322.266,0.0,0.0,11878.0,11322.266,11878.0,-555.7340000000004
2026-01-02 09:00:00+00:00,1.5,6416.0,791.158,6.961,2625.7355,1596.12475,11437.47925,0.0,0.0,12273.25,11437.47925,12273.25,-835.7707499999997
2026-01-02 10:00:00+00:00,1.8,6416.0,788.55525,23.62925,2685.52075,1591.2669999999998,11506.77225,0.0,0.0,12670.25,11506.77225,12670.25,-1163.47775
2026-01-02 11:00:00+00:00,2.0,6417.0,802.521,25.7315,2715.067,1576.25075,11538.570249999999,0.0,0.0,12804.75,11538.570249999999,12804.75,-1266.1797500000011
2026-01-02 12:00:00+00:00,1.5,6417.0,815.5025,15.57925,2743.5155,1614.38825,11607.4855,0.0,0.0,12954.0,11607.4855,12954.0,-1346.5144999999993
2026-01-02 13:00:00+00:00,1.1,6419.0,793.49275,6.022,2792.96875,1614.00175,11626.58525,0.0,0.0,13082.0,11626.58525,13082.0,-1455.41475
2026-01-02 14:00:00+00:00,0.9,6418.0,804.3965000000001,0.87775,2788.4845,1613.2205,11625.879249999998,0.0,0.0,13376.75,11625.879249999998,13376.75,-1750.8707500000019
2026-01-02 15:00:00+00:00,1.2,6418.0,782.691,0.137,2807.38675,1570.99425,11580.409,0.0,0.0,13648.25,11580.409,13648.25,-2067.8410000000003
2026-01-02 16:00:00+00:00,1.6,6417.0,774.568,0.1225,2832.371,1559.34625,11585.007750000002,0.0,0.0,13796.5,11585.007750000002,13796.5,-2211.4922499999975
2026-01-02 17:00:00+00:00,1.1,6412.0,783.2959999999999,0.12275,2841.92575,1561.18425,11599.628750000002,0.0,0.0,13764.75,11599.628750000002,13764.75,-2165.1212499999983
2026-01-02 18:00:00+00:00,1.3,6411.0,755.85875,0.1185,2851.1325,1574.70775,11594.1175,0.0,0.0,13445.75,11594.1175,13445.75,-1851.6324999999997
2026-01-02 19:00:00+00:00,0.9,6417.0,737.67325,0.12,2806.96075,1561.59075,11524.244749999998,0.0,0.0,12964.5,11524.244749999998,12964.5,-1440.255250000002
2026-01-02 20:00:00+00:00,0.9,6417.0,733.7075,0.1215,2800.09875,1540.9805,11492.80825,0.0,0.0,12624.5,11492.80825,12624.5,-1131.69175
2026-01-02 21:00:00+00:00,1.1,6419.0,710.7515000000001,0.12,2800.545,1467.1885,11398.705000000002,0.0,0.0,12301.25,11398.705000000002,12301.25,-902.5449999999983
2026-01-02 22:00:00+00:00,0.9,6419.0,659.43525,0.12425,2816.4825,1449.08475,11345.026749999999,0.0,0.0,12097.25,11345.026749999999,12097.25,-752.2232500000009
2026-01-02 23:00:00+00:00,0.6,6421.0,580.70825,0.1245,2881.7525,1395.955,11280.14025,0.0,0.0,11791.0,11280.14025,11791.0,-510.8597499999996
2026-01-03 00:00:00+00:00,0.8,6421.0,579.518,0.1255,2839.06525,1324.67425,11165.183,0.0,0.0,11505.0,11165.183,11505.0,-339.8169999999991
2026-01-03 01:00:00+00:00,0.8,6421.0,570.34875,0.1325,2839.82875,1315.68875,11147.79875,0.0,0.0,11516.25,11147.79875,11516.25,-368.4512500000001
2026-01-03 02:00:00+00:00,0.8,6421.0,565.74775,0.13325,2886.2562500000004,1289.62925,11163.566499999999,0.0,0.0,11488.0,11163.566499999999,11488.0,-324.433500000001
2026-01-03 03:00:00+00:00,0.8,6422.0,567.335,0.129,2836.88425,1271.2037500000001,11098.352,0.0,0.0,11516.25,11098.352,11516.25,-417.89799999999923
2026-01-03 04:00:00+00:00,1.0,6421.0,569.254,0.133,2804.58425,1273.59775,11069.569,0.0,0.0,11513.75,11069.569,11513.75,-444.1810000000005
2026-01-03 05:00:00+00:00,0.6,6420.0,594.3187499999999,0.1365,2821.4565000000002,1315.9525,11152.46425,0.0,0.0,11716.25,11152.46425,11716.25,-563.7857499999991
2026-01-03 06:00:00+00:00,0.8,6420.0,657.0385,0.86275,2807.70975,1395.0484999999999,11281.4595,0.0,0.0,11970.0,11281.4595,11970.0,-688.5404999999992
2026-01-03 07:00:00+00:00,0.9,6420.0,770.58725,2.004,2805.53125,1544.0835,11543.106,0.0,0.0,12443.0,11543.106,12443.0,-899.8940000000002
2026-01-03 08:00:00+00:00,0.9,6420.0,862.51075,4.321,2805.204,1619.9555,11712.89125,0.0,0.0,12612.75,11712.89125,12612.75,-899.8587499999994
2026-01-03 09:00:00+00:00,1.5,6420.0,848.7492500000001,14.1055,2778.0280000000002,1631.8252499999999,11694.208,0.0,0.0,12981.25,11694.208,12981.25,-1287.0419999999995
2026-01-03 10:00:00+00:00,1.8,6419.0,895.37575,20.715,2741.78225,1640.6135,11719.2865,0.0,0.0,13305.75,11719.2865,13305.75,-1586.4634999999998
2026-01-03 11:00:00+00:00,1.9,6416.0,896.03275,22.48875,2720.986,1653.46475,11710.87225,0.0,0.0,13372.75,11710.87225,13372.75,-1661.8777499999997
2026-01-03 12:00:00+00:00,1.4,6415.0,922.4365,15.184,2661.48575,1669.499,11685.005249999998,0.0,0.0,13398.0,11685.005249999998,13398.0,-1712.9947500000017
2026-01-03 13:00:00+00:00,1.0,6416.0,932.46025,4.451,2631.83375,1671.53475,11657.27975,0.0,0.0,13445.5,11657.27975,13445.5,-1788.2202500000003
2026-01-03 14:00:00+00:00,0.8,6417.0,940.89925,1.111,2610.80325,1690.043,11660.6565,0.0,0.0,13648.0,11660.6565,13648.0,-1987.3435000000009
