,Biomass,Fossil Gas,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore,Fossil Brown coal/Lignite,Generation,Storage Discharge,Storage Charge,Demand,Total Generation,Total Load,Net Export
2026-01-01 00:00:00+00:00,26.39,166.52,0.0,93.93,702.79,0.2,0.17,0.48,268.15,1258.63,0.0,0.0,1282.0,1258.63,1282.0,-23.36999999999989
2026-01-01 01:00:00+00:00,23.92,165.32,0.0,92.37,703.01,0.18,0.17,0.48,268.5,1253.9499999999998,0.0,0.0,1293.08,1253.9499999999998,1293.08,-39.13000000000011
2026-01-01 02:00:00+00:00,22.22,160.17,0.0,64.09,702.84,0.18,0.18,0.38,267.96,1218.02,0.0,0.0,1296.41,1218.02,1296.41,-78.3900000000001
2026-01-01 03:00:00+00:00,19.79,155.1,0.0,47.91,703.0,0.19,0.17,0.35,267.53,1194.04,0.21,0.0,1289.7,1194.25,1289.7,-95.45000000000005
2026-01-01 04:00:00+00:00,22.66,164.76,0.0,84.0,702.86,0.22,0.18,0.35,269.31,1244.34,0.0,0.0,1295.47,1244.34,1295.47,-51.13000000000011
2026-01-01 05:00:00+00:00,24.43,165.95,0.0,101.86,702.89,0.54,0.19,0.32,268.15,1264.33,0.0,0.0,1278.84,1264.33,1278.84,-14.509999999999991
2026-01-01 06:00:00+00:00,25.16,166.81,0.0,136.25,702.92,2.45,0.19,0.43,265.43,1299.64,0.0,0.0,1352.42,1299.64,1352.42,-52.77999999999997
2026-01-01 07:00:00+00:00,24.72,166.78,0.0,132.74,702.87,53.3,0.2,0.54,266.08,1347.23,0.0,0.0,1389.48,1347.23,1389.48,-42.25
2026-01-01 08:00:00+00:00,23.46,166.3,0.0,101.97,702.96,171.67,0.2,0.65,267.51,1434.7200000000003,0.0,0.0,1426.59,1434.7200000000003,1426.59,8.130000000000337
2026-01-01 09:00:00+00:00,23.35,166.43,0.0,92.65,702.96,273.81,0.19,0.36,267.64,1527.3899999999999,0.0,0.0,1440.78,1527.3899999999999,1440.78,86.6099999999999
2026-01-01 10:00:00+00:00,25.67,167.48,0.0,90.09,703.06,326.56,0.18,0.32,266.4,1579.7599999999998,0.0,0.0,1445.49,1579.7599999999998,1445.49,134.26999999999975
2026-01-01 11:00:00+00:00,24.11,166.77,0.0,91.35,703.2,318.24,0.14,0.62,266.66,1571.0900000000001,0.0,0.0,1452.45,1571.0900000000001,1452.45,118.6400000000001
2026-01-01 12:00:00+00:00,24.76,166.8,0.0,92.16,703.39,272.8,0.14,0.52,268.06,1528.63,0.0,0.0,1393.58,1528.63,1393.58,135.05000000000018
2026-01-01 13:00:00+00:00,24.51,166.47,0.0,105.89,703.42,170.73,0.13,0.64,289.67,1461.4600000000003,0.0,0.0,1373.2,1461.4600000000003,1373.2,88.26000000000022
2026-01-01 14:00:00+00:00,24.17,166.73,0.0,272.15,703.25,62.78,0.13,0.62,381.87,1611.6999999999998,0.07,0.0,1368.79,1611.7699999999998,1368.79,242.9799999999998
2026-01-01 15:00:00+00:00,23.46,160.66,0.0,525.1,703.45,4.04,0.14,0.68,473.9,1891.4300000000003,0.68,0.0,1405.81,1892.1100000000004,1405.81,486.3000000000004
2026-01-01 16:00:00+00:00,23.95,168.81,0.0,606.17,703.31,0.62,0.16,0.86,491.71,1995.5899999999997,174.69,0.0,1479.25,2170.2799999999997,1479.25,691.0299999999997
2026-01-01 17:00:00+00:00,24.36,172.75,0.0,584.63,703.4,0.86,0.17,1.11,491.4,1978.6799999999998,162.67,0.0,1476.88,2141.35,1476.88,664.4699999999998
2026-01-01 18:00:00+00:00,24.24,172.77,0.0,463.77,703.31,0.78,0.18,0.55,476.02,1841.62,0.9,0.0,1461.94,1842.52,1461.94,380.5799999999999
2026-01-01 19:00:00+00:00,24.33,168.46,0.0,361.31,703.42,0.64,0.18,0.55,386.12,1645.0100000000002,0.0,0.0,1443.96,1645.0100000000002,1443.96,201.05000000000018
2026-01-01 20:00:00+00:00,24.72,169.12,0.0,210.44,703.34,0.46,0.18,0.49,288.46,1397.21,0.0,0.0,1368.25,1397.21,1368.25,28.960000000000036
2026-01-01 21:00:00+00:00,24.5,168.99,0.0,96.54,703.41,0.24,0.16,0.47,269.58,1263.89,0.0,0.0,1296.72,1263.89,1296.72,-32.82999999999993
2026-01-01 22:00:00+00:00,24.0,168.79,0.0,95.3,703.49,0.05,0.13,0.45,268.66,1260.87,0.0,0.0,1231.23,1260.87,1231.23,29.639999999999873
2026-01-01 23:00:00+00:00,24.36,165.86,0.0,83.75,701.5,0.06,0.12,0.55,265.37,1241.57,0.0,0.0,1164.66,1241.57,1164.66,76.90999999999985
2026-01-02 00:00:00+00:00,24.26,165.91,0.0,81.65,701.51,0.04,0.11,0.89,264.81,1239.1799999999998,0.0,0.0,1125.68,1239.1799999999998,1125.68,113.49999999999977
2026-01-02 01:00:00+00:00,23.91,165.83,0.0,84.0,701.32,0.04,0.11,0.76,265.17,1241.14,0.0,0.0,1101.32,1241.14,1101.32,139.82000000000016
2026-01-02 02:00:00+00:00,24.64,166.2,0.0,80.5,701.15,0.04,0.12,0.79,265.3,1238.74,0.0,0.0,1088.14,1238.74,1088.14,150.5999999999999
2026-01-02 03:00:00+00:00,24.36,166.6,0.0,83.18,701.34,0.04,0.11,0.96,265.61,1242.2,0.0,0.0,1100.74,1242.2,1100.74,141.46000000000004
2026-01-02 04:00:00+00:00,24.22,165.9,0.0,73.79,701.16,0.19,0.1,0.93,265.61,1231.9,0.07,0.0,1151.53,1231.97,1151.53,80.44000000000005
2026-01-02 05:00:00+00:00,23.97,167.4,0.0,93.84,701.17,0.35,0.11,0.89,263.07,1250.8,0.0,0.0,1228.95,1250.8,1228.95,21.84999999999991
2026-01-02 06:00:00+00:00,24.27,169.32,0.0,106.21,700.28,1.03,0.11,0.78,264.52,1266.52,0.0,0.0,1295.32,1266.52,1295.32,-28.799999999999955
2026-01-02 07:00:00+00:00,24.98,169.08,0.0,177.73,700.25,13.65,0.11,0.52,265.29,1351.61,0.0,0.0,1330.57,1351.61,1330.57,21.039999999999964
2026-01-02 08:00:00+00:00,24.46,169.18,0.0,149.49,700.46,55.79,0.08,0.72,265.3,1365.48,0.0,0.0,1426.64,1365.48,1426.64,-61.16000000000008
