,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,0.0,68.23510144800134,0.0,0.0,0.0,3.913122773222372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.37362591847018,0.0,0.0,0.0,0.7955142063136096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3158006458176255,0.0,0.0,0.0,43.32198689768004,373.93984811049523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00+00:00,0.0,29.02599760945184,0.0,0.0,0.0,1.8163149983359896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.696523815634833,0.0,0.027602105181682293,0.0,0.6372187853006352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.362523908586849,0.0,0.0,0.0,12.987906555254018,163.15341222225408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00+00:00,0.0,78.67321238399246,0.0,0.0,0.0,6.503545897521927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.018783054070948,0.0,0.24873782916491322,0.0,1.252462784886688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.902713436263387,476.29054461409964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00+00:00,0.0,88.28199842138282,0.0,0.0,0.0,6.955083354040784,11.668772797184145,0.0,0.0,0.0,0.0,0.0,0.0,2.069375517195594,0.0,13.035188441770222,0.0,0.019664998212131503,0.0,1.9252521468312598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.535522603184056,580.2641417201987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,132.16486442887546,0.0,0.0,0.0,16.61920930993444,54.73301633318645,0.0,0.0,0.0,0.0,0.0,0.0,15.547059398983421,0.0,9.748450307113215,0.0,0.0,0.0,2.1718751260232128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.724527541947403,1085.1759975539364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,0.0,48.89649348362155,0.0,0.0,0.0,12.647462548232735,24.850793820717755,0.0,0.0,0.0,0.0,0.0,0.0,21.39556034731422,0.0,1.9868197485933914,0.0,0.0,0.0,0.606883705681961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.360482376554051,832.0255039692844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00+00:00,0.0,65.14968482422522,0.0,0.0,0.0,13.713791294738241,16.559305886850936,0.0,0.0,0.0,0.0,0.0,0.0,53.17149921942771,0.0,0.0,0.0,0.0,0.0,0.5538505516101048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.894021989414268,1078.9353462337338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00+00:00,0.0,58.59392056755923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.092325091326,1.8370826711638273,0.029742490865890397,0.5486971888305051,0.0,1.9815629495765266,0.0,0.0,0.0,0.0,0.0,0.0,1.4035588171220184,0.0,0.0,0.0,0.0,0.0,13.582091031069051,1614.5726356988027,0.0,0.0,0.025883493684873436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00+00:00,6.766002603591957,93.3342373132584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.76323753042453,39.13943489201003,0.2644455128353857,10.804134293907635,0.0,31.49816935796973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.616883362821616,2406.7668030428526,0.0,0.0,3.5448105344295833,0.0,0.18997375187233853,0.0,0.0,0.0,0.0,0.01436780402656065,0.0
2026-01-01 09:00:00+00:00,0.0,106.35418768255266,223.87931971153196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.7975583718589,47.63234000866508,1.515099665403659,39.63083285755126,0.0,21.886616305610346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6324167193043,2289.5805358352195,0.0,0.0,51.15755129438749,0.0,190.52104154791462,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 10:00:00+00:00,0.0,120.47930634721338,487.6952997081326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.9221865390549,14.437132826462477,1.1501852063244677,8.276248300773988,0.0,0.2309137780241062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024830274421842175,0.00013317370252053623,14.9686818301666,2224.4388549148603,0.0,0.0,29.74939972841369,0.0,120.46932737244964,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 11:00:00+00:00,0.0,109.95738045818234,600.9174306276561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.9241906384197,12.708769769499613,0.0200663498282081,26.34583647871335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010550459665674966,7.541931035711955e-05,15.09048237360899,2197.2653897523883,0.0,0.0,1.927327672728547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 12:00:00+00:00,0.0,57.272242066192455,826.6015499944339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.25929616153076,8.36507226550553,1.031335832462338,2.379162533596805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.612253273440079,1688.6523126210536,0.0,0.0,41.227081108149186,0.0,184.03469414363528,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 13:00:00+00:00,0.0,27.304695534087315,900.8188136083145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.41025299343562,0.0,1.856344496748624,1.7124392533769972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.384284140117617,1803.6869506085743,0.0,0.0,18.36539538261113,0.0,85.03124080224691,0.0,0.0,0.0,0.0,4.014583180486997,0.0
2026-01-01 14:00:00+00:00,0.0,0.5308737970921571,955.4231002767676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.86493215290488,0.0,59.43229696857913,0.0,1.0758785944084575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3096796585973607,1340.2857385516504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 15:00:00+00:00,0.0,5.265189073588561,782.6305941259125,0.0,0.0,0.0,0.0,2.131681074840793,0.0,0.0,0.0,168.32410697220004,0.0,37.07677928099385,0.0,4.272059609270409,0.0,1.0248527534774012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.181991472175093,1068.0102456375412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
