,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.9069587815888,0.0,0.0,0.0,164.7802244440272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.98386234851162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.9455203660001,0.0,0.0,0.0,169.1732329005765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.62874039682465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00+00:00,0.25728320028216567,0.0980183594151415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028006431600850297,0.0,0.0,0.0,110.9440252631429,0.0,0.0,0.0,120.81970898331224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.489806185402465,142.98330699104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.29999037154978,0.0,0.0,0.0,39.074981826541766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.121432580162505,444.361950693208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,0.8853177383370874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021289657236975505,0.0,0.0,0.0,144.0375830258885,0.0,0.0,0.0,184.64266178403716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.56443932811517,438.44915792516423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.90630552845194,0.0,0.0,0.0,166.32960174274712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.07696119703631,510.25595606439293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00+00:00,0.0,0.9656229900230322,0.0,0.0,0.0,0.0,0.00040422727952410097,0.005183739478083723,0.0,0.0,0.0,0.0,0.0,1.5824830118176532,0.0,0.020327431660207066,0.0,0.0,0.0,50.45389750870616,0.0,0.0,0.0,87.97863410387261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.262533843009287,581.5994801115672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.149310903174644,0.0,0.0,0.0,0.0,0.0,63.369920290298474,0.0,0.0,0.0,152.95452175067567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.558475704782005,566.5540495047653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00+00:00,1.2497657137592812,0.3781184083737442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.78618227808542,0.0,0.008149363322035981,0.0,0.0,0.0,59.556333788077026,0.0,0.0,0.0,177.55692844357083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.531135481881297,563.4533598358574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 09:00:00+00:00,3.0574066064939363,0.983056506334956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.561896161738943,0.0,0.021464810363395502,0.0,0.0,0.0,19.084816204830343,0.0,0.0,0.0,81.82348801923415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.433852513402599,680.1693360963015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.3184778085204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0528634510903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0943639266857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 13:00:00+00:00,1.02326729374025,0.33641587085081043,0.0,0.0,0.0,0.0,0.0,0.00470981481018931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008889652107641671,0.0,0.0,0.0,0.000937362480920182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006259473097618084,588.6544156881772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.9558778509884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 15:00:00+00:00,0.48249576986826626,0.1528923326724899,0.0,0.0,0.0,0.0,0.0,0.004284029145741906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004726707991253826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.1597564050755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
