,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.74170357859585,0.0,56.23570471960826,41.422695259728734,0.0,0.0,10.293802434217895,0.0,0.0,0.0,0.0,509.5868215210155,0.0,75.40789543027627,49.628877056557506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.15748257284176,0.0,64.72517874191969,61.84113523344324,0.0,0.0,22.145380528507513,0.0,0.0,0.0,0.0,446.08712964341703,0.0,59.08117596804319,55.10251731182746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00+00:00,0.0018611318959641983,0.0007090439441733259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0259256370924127e-05,0.0,178.32856202746692,0.0,60.671820520038786,70.62212102433702,0.0,0.0,33.928614666264785,0.0,0.0,0.0,1.926276328329697e-06,357.6895779252808,0.0,43.77038375072309,51.299516922490504,1.0343108020252323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.2526382720461,0.0,52.369026971918395,153.10709814813663,0.0,0.0,53.141327756136135,0.0,0.0,0.0,0.0,195.11372445566803,0.0,22.446647700845,35.84311595975627,3.606420735493423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,0.01258063332640443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.233876632324884,0.0,0.00030253248042483186,0.0,216.25616889022842,0.0,44.672365310244004,195.849127252887,0.0,0.0,43.02575478719503,0.0,0.0,0.0,2.8961835952156272e-05,145.50770701308912,0.0,17.153869737011007,28.880222858549985,6.230495390827761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.454123288374463,0.0,0.0,0.0,161.1419387061486,0.0,34.149711876032235,182.49774707378285,0.0,0.0,35.12955419238386,0.0,0.0,0.0,0.0,148.6286504176812,0.0,17.237802141683765,23.214402090036145,5.621070213876896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00+00:00,0.0,0.007785782784911068,0.0,0.0,0.0,0.0,3.2592697425680703e-06,4.1796301462297905e-05,0.0,0.0,0.0,0.0,0.0,4.195813942047514,0.0,0.00016389933661140505,0.0,141.88703448583408,0.0,34.194307789407816,163.40843382258137,0.0,0.0,35.65454427946007,0.0,0.0,0.0,1.4355243053105009e-05,170.50077060921032,0.0,22.8665537699364,23.88261691219046,4.689415296396225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.297712673478014,0.0,0.0,0.0,105.25392134409338,0.0,34.4182858051863,103.47841196755327,0.0,0.0,30.25616805587326,0.0,0.0,0.0,0.0,269.16387618418594,0.0,34.556105900714336,28.333105763857947,4.674912305057604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00+00:00,0.01551152615967431,0.004693034477079156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.790140404008355,0.0,0.00010114620761535728,0.0,170.31083061377043,0.0,35.27777062218197,123.48254612956791,0.0,0.0,46.40441573659609,0.0,0.0,0.0,7.425511793280464e-06,256.06200413224326,0.0,33.75162349262835,30.022027759549793,6.993327977097723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 09:00:00+00:00,0.031035478428801888,0.009978924272567925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.101124188839805,0.0,0.00021788749249005245,0.0,184.48475500923595,0.0,27.200827442813168,157.7735574657293,0.0,0.0,50.20102846321568,0.0,0.0,0.0,8.015716512228568e-06,208.65148729120418,0.0,25.304043661210596,22.190094199951005,6.904341971889806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
