,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,752.9092501126295,314.58195963790666,0.0,0.0,0.0,0.0,772.266001083031,18.77293745420728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.449173043367075,0.0,0.0,0.0,5.385490235913902,0.0,0.0,0.0,1.6934668578808798,0.0,0.0,0.0,7.833081124495527,0.0,0.0,0.0,3.235777647025592,665.1806128035427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00+00:00,945.5676629882992,423.147436534517,0.0,0.0,0.0,0.0,1303.6092660630025,24.76229744203205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.13777917492584,0.0,0.0,0.0,5.349617544526998,0.0,0.0,0.0,2.0257445835964356,0.0,0.0,0.0,8.649219286528432,0.0,0.0,0.0,2.8087230491845943,881.5578033333862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00+00:00,924.0598708591208,380.3626471611945,0.0,0.0,0.0,0.0,907.8595479209835,7.839121760340612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.511364558614424,0.0,0.0,0.0,2.642355928613886,0.0,0.0,0.0,0.29000149867886543,0.0,0.0,0.0,3.0912226393874955,0.0,0.0,0.0,1.2025166600195956,821.6738010130462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00+00:00,1122.463756416334,379.2539806647207,0.0,0.0,0.0,0.0,1133.0618418325025,0.8256900648289385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.74968210066849,0.0,0.0,0.0,5.020615076500154,0.0,0.0,0.0,0.07374461462496563,0.0,0.0,0.0,2.20116999753117,0.0,0.0,0.0,2.123059031407303,884.1293352008815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,1382.60002932899,411.82862549006813,0.0,0.0,0.0,0.0,1763.3141652980198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.091421214098695,0.0,0.0,0.0,7.9676678891125166,0.0,0.0,0.0,0.9231630119792991,0.0,0.0,0.0,4.220930282616147,0.0,0.0,0.0,3.460851423377157,1320.4346960617377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,1750.341001831267,580.7558373386304,0.0,34.48945754054027,2.8377043024144686,0.715954933463198,1856.5345835926378,0.14188276765853877,0.0,0.0,0.0,0.0,0.0,0.1956897069902319,0.0,48.25073145281432,0.0,0.0,0.0,9.27455481779418,0.0,0.0,0.0,1.0450590955693329,0.0,0.0,0.0,4.852431390036663,0.0,0.0,0.0,3.7358819564926242,2057.2540292736917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00+00:00,1600.7851470306189,480.49064418327384,0.0,140.5896463518608,10.64564981289184,2.8877289695804165,1439.010615470911,2.5794107501969337,0.0,0.0,0.0,0.0,0.0,0.8942781592520366,0.0,34.43549364811206,0.0,0.0,0.0,6.4153412001925805,0.0,0.0,0.0,0.3012171575870267,0.0,0.0,0.0,3.016057851071887,0.0,0.0,0.0,2.576432636565354,1982.2574867778865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00+00:00,1043.950201956068,347.71602397914796,0.0,133.23206196313313,10.934124642014512,2.502136291560168,861.8272245584886,1.6242589660070414,0.031156205575490706,0.0,0.0,0.16125214181354214,0.0011812245192417475,0.90477663329854,0.0001439863516561975,22.347502991318212,6.448451479311589e-05,0.0,0.00017988544768949663,4.030185396972854,0.0,0.00013281041851636306,0.0,0.43742598428599455,0.0,0.012057032731618577,0.0,2.3550488117586093,0.0,0.0,0.0,1.6890597378210244,1592.9087009611803,0.0,0.0,2.489024323929104e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012474106669922248
2026-01-01 08:00:00+00:00,843.6006442759818,256.02897836401786,0.0,0.0,0.0,0.0,39.80230907062661,0.0,0.0,0.0,0.0,0.0,0.0,0.02956488294349037,0.0,6.175791029557684,0.0,0.0,0.0,1.0664544904940982,0.0,0.0,0.0,0.09244237937202733,0.0,0.0,0.0,0.453387331111893,0.0,0.0,0.0,0.47508378660850376,945.8314443892856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
