,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12247561345673502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6316771384548072,261.13466809238787,15.850105956169806,246.96518815143085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08494804095855846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0781300995638607,173.73805993826664,11.986063339406156,361.67935836464875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09363094148003977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1346450780043722,150.87733346330447,11.150079221718714,535.4115732874074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10231000954132909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2024284549868989,162.38916201445645,11.553743779282186,623.8113517094005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14849171701429908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9449291285696508,213.74870808784402,14.71745031319808,650.7343005824546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,0.0,0.0025053359814585265,0.0,0.0,0.0,0.0,0.08633141143753595,2.4764638409020066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4784275301941731,0.0,0.0,0.0,0.24954563487440157,0.0,0.0,0.0,0.010362227202485853,70.55018867348784,0.0,0.0,0.04811402222248612,2.227525356664559,234.5848910717984,17.58469489633369,654.7084555766181,1.2028644417893284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00+00:00,0.0,0.006720873904631507,0.0,0.0,0.0,0.0,0.1648709994853008,2.114276675807871,0.0,0.0,0.0,0.0,0.0,5.872317826456406e-05,0.0,0.37322808679834796,0.0,0.0,0.0,0.24272081487481936,0.0,0.0,0.0,0.0032647333180660263,79.530047615406,0.0,0.0,0.032689454460322884,2.147757442370675,206.40488412410102,14.871469584227109,596.6890133544904,1.0853085986883284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00+00:00,0.0014977512483027148,0.0025667428670810267,0.0,0.0,0.0,0.0,0.07905848356407327,1.5534323739666753,0.0,0.0,0.0,0.0,0.0,0.0017356464365675351,0.0,0.28168124509857484,0.0,0.0,0.0,0.2765936384128156,0.0,0.0,0.0,0.005513577778242889,94.52578733260407,0.0,0.0,0.02968443865168284,2.7773084218940833,284.8327037527382,18.304355435832925,597.3118950035238,0.7842721856957088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 08:00:00+00:00,0.0019145320984976302,0.02538295628787638,0.0,0.0,0.0,0.0,0.03521350545839706,1.1861944128667354,0.0,0.0,0.0,0.0,0.0,0.0010257856025351236,0.0,0.21427575189438366,0.0,0.0,0.0,0.32713741742104496,0.0,0.0,0.0,0.0032073883737393396,79.85743340958334,0.0,0.0,0.01573076401199843,3.7686989219709734,372.57495322176743,18.400927386422566,611.201176550527,0.5051717634477426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 09:00:00+00:00,3.8112336442440744e-05,0.0015707826625838623,9.688291513540194e-07,0.0,0.0,0.0,2.7814328776069935e-05,0.02002080449879217,0.0,0.0,0.0,0.0,0.0,3.6228070522757232e-06,0.0,0.003875366185216819,0.0,0.0,0.0,0.34610787646728725,0.0,0.0,0.0,1.1159998052581536e-05,12.830731337864915,0.0,0.0,0.00014256824183330716,4.652673164715248,542.222286592621,17.61235219052341,562.764920703002,0.00830485899406514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11500152062026157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5416142966040398,580.6788085842309,0.2193089897303635,450.0010546108921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09606283672744692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3233206678623404,574.5582646104832,0.5818430840216112,485.25460857537206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10189907209456318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4790360634091233,595.2133388776829,6.117934616718033,542.172785854931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
