,RS_BA,BA_RS,ME_BA,BA_ME,BA_HR,HR_BA,BA_HR_net_export,BA_ME_net_export,BA_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,138.2234,0.0,629.268,0.0,1088.0,-1088.0,629.268,138.2234,-320.5086
2026-01-01 01:00:00+00:00,0.0,123.456,0.0,659.149225,0.0,1066.0,-1066.0,659.149225,123.456,-283.394775
2026-01-01 02:00:00+00:00,0.0,86.2019,0.0,680.018725,0.0,1026.0,-1026.0,680.018725,86.2019,-259.77937499999996
2026-01-01 03:00:00+00:00,0.0,79.685,0.0,731.511725,0.0,1047.0,-1047.0,731.511725,79.685,-235.80327500000004
2026-01-01 04:00:00+00:00,0.0,60.1187,0.0,700.21165,0.0,1004.0,-1004.0,700.21165,60.1187,-243.66965000000005
2026-01-01 05:00:00+00:00,0.0,15.1839,0.0,713.089975,0.0,1025.0,-1025.0,713.089975,15.1839,-296.726125
2026-01-01 06:00:00+00:00,123.4323,0.0,0.0,437.611125,0.0,662.0,-662.0,437.611125,-123.4323,-347.821175
2026-01-01 07:00:00+00:00,246.0783,0.0,148.231425,77.0534,21.0,0.0,21.0,-71.178025,-246.0783,-296.256325
2026-01-01 08:00:00+00:00,319.7954,0.0,350.130075,24.662,364.0,0.0,364.0,-325.468075,-319.7954,-281.26347499999997
2026-01-01 09:00:00+00:00,288.4229,0.0,193.968,36.8158,220.0,0.0,220.0,-157.1522,-288.4229,-225.57510000000002
2026-01-01 10:00:00+00:00,217.8711,0.0,58.03,73.63865,27.0,0.0,27.0,15.608649999999997,-217.8711,-175.26245
2026-01-01 11:00:00+00:00,230.6362,0.0,62.01,68.22055,87.0,0.0,87.0,6.210550000000005,-230.6362,-137.42565
2026-01-01 12:00:00+00:00,183.2963,0.0,23.166,203.482775,0.0,209.0,-209.0,180.316775,-183.2963,-211.979525
2026-01-01 13:00:00+00:00,100.5926,0.0,3.498,451.91785,0.0,646.0,-646.0,448.41985,-100.5926,-298.17275
2026-01-01 14:00:00+00:00,0.0,45.3748,0.0,908.53625,0.0,1217.0,-1217.0,908.53625,45.3748,-263.08895
2026-01-01 15:00:00+00:00,0.0,14.3197,0.0,787.418025,0.0,1045.0,-1045.0,787.418025,14.3197,-243.26227500000005
2026-01-01 16:00:00+00:00,0.0,13.4384,0.0,763.7004,0.0,1012.0,-1012.0,763.7004,13.4384,-234.86120000000005
2026-01-01 17:00:00+00:00,0.0,24.6505,0.0,803.48885,0.0,1038.0,-1038.0,803.48885,24.6505,-209.86065000000005
2026-01-01 18:00:00+00:00,0.0,10.146,0.0,788.60535,0.0,996.0,-996.0,788.60535,10.146,-197.24864999999994
2026-01-01 19:00:00+00:00,0.0,92.5659,0.0,855.725175,0.0,1134.0,-1134.0,855.725175,92.5659,-185.70892499999997
2026-01-01 20:00:00+00:00,0.0,97.1329,0.0,863.60785,0.0,1150.0,-1150.0,863.60785,97.1329,-189.25925
