,RS_BG,BG_RS,RO_BG,BG_RO,BG_GR,GR_BG,BG_MK,MK_BG,BG_GR_net_export,BG_MK_net_export,BG_RO_net_export,BG_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,21.0698,651.04,0.0,0.0,265.0,5.6,4.7568,-265.0,0.8431999999999995,-651.04,21.0698,-894.127
2026-01-01 01:00:00+00:00,8.0495,0.0,693.04,0.0,0.0,208.0,19.2,0.7392,-208.0,18.4608,-693.04,-8.0495,-890.6286999999999
2026-01-01 02:00:00+00:00,22.9367,0.0,664.88,0.0,0.0,109.0,47.2,1.144,-109.0,46.056000000000004,-664.88,-22.9367,-750.7606999999999
2026-01-01 03:00:00+00:00,57.6935,0.0,705.84,0.0,0.0,37.0,58.4,1.144,-37.0,57.256,-705.84,-57.6935,-743.2775
2026-01-01 04:00:00+00:00,62.7164,0.0,713.12,0.0,0.0,43.0,59.2,1.1616,-43.0,58.0384,-713.12,-62.7164,-760.798
2026-01-01 05:00:00+00:00,80.1586,0.0,928.0,0.0,84.0,1.0,100.8,1.144,83.0,99.65599999999999,-928.0,-80.1586,-825.5026
2026-01-01 06:00:00+00:00,0.0,90.2217,803.44,0.0,86.0,0.0,129.6,1.1616,86.0,128.4384,-803.44,90.2217,-498.77990000000005
2026-01-01 07:00:00+00:00,0.0,544.6577,317.04,214.0,35.0,43.0,180.0,1.1616,-8.0,178.8384,-103.04000000000002,544.6577,612.4561
2026-01-01 08:00:00+00:00,0.0,729.3231,202.4,380.64,0.0,106.0,160.8,1.144,-106.0,159.656,178.23999999999998,729.3231,961.2190999999999
2026-01-01 09:00:00+00:00,0.0,678.0519,401.6,317.76,10.0,15.0,171.2,1.1264,-5.0,170.0736,-83.84000000000003,678.0519,759.2855
2026-01-01 10:00:00+00:00,0.0,528.8254,674.4,176.4,0.0,94.0,88.0,1.1088,-94.0,86.8912,-498.0,528.8254,23.71659999999997
2026-01-01 11:00:00+00:00,0.0,527.7961,760.0,158.32,0.0,72.0,97.6,1.073599,-72.0,96.52640099999999,-601.6800000000001,527.7961,-49.357499000000075
2026-01-01 12:00:00+00:00,0.0,444.3567,834.8,49.04,32.0,3.0,130.4,1.0912,29.0,129.30880000000002,-785.76,444.3567,-183.09449999999998
2026-01-01 13:00:00+00:00,0.0,211.4708,1140.0,0.48,80.0,3.0,113.6,1.0208,77.0,112.5792,-1139.52,211.4708,-738.47
2026-01-01 14:00:00+00:00,22.248,0.0,1422.72,0.0,331.0,0.0,167.2,0.7216,331.0,166.4784,-1422.72,-22.248,-947.4896000000001
2026-01-01 15:00:00+00:00,1.5337,0.0,1334.56,0.0,377.0,0.0,191.2,0.7392,377.0,190.46079999999998,-1334.56,-1.5337,-768.6329
2026-01-01 16:00:00+00:00,0.0,58.2755,1272.56,0.0,384.0,0.0,220.0,0.7392,384.0,219.2608,-1272.56,58.2755,-611.0237
2026-01-01 17:00:00+00:00,0.0,41.7675,1282.64,0.0,345.0,0.0,213.6,0.7392,345.0,212.86079999999998,-1282.64,41.7675,-683.0117000000001
2026-01-01 18:00:00+00:00,1.8133,0.0,1416.32,0.0,300.0,0.0,184.8,0.7392,300.0,184.0608,-1416.32,-1.8133,-934.0725
2026-01-01 19:00:00+00:00,18.1037,0.0,1596.32,0.0,290.0,0.0,176.8,0.7216,290.0,176.07840000000002,-1596.32,-18.1037,-1148.3452999999997
2026-01-01 20:00:00+00:00,0.0,2.0157,1597.6,0.0,349.0,0.0,181.6,0.6864,349.0,180.9136,-1597.6,2.0157,-1065.6707000000001
2026-01-01 21:00:00+00:00,0.0,98.8258,1549.6,0.0,317.0,0.0,196.0,0.6512,317.0,195.3488,-1549.6,98.8258,-938.4254
2026-01-01 22:00:00+00:00,0.0,140.8096,1752.48,0.0,382.0,0.0,244.8,0.6512,382.0,244.14880000000002,-1752.48,140.8096,-985.5216
2026-01-01 23:00:00+00:00,0.0,93.5682,1730.88,0.0,402.0,0.0,244.8,0.6336,402.0,244.1664,-1730.88,93.5682,-991.1454
2026-01-02 00:00:00+00:00,0.0,37.307,1864.48,0.0,415.0,0.0,234.4,0.6512,415.0,233.74880000000002,-1864.48,37.307,-1178.4242
2026-01-02 01:00:00+00:00,28.2649,0.0,1840.32,0.0,338.0,0.0,194.4,0.6336,338.0,193.7664,-1840.32,-28.2649,-1336.8184999999999
2026-01-02 02:00:00+00:00,74.0983,0.0,1755.92,0.0,287.0,0.0,162.4,1.056,287.0,161.344,-1755.92,-74.0983,-1381.6743000000001
2026-01-02 03:00:00+00:00,62.0526,0.0,1601.28,0.0,262.0,0.0,152.8,1.0912,262.0,151.70880000000002,-1601.28,-62.0526,-1249.6237999999998
2026-01-02 04:00:00+00:00,25.1191,0.0,1481.28,0.0,332.0,0.0,196.0,1.1088,332.0,194.8912,-1481.28,-25.1191,-979.5079
2026-01-02 05:00:00+00:00,45.9866,0.0,1348.56,0.0,330.0,0.0,175.2,1.1264,330.0,174.0736,-1348.56,-45.9866,-890.473
2026-01-02 06:00:00+00:00,2.9502,0.0,1076.08,0.0,139.0,0.0,112.8,1.0912,139.0,111.7088,-1076.08,-2.9502,-828.3213999999999
2026-01-02 07:00:00+00:00,0.0,428.6679,397.92,119.28,146.0,0.0,229.6,1.1088,146.0,228.4912,-278.64,428.6679,524.5191
2026-01-02 08:00:00+00:00,0.0,655.1275,152.0,366.56,114.0,0.0,259.2,1.0912,114.0,258.1088,214.56,655.1275,1241.7963
2026-01-02 09:00:00+00:00,0.0,707.5403,75.2,440.24,25.0,4.0,243.2,1.073599,21.0,242.126401,365.04,707.5403,1335.706701
2026-01-02 10:00:00+00:00,0.0,627.6858,44.0,427.52,0.0,176.0,153.6,1.056,-176.0,152.54399999999998,383.52,627.6858,987.7497999999999
2026-01-02 11:00:00+00:00,0.0,572.0227,26.4,483.28,0.0,189.0,146.4,1.0384,-189.0,145.3616,456.88,572.0227,985.2643
2026-01-02 12:00:00+00:00,0.0,449.8778,21.6,464.48,0.0,238.0,105.6,0.968,-238.0,104.63199999999999,442.88,449.8778,759.3897999999999
2026-01-02 13:00:00+00:00,0.0,220.9246,201.6,258.08,0.0,302.0,40.0,1.7152,-302.0,38.2848,56.47999999999999,220.9246,13.689400000000006
2026-01-02 14:00:00+00:00,14.404,0.0,569.84,80.8,0.0,122.0,24.0,1.4864,-122.0,22.5136,-489.04,-14.404,-602.9304
2026-01-02 15:00:00+00:00,0.0,22.974,501.6,137.44,47.0,18.0,73.6,0.7392,29.0,72.8608,-364.16,22.974,-239.32520000000005
2026-01-02 16:00:00+00:00,0.0,118.3809,504.8,170.4,159.0,0.0,144.0,0.7392,159.0,143.2608,-334.4,118.3809,86.24170000000004
2026-01-02 17:00:00+00:00,0.0,132.1865,525.6,201.44,117.0,0.0,132.0,0.704,117.0,131.296,-324.16,132.1865,56.32249999999996
