,FR_ES,ES_FR,ES_PT,PT_ES,ES_FR_net_export,ES_PT_net_export,Net Export
2026-01-01 00:00:00+00:00,1634.23,0.0,98.03,82.84,-1634.23,15.189999999999998,-1619.04
2026-01-01 01:00:00+00:00,1629.79,0.0,11.85,65.99000000000001,-1629.79,-54.14000000000001,-1683.93
2026-01-01 02:00:00+00:00,1762.77,0.0,285.1,3.33,-1762.77,281.77000000000004,-1481.0
2026-01-01 03:00:00+00:00,1091.23,0.0,851.8199999999999,0.0,-1091.23,851.8199999999999,-239.41000000000008
2026-01-01 04:00:00+00:00,792.53,0.0,1016.26,0.0,-792.53,1016.26,223.73000000000002
2026-01-01 05:00:00+00:00,1444.3899999999999,0.0,977.65,0.0,-1444.3899999999999,977.65,-466.7399999999999
2026-01-01 06:00:00+00:00,1764.8200000000002,0.0,416.73,0.0,-1764.8200000000002,416.73,-1348.0900000000001
2026-01-01 07:00:00+00:00,1720.1799999999998,0.0,555.71,0.0,-1720.1799999999998,555.71,-1164.4699999999998
2026-01-01 08:00:00+00:00,1638.73,0.0,987.47,0.0,-1638.73,987.47,-651.26
2026-01-01 09:00:00+00:00,1735.47,0.0,1365.78,0.0,-1735.47,1365.78,-369.69000000000005
2026-01-01 10:00:00+00:00,1948.43,0.0,1614.33,0.0,-1948.43,1614.33,-334.10000000000014
2026-01-01 11:00:00+00:00,1728.28,0.0,1982.19,0.0,-1728.28,1982.19,253.91000000000008
2026-01-01 12:00:00+00:00,1849.8,0.0,2054.13,0.0,-1849.8,2054.13,204.33000000000015
2026-01-01 13:00:00+00:00,1930.8400000000001,0.0,1749.23,0.0,-1930.8400000000001,1749.23,-181.61000000000013
2026-01-01 14:00:00+00:00,2007.44,0.0,1673.23,0.0,-2007.44,1673.23,-334.21000000000004
2026-01-01 15:00:00+00:00,1553.8899999999999,0.0,974.93,0.0,-1553.8899999999999,974.93,-578.9599999999999
2026-01-01 16:00:00+00:00,1809.79,0.0,0.0,698.09,-1809.79,-698.09,-2507.88
2026-01-01 17:00:00+00:00,1816.53,0.0,0.0,1785.15,-1816.53,-1785.15,-3601.6800000000003
2026-01-01 18:00:00+00:00,1417.45,0.0,0.0,2171.9700000000003,-1417.45,-2171.9700000000003,-3589.42
2026-01-01 19:00:00+00:00,1738.09,0.0,0.0,2307.36,-1738.09,-2307.36,-4045.45
2026-01-01 20:00:00+00:00,1615.5700000000002,0.0,0.0,2394.57,-1615.5700000000002,-2394.57,-4010.1400000000003
2026-01-01 21:00:00+00:00,1744.26,0.0,0.0,2243.29,-1744.26,-2243.29,-3987.55
2026-01-01 22:00:00+00:00,1538.52,0.0,0.0,1647.1599999999999,-1538.52,-1647.1599999999999,-3185.68
2026-01-01 23:00:00+00:00,1079.43,0.0,108.66,426.63,-1079.43,-317.97,-1397.4
2026-01-02 00:00:00+00:00,838.15,0.0,728.11,0.0,-838.15,728.11,-110.03999999999996
2026-01-02 01:00:00+00:00,892.0,0.0,840.37,0.0,-892.0,840.37,-51.629999999999995
2026-01-02 02:00:00+00:00,1003.28,0.0,534.22,0.0,-1003.28,534.22,-469.05999999999995
2026-01-02 03:00:00+00:00,779.09,0.0,176.91,0.0,-779.09,176.91,-602.1800000000001
2026-01-02 04:00:00+00:00,858.6600000000001,0.0,163.69,3.72,-858.6600000000001,159.97,-698.69
2026-01-02 05:00:00+00:00,869.03,0.0,0.0,49.879999999999995,-869.03,-49.879999999999995,-918.91
2026-01-02 06:00:00+00:00,998.54,0.0,0.0,1039.45,-998.54,-1039.45,-2037.99
2026-01-02 07:00:00+00:00,1302.45,0.0,0.0,2212.13,-1302.45,-2212.13,-3514.58
