,BE_FR,FR_BE,FR_CH,CH_FR,FR_DE_LU,DE_LU_FR,FR_ES,ES_FR,FR_GB,GB_FR,FR_IT_NORD,IT_NORD_FR,FR_BE_net_export,FR_CH_net_export,FR_DE_LU_net_export,FR_ES_net_export,FR_GB_net_export,FR_IT_NORD_net_export,Net Export
2026-01-01 00:00:00+00:00,2680.0080000000003,0.0,669.4,0.0,0.0,1454.66975,1634.23,0.0,0.0,2038.065,1290.805,0.0,-2680.0080000000003,669.4,-1454.66975,1634.23,-2038.065,1290.805,-2578.30775
2026-01-01 01:00:00+00:00,2603.451,0.0,677.39,0.0,0.0,1591.54955,1629.79,0.0,0.0,2719.9975,958.2025,0.0,-2603.451,677.39,-1591.54955,1629.79,-2719.9975,958.2025,-3649.61555
2026-01-01 02:00:00+00:00,2708.5679999999998,0.0,610.8025,0.0,0.0,1606.68695,1762.77,0.0,0.0,2043.22,903.37,0.0,-2708.5679999999998,610.8025,-1606.68695,1762.77,-2043.22,903.37,-3081.5324499999997
2026-01-01 03:00:00+00:00,2687.522,0.0,714.1175,0.0,0.0,1378.475875,1091.23,0.0,0.0,2097.83,795.5775,0.0,-2687.522,714.1175,-1378.475875,1091.23,-2097.83,795.5775,-3562.902875
2026-01-01 04:00:00+00:00,2644.187,0.0,393.725,0.0,0.0,1591.23955,792.53,0.0,0.0,2624.2175,734.5475,0.0,-2644.187,393.725,-1591.23955,792.53,-2624.2175,734.5475,-4938.84155
2026-01-01 05:00:00+00:00,3349.56,0.0,24.3525,114.26,0.0,2350.9573,1444.3899999999999,0.0,0.0,2479.1225,474.73249999999996,0.0,-3349.56,-89.9075,-2350.9573,1444.3899999999999,-2479.1225,474.73249999999996,-6350.424799999999
2026-01-01 06:00:00+00:00,3084.31,0.0,0.0,360.9425,0.0,2389.91265,1764.8200000000002,0.0,0.0,2148.915,512.375,0.0,-3084.31,-360.9425,-2389.91265,1764.8200000000002,-2148.915,512.375,-5706.88515
2026-01-01 07:00:00+00:00,2146.148,0.0,0.0,376.0625,0.0,2172.364375,1720.1799999999998,0.0,0.0,1436.6625,384.38,0.0,-2146.148,-376.0625,-2172.364375,1720.1799999999998,-1436.6625,384.38,-4026.677375
2026-01-01 08:00:00+00:00,2330.289,0.0,73.53,68.775,0.0,1845.5095999999999,1638.73,0.0,10.39,98.7875,527.155,0.0,-2330.289,4.7549999999999955,-1845.5095999999999,1638.73,-88.3975,527.155,-2093.5561
2026-01-01 09:00:00+00:00,1849.404,0.0,612.4225,0.0,0.0,1606.158175,1735.47,0.0,1052.0325,0.0,926.2175,0.0,-1849.404,612.4225,-1606.158175,1735.47,1052.0325,926.2175,870.5803250000001
2026-01-01 10:00:00+00:00,2045.882,0.0,621.2975,0.0,0.0,1480.7222,1948.43,0.0,2073.765,0.0,1076.9425,0.0,-2045.882,621.2975,-1480.7222,1948.43,2073.765,1076.9425,2193.8307999999997
2026-01-01 11:00:00+00:00,1884.452,0.0,710.7325,0.0,0.0,1290.306075,1728.28,0.0,2264.1375,0.0,1118.695,0.0,-1884.452,710.7325,-1290.306075,1728.28,2264.1375,1118.695,2647.0869249999996
2026-01-01 12:00:00+00:00,1428.467,0.0,771.3275,0.0,0.0,1110.706775,1849.8,0.0,3369.1775,0.0,1096.1875,0.0,-1428.467,771.3275,-1110.706775,1849.8,3369.1775,1096.1875,4547.318724999999
2026-01-01 13:00:00+00:00,966.891,0.0,787.1725,0.0,0.0,1109.17805,1930.8400000000001,0.0,3348.125,0.0,1058.3725,0.0,-966.891,787.1725,-1109.17805,1930.8400000000001,3348.125,1058.3725,5048.44095
2026-01-01 14:00:00+00:00,738.5,0.0,906.2075,0.0,0.0,626.766,2007.44,0.0,3372.315,0.0,1145.6575,0.0,-738.5,906.2075,-626.766,2007.44,3372.315,1145.6575,6066.354
2026-01-01 15:00:00+00:00,670.7,0.0,795.6175,0.0,0.0,806.185025,1553.8899999999999,0.0,3365.5,0.0,1350.325,0.0,-670.7,795.6175,-806.185025,1553.8899999999999,3365.5,1350.325,5588.447475
2026-01-01 16:00:00+00:00,1464.873,0.0,418.39,0.0,0.0,1151.6666500000001,1809.79,0.0,3560.7075,0.0,1246.5125,0.0,-1464.873,418.39,-1151.6666500000001,1809.79,3560.7075,1246.5125,4418.86035
2026-01-01 17:00:00+00:00,1586.5,0.0,231.3025,0.0,0.0,1406.53245,1816.53,0.0,3564.5475,0.0,1309.1575,0.0,-1586.5,231.3025,-1406.53245,1816.53,3564.5475,1309.1575,3928.5050500000007
2026-01-01 18:00:00+00:00,1891.326,0.0,296.4975,0.0,0.0,1434.644075,1417.45,0.0,3561.8325,0.0,1339.6825000000001,0.0,-1891.326,296.4975,-1434.644075,1417.45,3561.8325,1339.6825000000001,3289.4924250000004
2026-01-01 19:00:00+00:00,1921.669,0.0,517.4475,0.0,0.0,1186.16515,1738.09,0.0,3349.0625,0.0,1392.0425,0.0,-1921.669,517.4475,-1186.16515,1738.09,3349.0625,1392.0425,3888.80835
2026-01-01 20:00:00+00:00,1446.246,0.0,599.9225,0.0,0.0,943.572825,1615.5700000000002,0.0,2779.435,0.0,1200.495,0.0,-1446.246,599.9225,-943.572825,1615.5700000000002,2779.435,1200.495,3805.603675
