,BE_GB,GB_BE,NL_GB,GB_NL,FR_GB,GB_FR,GB_NO_2,NO_2_GB,GB_DK_1,DK_1_GB,GB_BE_net_export,GB_FR_net_export,GB_NL_net_export,GB_NO_2_net_export,GB_DK_1_net_export,Net Export
2026-01-01 00:00:00+00:00,239.12143025,0.0,1017.2099999999999,0.0,0.0,2038.065,0.0,675.4286529999999,0.0,1011.3199999999999,-239.12143025,2038.065,-1017.2099999999999,-675.4286529999999,-1011.3199999999999,-905.0150832499997
2026-01-01 01:00:00+00:00,351.881448,0.0,860.5775,0.0,0.0,2719.9975,0.0,670.68651375,0.0,1000.4,-351.881448,2719.9975,-860.5775,-670.68651375,-1000.4,-163.54796175
2026-01-01 02:00:00+00:00,144.122864,0.0,962.5825,0.0,0.0,2043.22,0.0,388.4941175,0.0,1000.4,-144.122864,2043.22,-962.5825,-388.4941175,-1000.4,-452.3794814999999
2026-01-01 03:00:00+00:00,84.41273000000001,0.0,723.9549999999999,0.0,0.0,2097.83,0.348611,33.2604715,0.0,999.8225,-84.41273000000001,2097.83,-723.9549999999999,-32.9118605,-999.8225,256.7279094999999
2026-01-01 04:00:00+00:00,168.0965285,0.0,664.66,0.0,0.0,2624.2175,127.663716,0.0,0.0,976.875,-168.0965285,2624.2175,-664.66,127.663716,-976.875,942.2496875000002
2026-01-01 05:00:00+00:00,0.0,396.669264,754.295,0.0,0.0,2479.1225,148.606763,0.0,0.0,998.47,396.669264,2479.1225,-754.295,148.606763,-998.47,1271.6335270000002
2026-01-01 06:00:00+00:00,3.7073635,24.101342,799.9549999999999,0.0,0.0,2148.915,333.8937525,0.0,0.0,982.955,20.3939785,2148.915,-799.9549999999999,333.8937525,-982.955,720.2927309999999
2026-01-01 07:00:00+00:00,680.093344,0.0,804.7975,0.0,0.0,1436.6625,221.636148,0.0,0.0,998.9525,-680.093344,1436.6625,-804.7975,221.636148,-998.9525,-825.5446960000002
2026-01-01 08:00:00+00:00,856.31032,0.0,666.175,0.0,10.39,98.7875,133.395078,0.0,0.0,999.38,-856.31032,88.3975,-666.175,133.395078,-999.38,-2300.072742
2026-01-01 09:00:00+00:00,737.5539679999999,0.0,595.6875,0.0,1052.0325,0.0,6.186159,0.0002145,0.0,999.38,-737.5539679999999,-1052.0325,-595.6875,6.1859445,-999.38,-3378.4680235
2026-01-01 10:00:00+00:00,757.24688,0.0,369.14,0.0,2073.765,0.0,3.81568025,1.41686275,0.0,999.38,-757.24688,-2073.765,-369.14,2.3988175000000003,-999.38,-4197.1330625
2026-01-01 11:00:00+00:00,1037.917696,0.0,0.03,0.2425,2264.1375,0.0,98.731391,0.0,0.0,999.38,-1037.917696,-2264.1375,0.2125,98.731391,-999.38,-4202.491305
2026-01-01 12:00:00+00:00,1041.59024,0.0,363.995,0.0,3369.1775,0.0,0.0,79.82903999999999,0.0,999.38,-1041.59024,-3369.1775,-363.995,-79.82903999999999,-999.38,-5853.971779999999
2026-01-01 13:00:00+00:00,1041.622736,0.0,849.62,0.0,3348.125,0.0,0.0,74.68738450000001,0.0,999.38,-1041.622736,-3348.125,-849.62,-74.68738450000001,-999.38,-6313.4351205
2026-01-01 14:00:00+00:00,1003.55088,0.0,320.585,0.0,3372.315,0.0,0.0,505.10408025000004,0.0,999.38,-1003.55088,-3372.315,-320.585,-505.10408025000004,-999.38,-6200.934960250001
2026-01-01 15:00:00+00:00,1021.207872,0.0,962.63,0.0,3365.5,0.0,0.0,969.774496,0.0,999.38,-1021.207872,-3365.5,-962.63,-969.774496,-999.38,-7318.492368
2026-01-01 16:00:00+00:00,1008.99704,0.0,715.8375,0.0,3560.7075,0.0,0.0,1424.13166375,0.0,999.38,-1008.99704,-3560.7075,-715.8375,-1424.13166375,-999.38,-7709.053703749999
2026-01-01 17:00:00+00:00,1021.440032,0.0,1044.56,0.0,3564.5475,0.0,0.0,1445.539117,0.0,999.38,-1021.440032,-3564.5475,-1044.56,-1445.539117,-999.38,-8075.466649000001
2026-01-01 18:00:00+00:00,1021.481808,0.0,1074.5475000000001,0.0,3561.8325,0.0,0.0,1446.120353,0.0,999.38,-1021.481808,-3561.8325,-1074.5475000000001,-1446.120353,-999.38,-8103.362161
2026-01-01 19:00:00+00:00,1012.214544,0.0,1073.1174999999998,0.0,3349.0625,0.0,0.0,1446.443104,0.0,999.38,-1012.214544,-3349.0625,-1073.1174999999998,-1446.443104,-999.38,-7880.217648000001
2026-01-01 20:00:00+00:00,1019.169648,0.0,1060.1025,0.0,2779.435,0.0,0.0,1434.90172075,0.0,999.38,-1019.169648,-2779.435,-1060.1025,-1434.90172075,-999.38,-7292.98886875
2026-01-01 21:00:00+00:00,683.68464,0.0,806.655,0.0,1804.495,0.0,0.0,1139.880955,0.0,999.38,-683.68464,-1804.495,-806.655,-1139.880955,-999.38,-5434.095595
2026-01-01 22:00:00+00:00,85.4481,0.0,743.625,0.0,1380.6625,0.0,0.0,679.850317,0.0,999.38,-85.4481,-1380.6625,-743.625,-679.850317,-999.38,-3888.965917
2026-01-01 23:00:00+00:00,224.138764,0.0,807.265,0.0,1435.985,0.0,0.0,221.20478150000002,0.0,994.9775,-224.138764,-1435.985,-807.265,-221.20478150000002,-994.9775,-3683.5710455
2026-01-02 00:00:00+00:00,185.108148,0.0,786.535,0.0,2871.6625,0.0,228.56445525,0.0,0.0,808.92,-185.108148,-2871.6625,-786.535,228.56445525,-808.92,-4423.66119275
2026-01-02 01:00:00+00:00,152.956,0.0,443.34749999999997,0.0,2740.58,0.0,671.4973132499999,0.0,0.0,768.9100000000001,-152.956,-2740.58,-443.34749999999997,671.4973132499999,-768.9100000000001,-3434.29618675
