,IT_SUD_IT_CALA,IT_CALA_IT_SUD,IT_SICI_IT_CALA,IT_CALA_IT_SICI,IT_CALA_IT_SICI_net_export,IT_CALA_IT_SUD_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,222.51500000000001,0.0,1326.98,1326.98,222.51500000000001,1549.4950000000001
2026-01-01 01:00:00+00:00,0.0,362.97,0.0,1253.365,1253.365,362.97,1616.335
2026-01-01 02:00:00+00:00,0.0,423.68,0.0,1136.8725,1136.8725,423.68,1560.5525
2026-01-01 03:00:00+00:00,0.0,517.1999999999999,0.0,1046.4125000000001,1046.4125000000001,517.1999999999999,1563.6125000000002
2026-01-01 04:00:00+00:00,0.0,547.6925,0.0,986.4575,986.4575,547.6925,1534.15
2026-01-01 05:00:00+00:00,0.0,391.0625,0.0,990.6075,990.6075,391.0625,1381.67
2026-01-01 06:00:00+00:00,0.0,458.5625,0.0,874.535,874.535,458.5625,1333.0974999999999
2026-01-01 07:00:00+00:00,0.0,578.5125,0.0,688.1899999999999,688.1899999999999,578.5125,1266.7024999999999
2026-01-01 08:00:00+00:00,55.165000000000006,157.53500000000003,0.0,555.125,555.125,102.37000000000002,657.495
2026-01-01 09:00:00+00:00,137.52249999999998,0.0,0.0,484.59749999999997,484.59749999999997,-137.52249999999998,347.075
2026-01-01 10:00:00+00:00,68.655,0.0,0.0,436.725,436.725,-68.655,368.07000000000005
2026-01-01 11:00:00+00:00,73.1875,0.0,0.0,420.42,420.42,-73.1875,347.2325
2026-01-01 12:00:00+00:00,58.215,4.0275,0.0,400.2825,400.2825,-54.1875,346.095
2026-01-01 13:00:00+00:00,0.0,100.49,0.0,205.875,205.875,100.49,306.365
2026-01-01 14:00:00+00:00,0.0,403.57,0.0,319.15,319.15,403.57,722.72
2026-01-01 15:00:00+00:00,0.0,986.9549999999999,0.0,312.835,312.835,986.9549999999999,1299.79
2026-01-01 16:00:00+00:00,0.0,1023.2175,0.0,264.64,264.64,1023.2175,1287.8575
2026-01-01 17:00:00+00:00,0.0,1050.0625,0.0,267.6725,267.6725,1050.0625,1317.7350000000001
2026-01-01 18:00:00+00:00,0.0,1174.1275,0.0,266.70000000000005,266.70000000000005,1174.1275,1440.8275
2026-01-01 19:00:00+00:00,0.0,1011.39,0.0,349.755,349.755,1011.39,1361.145
2026-01-01 20:00:00+00:00,0.0,819.2075,0.0,327.175,327.175,819.2075,1146.3825
2026-01-01 21:00:00+00:00,0.0,511.71500000000003,0.0,553.12,553.12,511.71500000000003,1064.835
2026-01-01 22:00:00+00:00,0.0,34.8775,0.0,811.3075,811.3075,34.8775,846.185
2026-01-01 23:00:00+00:00,8.9575,12.0525,0.0,629.875,629.875,3.0950000000000006,632.97
2026-01-02 00:00:00+00:00,0.0,151.805,0.0,476.2175,476.2175,151.805,628.0225
2026-01-02 01:00:00+00:00,3.9175,74.81,0.0,401.845,401.845,70.8925,472.7375
2026-01-02 02:00:00+00:00,12.195,159.9175,0.0,352.63,352.63,147.7225,500.35249999999996
2026-01-02 03:00:00+00:00,0.0,391.5175,0.0,253.255,253.255,391.5175,644.7725
2026-01-02 04:00:00+00:00,0.0,379.1475,0.0,248.9375,248.9375,379.1475,628.085
2026-01-02 05:00:00+00:00,0.0,449.7525,0.0,196.23250000000002,196.23250000000002,449.7525,645.985
2026-01-02 06:00:00+00:00,0.0,707.3725,54.4925,24.52,-29.9725,707.3725,677.4
2026-01-02 07:00:00+00:00,0.0,625.415,260.8675,0.0,-260.8675,625.415,364.54749999999996
2026-01-02 08:00:00+00:00,0.0,337.175,588.13,0.0,-588.13,337.175,-250.95499999999998
