,IT_NORD_IT_CNOR,IT_CNOR_IT_NORD,IT_CSUD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CNOR_IT_NORD_net_export,IT_CNOR_IT_CSUD_net_export,Net Export
2026-01-01 00:00:00+00:00,2305.69,0.0,0.0,1771.475,-2305.69,1771.475,-534.2150000000001
2026-01-01 01:00:00+00:00,2288.205,0.0,0.0,1733.2025,-2288.205,1733.2025,-555.0024999999998
2026-01-01 02:00:00+00:00,2247.69,0.0,0.0,1777.205,-2247.69,1777.205,-470.4850000000001
2026-01-01 03:00:00+00:00,1824.0025,0.0,0.0,1364.46,-1824.0025,1364.46,-459.5425
2026-01-01 04:00:00+00:00,1456.5825,0.0,0.0,981.2950000000001,-1456.5825,981.2950000000001,-475.2874999999999
2026-01-01 05:00:00+00:00,1654.2225,0.0,0.0,1222.0025,-1654.2225,1222.0025,-432.22
2026-01-01 06:00:00+00:00,1774.5775,0.0,0.0,1240.755,-1774.5775,1240.755,-533.8225
2026-01-01 07:00:00+00:00,465.125,22.0325,120.2875,147.33249999999998,-443.0925,27.044999999999987,-416.0475
2026-01-01 08:00:00+00:00,43.34,43.6375,226.83,0.8,0.29749999999999943,-226.03,-225.73250000000002
2026-01-01 09:00:00+00:00,0.0,258.87,455.06,0.0,258.87,-455.06,-196.19
2026-01-01 10:00:00+00:00,0.0,159.65,373.5725,0.0,159.65,-373.5725,-213.92249999999999
2026-01-01 11:00:00+00:00,32.3025,0.025,266.775,0.0,-32.2775,-266.775,-299.0525
2026-01-01 12:00:00+00:00,10.4675,250.71500000000003,567.5725,0.0,240.24750000000003,-567.5725,-327.32499999999993
2026-01-01 13:00:00+00:00,78.8425,194.555,672.105,0.0,115.7125,-672.105,-556.3925
2026-01-01 14:00:00+00:00,434.205,0.0,193.19750000000002,0.0,-434.205,-193.19750000000002,-627.4025
2026-01-01 15:00:00+00:00,1215.9575,0.0,0.0,461.4225,-1215.9575,461.4225,-754.535
2026-01-01 16:00:00+00:00,1337.0674999999999,0.0,0.0,446.785,-1337.0674999999999,446.785,-890.2824999999998
2026-01-01 17:00:00+00:00,1092.0175,0.0,0.0,186.0525,-1092.0175,186.0525,-905.9649999999999
2026-01-01 18:00:00+00:00,1378.8425,0.0,0.0,365.72249999999997,-1378.8425,365.72249999999997,-1013.12
2026-01-01 19:00:00+00:00,1408.895,0.0,0.0,487.47749999999996,-1408.895,487.47749999999996,-921.4175
2026-01-01 20:00:00+00:00,1549.475,0.0,0.0,782.6375,-1549.475,782.6375,-766.8374999999999
2026-01-01 21:00:00+00:00,1343.895,0.0,0.0,588.3175,-1343.895,588.3175,-755.5775
2026-01-01 22:00:00+00:00,803.575,0.0,0.0,216.28,-803.575,216.28,-587.2950000000001
2026-01-01 23:00:00+00:00,382.34749999999997,0.0,165.37,0.0,-382.34749999999997,-165.37,-547.7175
2026-01-02 00:00:00+00:00,57.8475,250.6375,686.235,0.0,192.79,-686.235,-493.44500000000005
2026-01-02 01:00:00+00:00,0.0,996.49,1488.1375,0.0,996.49,-1488.1375,-491.64750000000004
2026-01-02 02:00:00+00:00,0.0,1006.8375,1488.3925,0.0,1006.8375,-1488.3925,-481.55499999999995
2026-01-02 03:00:00+00:00,0.0,886.6825,1382.065,0.0,886.6825,-1382.065,-495.38250000000005
2026-01-02 04:00:00+00:00,0.0,858.6575,1393.7175,0.0,858.6575,-1393.7175,-535.06
2026-01-02 05:00:00+00:00,14.4375,179.26999999999998,900.4275,0.0,164.83249999999998,-900.4275,-735.595
2026-01-02 06:00:00+00:00,101.39750000000001,21.07,803.54,0.0,-80.32750000000001,-803.54,-883.8675
2026-01-02 07:00:00+00:00,216.3825,21.425,766.615,0.0,-194.95749999999998,-766.615,-961.5725
2026-01-02 08:00:00+00:00,0.0,119.375,1048.0125,0.0,119.375,-1048.0125,-928.6375
2026-01-02 09:00:00+00:00,0.0,532.895,1327.5825,0.0,532.895,-1327.5825,-794.6875
2026-01-02 10:00:00+00:00,0.0,924.03,1532.2075,0.0,924.03,-1532.2075,-608.1775
2026-01-02 11:00:00+00:00,0.0,639.155,1253.305,0.0,639.155,-1253.305,-614.1500000000001
2026-01-02 12:00:00+00:00,0.0,460.60249999999996,1013.4775,0.0,460.60249999999996,-1013.4775,-552.875
2026-01-02 13:00:00+00:00,89.58000000000001,67.72749999999999,707.185,0.0,-21.85250000000002,-707.185,-729.0374999999999
2026-01-02 14:00:00+00:00,495.5175,0.0,512.4075,0.0,-495.5175,-512.4075,-1007.925
2026-01-02 15:00:00+00:00,1792.3975,0.0,0.0,663.25,-1792.3975,663.25,-1129.1475
2026-01-02 16:00:00+00:00,2273.505,0.0,0.0,958.3925,-2273.505,958.3925,-1315.1125000000002
2026-01-02 17:00:00+00:00,1601.805,0.0,0.0,214.0175,-1601.805,214.0175,-1387.7875000000001
2026-01-02 18:00:00+00:00,1460.5825,0.0,107.0575,74.44,-1460.5825,-32.61750000000001,-1493.2
2026-01-02 19:00:00+00:00,892.13,0.0,484.31999999999994,0.0,-892.13,-484.31999999999994,-1376.4499999999998
2026-01-02 20:00:00+00:00,571.8325,0.0,615.11,0.0,-571.8325,-615.11,-1186.9425
