,ME_IT_CSUD,IT_CSUD_ME,IT_SUD_IT_CSUD,IT_CSUD_IT_SUD,IT_CSUD_IT_CNOR,IT_CNOR_IT_CSUD,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD,IT_CSUD_IT_CNOR_net_export,IT_CSUD_IT_SARD_net_export,IT_CSUD_IT_SUD_net_export,IT_CSUD_ME_net_export,Net Export
2026-01-01 00:00:00+00:00,51.75,0.0,887.84,0.0,0.0,1771.475,224.87,0.0,-1771.475,224.87,-887.84,-51.75,-2486.195
2026-01-01 01:00:00+00:00,78.25,0.0,980.585,0.0,0.0,1733.2025,326.21999999999997,0.0,-1733.2025,326.21999999999997,-980.585,-78.25,-2465.8175
2026-01-01 02:00:00+00:00,121.0,0.0,966.4925000000001,0.0,0.0,1777.205,438.46000000000004,0.0,-1777.205,438.46000000000004,-966.4925000000001,-121.0,-2426.2375
2026-01-01 03:00:00+00:00,178.75,0.0,955.735,0.0,0.0,1364.46,365.845,0.0,-1364.46,365.845,-955.735,-178.75,-2133.1
2026-01-01 04:00:00+00:00,179.5,0.0,957.045,0.0,0.0,981.2950000000001,243.695,0.0,-981.2950000000001,243.695,-957.045,-179.5,-1874.145
2026-01-01 05:00:00+00:00,165.5,0.0,751.255,0.0,0.0,1222.0025,183.36249999999998,0.0,-1222.0025,183.36249999999998,-751.255,-165.5,-1955.395
2026-01-01 06:00:00+00:00,141.5,0.0,1177.1425,0.0,0.0,1240.755,323.1875,0.0,-1240.755,323.1875,-1177.1425,-141.5,-2236.21
2026-01-01 07:00:00+00:00,159.25,0.0,1958.3600000000001,0.0,120.2875,147.33249999999998,157.215,0.0,-27.044999999999987,157.215,-1958.3600000000001,-159.25,-1987.44
2026-01-01 08:00:00+00:00,155.75,0.0,1963.925,0.0,226.83,0.8,60.85,0.0,226.03,60.85,-1963.925,-155.75,-1832.795
2026-01-01 09:00:00+00:00,162.25,0.0,2260.6150000000002,0.0,455.06,0.0,123.095,0.0,455.06,123.095,-2260.6150000000002,-162.25,-1844.7100000000003
2026-01-01 10:00:00+00:00,164.25,0.0,2370.185,0.0,373.5725,0.0,280.7875,0.0,373.5725,280.7875,-2370.185,-164.25,-1880.0749999999998
2026-01-01 11:00:00+00:00,162.0,0.0,2584.815,0.0,266.775,0.0,332.3525,0.0,266.775,332.3525,-2584.815,-162.0,-2147.6875
2026-01-01 12:00:00+00:00,162.0,0.0,2658.1325,0.0,567.5725,0.0,123.6175,0.0,567.5725,123.6175,-2658.1325,-162.0,-2128.9425
2026-01-01 13:00:00+00:00,159.5,0.0,2736.9275,0.0,672.105,0.0,136.0375,0.0,672.105,136.0375,-2736.9275,-159.5,-2088.285
2026-01-01 14:00:00+00:00,71.5,0.0,2612.06,0.0,193.19750000000002,0.0,180.675,0.0,193.19750000000002,180.675,-2612.06,-71.5,-2309.6875
2026-01-01 15:00:00+00:00,104.5,0.0,2232.4425,0.0,0.0,461.4225,305.8425,0.0,-461.4225,305.8425,-2232.4425,-104.5,-2492.5225
2026-01-01 16:00:00+00:00,71.0,0.0,2314.76,0.0,0.0,446.785,271.3125,0.0,-446.785,271.3125,-2314.76,-71.0,-2561.2325
2026-01-01 17:00:00+00:00,73.5,0.0,2738.21,0.0,0.0,186.0525,402.55,0.0,-186.0525,402.55,-2738.21,-73.5,-2595.2125
2026-01-01 18:00:00+00:00,58.25,0.0,2731.605,0.0,0.0,365.72249999999997,418.7975,0.0,-365.72249999999997,418.7975,-2731.605,-58.25,-2736.7799999999997
2026-01-01 19:00:00+00:00,73.0,0.0,2552.7925,0.0,0.0,487.47749999999996,417.46,0.0,-487.47749999999996,417.46,-2552.7925,-73.0,-2695.81
2026-01-01 20:00:00+00:00,0.75,0.0,2409.29,0.0,0.0,782.6375,342.9975,0.0,-782.6375,342.9975,-2409.29,-0.75,-2849.68
2026-01-01 21:00:00+00:00,0.5,0.0,2327.6675,0.0,0.0,588.3175,283.3675,0.0,-588.3175,283.3675,-2327.6675,-0.5,-2633.1175
