,FR_IT_NORD,IT_NORD_FR,CH_IT_NORD,IT_NORD_CH,AT_IT_NORD,IT_NORD_AT,IT_NORD_SI,SI_IT_NORD,IT_NORD_IT_CNOR,IT_CNOR_IT_NORD,IT_NORD_CH_net_export,IT_NORD_FR_net_export,IT_NORD_SI_net_export,IT_NORD_AT_net_export,IT_NORD_IT_CNOR_net_export,Net Export
2026-01-01 00:00:00+00:00,1290.805,0.0,1351.5,0.0,213.0,0.0,24.259999999999998,11.54,2305.69,0.0,-1351.5,-1290.805,12.719999999999999,-213.0,2305.69,-536.8950000000004
2026-01-01 01:00:00+00:00,958.2025,0.0,1333.5,0.0,190.0,0.0,8.1,37.31,2288.205,0.0,-1333.5,-958.2025,-29.21,-190.0,2288.205,-222.70749999999998
2026-01-01 02:00:00+00:00,903.37,0.0,1684.25,0.0,183.0,0.0,1.33,71.29,2247.69,0.0,-1684.25,-903.37,-69.96000000000001,-183.0,2247.69,-592.8899999999999
2026-01-01 03:00:00+00:00,795.5775,0.0,1638.5,0.0,175.25,0.0,64.62,0.05,1824.0025,0.0,-1638.5,-795.5775,64.57000000000001,-175.25,1824.0025,-720.7549999999997
2026-01-01 04:00:00+00:00,734.5475,0.0,1750.5,0.0,227.25,0.0,1.98,89.15,1456.5825,0.0,-1750.5,-734.5475,-87.17,-227.25,1456.5825,-1342.8850000000002
2026-01-01 05:00:00+00:00,474.73249999999996,0.0,1905.75,0.0,205.25,0.0,26.53,45.790000000000006,1654.2225,0.0,-1905.75,-474.73249999999996,-19.260000000000005,-205.25,1654.2225,-950.7700000000002
2026-01-01 06:00:00+00:00,512.375,0.0,2139.75,0.0,210.75,0.0,0.11,148.79,1774.5775,0.0,-2139.75,-512.375,-148.67999999999998,-210.75,1774.5775,-1236.9774999999997
2026-01-01 07:00:00+00:00,384.38,0.0,1589.25,0.0,199.0,0.0,0.0,64.13,465.125,22.0325,-1589.25,-384.38,-64.13,-199.0,443.0925,-1793.6675000000002
2026-01-01 08:00:00+00:00,527.155,0.0,1863.75,0.0,213.0,0.0,0.0,163.5,43.34,43.6375,-1863.75,-527.155,-163.5,-213.0,-0.29749999999999943,-2767.7025
2026-01-01 09:00:00+00:00,926.2175,0.0,1531.25,0.0,184.75,0.0,0.0,328.5,0.0,258.87,-1531.25,-926.2175,-328.5,-184.75,-258.87,-3229.5874999999996
2026-01-01 10:00:00+00:00,1076.9425,0.0,1500.25,0.0,199.75,0.0,0.0,408.25,0.0,159.65,-1500.25,-1076.9425,-408.25,-199.75,-159.65,-3344.8425
2026-01-01 11:00:00+00:00,1118.695,0.0,1533.75,0.0,206.0,0.0,0.0,640.0,32.3025,0.025,-1533.75,-1118.695,-640.0,-206.0,32.2775,-3466.1674999999996
2026-01-01 12:00:00+00:00,1096.1875,0.0,1184.75,0.0,178.75,0.0,0.0,390.5,10.4675,250.71500000000003,-1184.75,-1096.1875,-390.5,-178.75,-240.24750000000003,-3090.435
2026-01-01 13:00:00+00:00,1058.3725,0.0,1289.5,0.0,192.75,0.0,0.0,328.25,78.8425,194.555,-1289.5,-1058.3725,-328.25,-192.75,-115.7125,-2984.585
2026-01-01 14:00:00+00:00,1145.6575,0.0,1203.0,0.0,182.0,0.0,0.0,350.47,434.205,0.0,-1203.0,-1145.6575,-350.47,-182.0,434.205,-2446.9225000000006
2026-01-01 15:00:00+00:00,1350.325,0.0,1257.0,0.0,199.0,0.0,0.0,482.55,1215.9575,0.0,-1257.0,-1350.325,-482.55,-199.0,1215.9575,-2072.9175
2026-01-01 16:00:00+00:00,1246.5125,0.0,1420.75,0.0,220.5,0.0,0.0,187.0,1337.0674999999999,0.0,-1420.75,-1246.5125,-187.0,-220.5,1337.0674999999999,-1737.695
2026-01-01 17:00:00+00:00,1309.1575,0.0,1422.75,0.0,218.0,0.0,0.0,162.35,1092.0175,0.0,-1422.75,-1309.1575,-162.35,-218.0,1092.0175,-2020.2400000000002
2026-01-01 18:00:00+00:00,1339.6825000000001,0.0,1782.25,0.0,225.5,0.0,0.08,110.93,1378.8425,0.0,-1782.25,-1339.6825000000001,-110.85000000000001,-225.5,1378.8425,-2079.4399999999996
2026-01-01 19:00:00+00:00,1392.0425,0.0,1906.25,0.0,200.75,0.0,0.0,66.0,1408.895,0.0,-1906.25,-1392.0425,-66.0,-200.75,1408.895,-2156.1475
2026-01-01 20:00:00+00:00,1200.495,0.0,2022.0,0.0,198.25,0.0,35.25,13.0,1549.475,0.0,-2022.0,-1200.495,22.25,-198.25,1549.475,-1849.02
2026-01-01 21:00:00+00:00,893.62,0.0,1937.5,0.0,213.5,0.0,0.0,79.5,1343.895,0.0,-1937.5,-893.62,-79.5,-213.5,1343.895,-1780.225
2026-01-01 22:00:00+00:00,646.66,0.0,1742.25,0.0,214.75,0.0,6.14,142.38,803.575,0.0,-1742.25,-646.66,-136.24,-214.75,803.575,-1936.3249999999996
2026-01-01 23:00:00+00:00,269.75,0.0,1758.0,0.0,204.25,0.0,0.58,381.03,382.34749999999997,0.0,-1758.0,-269.75,-380.45,-204.25,382.34749999999997,-2230.1025
2026-01-02 00:00:00+00:00,256.6175,0.0,1472.5,0.0,194.25,0.0,0.0,512.25,57.8475,250.6375,-1472.5,-256.6175,-512.25,-194.25,-192.79,-2628.4075000000003
2026-01-02 01:00:00+00:00,188.0625,0.0,1170.5,0.0,188.5,0.0,0.0,538.25,0.0,996.49,-1170.5,-188.0625,-538.25,-188.5,-996.49,-3081.8025
2026-01-02 02:00:00+00:00,133.385,0.0,1179.25,0.0,195.75,0.0,0.0,646.14,0.0,1006.8375,-1179.25,-133.385,-646.14,-195.75,-1006.8375,-3161.3625
2026-01-02 03:00:00+00:00,131.885,0.0,1167.0,0.0,192.25,0.0,0.0,636.95,0.0,886.6825,-1167.0,-131.885,-636.95,-192.25,-886.6825,-3014.7675
2026-01-02 04:00:00+00:00,222.84,0.0,1427.0,0.0,196.5,0.0,0.0,614.6800000000001,0.0,858.6575,-1427.0,-222.84,-614.6800000000001,-196.5,-858.6575,-3319.6775
2026-01-02 05:00:00+00:00,395.07,0.0,2199.25,0.0,222.0,0.0,0.0,703.51,14.4375,179.26999999999998,-2199.25,-395.07,-703.51,-222.0,-164.83249999999998,-3684.6625
2026-01-02 06:00:00+00:00,631.4475,0.0,2741.25,0.0,217.0,0.0,0.0,270.25,101.39750000000001,21.07,-2741.25,-631.4475,-270.25,-217.0,80.32750000000001,-3779.6200000000003
2026-01-02 07:00:00+00:00,775.1125,0.0,2574.5,0.0,192.0,0.0,0.18,108.35000000000001,216.3825,21.425,-2574.5,-775.1125,-108.17,-192.0,194.95749999999998,-3454.8250000000003
2026-01-02 08:00:00+00:00,869.3775,0.0,2585.25,0.0,200.25,0.0,3.42,83.39,0.0,119.375,-2585.25,-869.3775,-79.97,-200.25,-119.375,-3854.2225
2026-01-02 09:00:00+00:00,1097.3075,0.0,1267.25,0.0,171.5,0.0,0.18,468.57,0.0,532.895,-1267.25,-1097.3075,-468.39,-171.5,-532.895,-3537.3424999999997
2026-01-02 10:00:00+00:00,1242.7875,0.0,773.75,0.0,194.75,0.0,0.0,646.81,0.0,924.03,-773.75,-1242.7875,-646.81,-194.75,-924.03,-3782.1274999999996
2026-01-02 11:00:00+00:00,1525.6775,0.0,1210.0,0.0,224.25,0.0,0.0,372.63,0.0,639.155,-1210.0,-1525.6775,-372.63,-224.25,-639.155,-3971.7124999999996
2026-01-02 12:00:00+00:00,1639.5525,0.0,1004.75,0.0,182.5,0.0,8.94,82.17999999999999,0.0,460.60249999999996,-1004.75,-1639.5525,-73.24,-182.5,-460.60249999999996,-3360.6449999999995
2026-01-02 13:00:00+00:00,1783.68,0.0,1312.0,0.0,191.75,0.0,75.02,0.49,89.58000000000001,67.72749999999999,-1312.0,-1783.68,74.53,-191.75,21.85250000000002,-3191.0475
2026-01-02 14:00:00+00:00,1953.0975,0.0,1750.5,0.0,204.0,0.0,84.76,1.4700000000000002,495.5175,0.0,-1750.5,-1953.0975,83.29,-204.0,495.5175,-3328.79
2026-01-02 15:00:00+00:00,2122.59,0.0,2218.0,0.0,201.5,0.0,0.69,66.65,1792.3975,0.0,-2218.0,-2122.59,-65.96000000000001,-201.5,1792.3975,-2815.6525
2026-01-02 16:00:00+00:00,2302.0775,0.0,2154.75,0.0,207.5,0.0,5.290000000000001,47.88,2273.505,0.0,-2154.75,-2302.0775,-42.59,-207.5,2273.505,-2433.4124999999995
2026-01-02 17:00:00+00:00,2048.4449999999997,0.0,2288.5,0.0,216.75,0.0,4.04,118.59,1601.805,0.0,-2288.5,-2048.4449999999997,-114.55,-216.75,1601.805,-3066.4399999999996
2026-01-02 18:00:00+00:00,1818.805,0.0,2681.25,0.0,210.5,0.0,1.65,83.63,1460.5825,0.0,-2681.25,-1818.805,-81.97999999999999,-210.5,1460.5825,-3331.9525
2026-01-02 19:00:00+00:00,1518.42,0.0,2659.5,0.0,188.5,0.0,4.48,46.54,892.13,0.0,-2659.5,-1518.42,-42.06,-188.5,892.13,-3516.3500000000004
