,IT_CSUD_IT_SARD,IT_SARD_IT_CSUD,IT_SARD_IT_CSUD_net_export,Net Export
2026-01-01 00:00:00+00:00,224.87,0.0,-224.87,-224.87
2026-01-01 01:00:00+00:00,326.21999999999997,0.0,-326.21999999999997,-326.21999999999997
2026-01-01 02:00:00+00:00,438.46000000000004,0.0,-438.46000000000004,-438.46000000000004
2026-01-01 03:00:00+00:00,365.845,0.0,-365.845,-365.845
2026-01-01 04:00:00+00:00,243.695,0.0,-243.695,-243.695
2026-01-01 05:00:00+00:00,183.36249999999998,0.0,-183.36249999999998,-183.36249999999998
2026-01-01 06:00:00+00:00,323.1875,0.0,-323.1875,-323.1875
2026-01-01 07:00:00+00:00,157.215,0.0,-157.215,-157.215
2026-01-01 08:00:00+00:00,60.85,0.0,-60.85,-60.85
2026-01-01 09:00:00+00:00,123.095,0.0,-123.095,-123.095
2026-01-01 10:00:00+00:00,280.7875,0.0,-280.7875,-280.7875
2026-01-01 11:00:00+00:00,332.3525,0.0,-332.3525,-332.3525
2026-01-01 12:00:00+00:00,123.6175,0.0,-123.6175,-123.6175
2026-01-01 13:00:00+00:00,136.0375,0.0,-136.0375,-136.0375
2026-01-01 14:00:00+00:00,180.675,0.0,-180.675,-180.675
2026-01-01 15:00:00+00:00,305.8425,0.0,-305.8425,-305.8425
2026-01-01 16:00:00+00:00,271.3125,0.0,-271.3125,-271.3125
2026-01-01 17:00:00+00:00,402.55,0.0,-402.55,-402.55
2026-01-01 18:00:00+00:00,418.7975,0.0,-418.7975,-418.7975
2026-01-01 19:00:00+00:00,417.46,0.0,-417.46,-417.46
2026-01-01 20:00:00+00:00,342.9975,0.0,-342.9975,-342.9975
2026-01-01 21:00:00+00:00,283.3675,0.0,-283.3675,-283.3675
2026-01-01 22:00:00+00:00,154.06,0.0,-154.06,-154.06
2026-01-01 23:00:00+00:00,5.4075,109.5025,104.095,104.095
2026-01-02 00:00:00+00:00,0.0,191.3275,191.3275,191.3275
2026-01-02 01:00:00+00:00,0.0,200.83,200.83,200.83
2026-01-02 02:00:00+00:00,134.885,10.4525,-124.43249999999999,-124.43249999999999
2026-01-02 03:00:00+00:00,407.515,0.0,-407.515,-407.515
2026-01-02 04:00:00+00:00,211.9125,0.0,-211.9125,-211.9125
2026-01-02 05:00:00+00:00,151.48499999999999,0.0,-151.48499999999999,-151.48499999999999
2026-01-02 06:00:00+00:00,44.6425,221.365,176.72250000000003,176.72250000000003
2026-01-02 07:00:00+00:00,0.0,456.56,456.56,456.56
2026-01-02 08:00:00+00:00,0.0,356.745,356.745,356.745
2026-01-02 09:00:00+00:00,0.0,289.4425,289.4425,289.4425
2026-01-02 10:00:00+00:00,0.0,225.8275,225.8275,225.8275
2026-01-02 11:00:00+00:00,208.0125,0.0,-208.0125,-208.0125
2026-01-02 12:00:00+00:00,148.4975,0.0,-148.4975,-148.4975
2026-01-02 13:00:00+00:00,155.41750000000002,0.0,-155.41750000000002,-155.41750000000002
2026-01-02 14:00:00+00:00,119.725,0.0,-119.725,-119.725
2026-01-02 15:00:00+00:00,150.17000000000002,0.0,-150.17000000000002,-150.17000000000002
2026-01-02 16:00:00+00:00,152.4875,0.0,-152.4875,-152.4875
