,GR_IT_SUD,IT_SUD_GR,IT_SUD_IT_CSUD,IT_CSUD_IT_SUD,IT_SUD_IT_CALA,IT_CALA_IT_SUD,IT_SUD_IT_CSUD_net_export,IT_SUD_IT_CALA_net_export,IT_SUD_GR_net_export,Net Export
2026-01-01 00:00:00+00:00,508.0,0.0,887.84,0.0,0.0,222.51500000000001,887.84,-222.51500000000001,-508.0,157.32500000000005
2026-01-01 01:00:00+00:00,508.0,0.0,980.585,0.0,0.0,362.97,980.585,-362.97,-508.0,109.61500000000001
2026-01-01 02:00:00+00:00,508.0,0.0,966.4925000000001,0.0,0.0,423.68,966.4925000000001,-423.68,-508.0,34.8125
2026-01-01 03:00:00+00:00,508.0,0.0,955.735,0.0,0.0,517.1999999999999,955.735,-517.1999999999999,-508.0,-69.46499999999992
2026-01-01 04:00:00+00:00,508.0,0.0,957.045,0.0,0.0,547.6925,957.045,-547.6925,-508.0,-98.64750000000004
2026-01-01 05:00:00+00:00,508.0,0.0,751.255,0.0,0.0,391.0625,751.255,-391.0625,-508.0,-147.8075
2026-01-01 06:00:00+00:00,508.0,0.0,1177.1425,0.0,0.0,458.5625,1177.1425,-458.5625,-508.0,210.57999999999993
2026-01-01 07:00:00+00:00,508.0,0.0,1958.3600000000001,0.0,0.0,578.5125,1958.3600000000001,-578.5125,-508.0,871.8475000000001
2026-01-01 08:00:00+00:00,508.0,0.0,1963.925,0.0,55.165000000000006,157.53500000000003,1963.925,-102.37000000000002,-508.0,1353.5549999999998
2026-01-01 09:00:00+00:00,506.5,0.0,2260.6150000000002,0.0,137.52249999999998,0.0,2260.6150000000002,137.52249999999998,-506.5,1891.6375000000003
2026-01-01 10:00:00+00:00,471.0,0.0,2370.185,0.0,68.655,0.0,2370.185,68.655,-471.0,1967.8400000000001
2026-01-01 11:00:00+00:00,508.0,0.0,2584.815,0.0,73.1875,0.0,2584.815,73.1875,-508.0,2150.0025
2026-01-01 12:00:00+00:00,508.0,0.0,2658.1325,0.0,58.215,4.0275,2658.1325,54.1875,-508.0,2204.32
2026-01-01 13:00:00+00:00,508.0,0.0,2736.9275,0.0,0.0,100.49,2736.9275,-100.49,-508.0,2128.4375
2026-01-01 14:00:00+00:00,466.25,0.0,2612.06,0.0,0.0,403.57,2612.06,-403.57,-466.25,1742.2399999999998
2026-01-01 15:00:00+00:00,0.0,49.0,2232.4425,0.0,0.0,986.9549999999999,2232.4425,-986.9549999999999,49.0,1294.4875000000002
2026-01-01 16:00:00+00:00,0.0,97.75,2314.76,0.0,0.0,1023.2175,2314.76,-1023.2175,97.75,1389.2925000000002
2026-01-01 17:00:00+00:00,47.0,0.0,2738.21,0.0,0.0,1050.0625,2738.21,-1050.0625,-47.0,1641.1475
2026-01-01 18:00:00+00:00,0.0,173.5,2731.605,0.0,0.0,1174.1275,2731.605,-1174.1275,173.5,1730.9775
2026-01-01 19:00:00+00:00,0.0,236.0,2552.7925,0.0,0.0,1011.39,2552.7925,-1011.39,236.0,1777.4025000000001
2026-01-01 20:00:00+00:00,3.0,0.0,2409.29,0.0,0.0,819.2075,2409.29,-819.2075,-3.0,1587.0825
2026-01-01 21:00:00+00:00,276.25,0.0,2327.6675,0.0,0.0,511.71500000000003,2327.6675,-511.71500000000003,-276.25,1539.7024999999999
