,LT_LV,LV_LT,LV_EE,EE_LV,LV_EE_net_export,LV_LT_net_export,Net Export
2026-01-01 00:00:00+00:00,676.25,0.0,155.25,0.0,155.25,-676.25,-521.0
2026-01-01 01:00:00+00:00,787.625,0.0,268.25,0.0,268.25,-787.625,-519.375
2026-01-01 02:00:00+00:00,842.0,0.0,329.25,0.0,329.25,-842.0,-512.75
2026-01-01 03:00:00+00:00,896.125,0.0,518.0,0.0,518.0,-896.125,-378.125
2026-01-01 04:00:00+00:00,780.0,0.0,516.75,0.0,516.75,-780.0,-263.25
2026-01-01 05:00:00+00:00,679.875,0.0,431.0,0.0,431.0,-679.875,-248.875
2026-01-01 06:00:00+00:00,648.625,0.0,378.5,0.0,378.5,-648.625,-270.125
2026-01-01 07:00:00+00:00,669.25,0.0,277.75,0.0,277.75,-669.25,-391.5
2026-01-01 08:00:00+00:00,856.125,0.0,402.5,0.0,402.5,-856.125,-453.625
2026-01-01 09:00:00+00:00,848.125,0.0,455.0,0.0,455.0,-848.125,-393.125
2026-01-01 10:00:00+00:00,898.0,0.0,478.0,0.0,478.0,-898.0,-420.0
2026-01-01 11:00:00+00:00,892.125,0.0,439.0,0.0,439.0,-892.125,-453.125
2026-01-01 12:00:00+00:00,768.0,0.0,338.25,0.0,338.25,-768.0,-429.75
2026-01-01 13:00:00+00:00,847.875,0.0,412.5,0.0,412.5,-847.875,-435.375
2026-01-01 14:00:00+00:00,862.875,0.0,398.0,0.0,398.0,-862.875,-464.875
2026-01-01 15:00:00+00:00,863.625,0.0,375.0,0.0,375.0,-863.625,-488.625
2026-01-01 16:00:00+00:00,875.5,0.0,382.25,0.0,382.25,-875.5,-493.25
2026-01-01 17:00:00+00:00,899.625,0.0,340.25,0.0,340.25,-899.625,-559.375
2026-01-01 18:00:00+00:00,835.375,0.0,162.5,0.0,162.5,-835.375,-672.875
2026-01-01 19:00:00+00:00,908.25,0.0,243.75,0.0,243.75,-908.25,-664.5
2026-01-01 20:00:00+00:00,826.25,0.0,204.75,0.0,204.75,-826.25,-621.5
2026-01-01 21:00:00+00:00,721.125,0.0,149.5,0.0,149.5,-721.125,-571.625
2026-01-01 22:00:00+00:00,774.125,0.0,219.0,0.0,219.0,-774.125,-555.125
2026-01-01 23:00:00+00:00,493.625,0.0,96.5,0.0,96.5,-493.625,-397.125
2026-01-02 00:00:00+00:00,604.625,0.0,325.5,0.0,325.5,-604.625,-279.125
2026-01-02 01:00:00+00:00,531.125,0.0,280.75,0.0,280.75,-531.125,-250.375
2026-01-02 02:00:00+00:00,564.625,0.0,305.25,0.0,305.25,-564.625,-259.375
2026-01-02 03:00:00+00:00,718.625,0.0,438.25,0.0,438.25,-718.625,-280.375
2026-01-02 04:00:00+00:00,480.75,0.0,172.75,15.0,157.75,-480.75,-323.0
2026-01-02 05:00:00+00:00,116.0,0.0,0.0,267.75,-267.75,-116.0,-383.75
2026-01-02 06:00:00+00:00,175.0,0.0,0.0,245.25,-245.25,-175.0,-420.25
2026-01-02 07:00:00+00:00,249.5,0.0,0.0,193.0,-193.0,-249.5,-442.5
2026-01-02 08:00:00+00:00,283.875,0.0,0.0,187.25,-187.25,-283.875,-471.125
2026-01-02 09:00:00+00:00,316.75,0.0,0.0,123.0,-123.0,-316.75,-439.75
2026-01-02 10:00:00+00:00,607.125,0.0,215.25,8.75,206.5,-607.125,-400.625
2026-01-02 11:00:00+00:00,858.875,0.0,452.25,0.0,452.25,-858.875,-406.625
2026-01-02 12:00:00+00:00,997.25,0.0,504.75,0.0,504.75,-997.25,-492.5
2026-01-02 13:00:00+00:00,1022.125,0.0,534.0,0.0,534.0,-1022.125,-488.125
