,RS_ME,ME_RS,ME_BA,BA_ME,ME_IT_CSUD,IT_CSUD_ME,ME_BA_net_export,ME_RS_net_export,ME_IT_CSUD_net_export,Net Export
2026-01-01 00:00:00+00:00,52.3098,0.0,0.0,629.268,51.75,0.0,-629.268,-52.3098,51.75,-629.8278
2026-01-01 01:00:00+00:00,92.6183,0.0,0.0,659.149225,78.25,0.0,-659.149225,-92.6183,78.25,-673.517525
2026-01-01 02:00:00+00:00,104.6949,0.0,0.0,680.018725,121.0,0.0,-680.018725,-104.6949,121.0,-663.713625
2026-01-01 03:00:00+00:00,116.5298,0.0,0.0,731.511725,178.75,0.0,-731.511725,-116.5298,178.75,-669.291525
2026-01-01 04:00:00+00:00,98.2646,0.0,0.0,700.21165,179.5,0.0,-700.21165,-98.2646,179.5,-618.9762499999999
2026-01-01 05:00:00+00:00,118.2546,0.0,0.0,713.089975,165.5,0.0,-713.089975,-118.2546,165.5,-665.844575
2026-01-01 06:00:00+00:00,0.0,60.5868,0.0,437.611125,141.5,0.0,-437.611125,60.5868,141.5,-235.52432500000003
2026-01-01 07:00:00+00:00,0.0,400.4754,148.231425,77.0534,159.25,0.0,71.178025,400.4754,159.25,630.903425
2026-01-01 08:00:00+00:00,0.0,579.3313,350.130075,24.662,155.75,0.0,325.468075,579.3313,155.75,1060.549375
2026-01-01 09:00:00+00:00,0.0,486.9381,193.968,36.8158,162.25,0.0,157.1522,486.9381,162.25,806.3403000000001
2026-01-01 10:00:00+00:00,0.0,397.2625,58.03,73.63865,164.25,0.0,-15.608649999999997,397.2625,164.25,545.9038499999999
2026-01-01 11:00:00+00:00,0.0,376.2987,62.01,68.22055,162.0,0.0,-6.210550000000005,376.2987,162.0,532.08815
2026-01-01 12:00:00+00:00,0.0,267.9632,23.166,203.482775,162.0,0.0,-180.316775,267.9632,162.0,249.64642499999997
2026-01-01 13:00:00+00:00,0.0,91.4893,3.498,451.91785,159.5,0.0,-448.41985,91.4893,159.5,-197.43054999999998
2026-01-01 14:00:00+00:00,151.0748,0.0,0.0,908.53625,71.5,0.0,-908.53625,-151.0748,71.5,-988.11105
2026-01-01 15:00:00+00:00,189.432,0.0,0.0,787.418025,104.5,0.0,-787.418025,-189.432,104.5,-872.350025
2026-01-01 16:00:00+00:00,183.4226,0.0,0.0,763.7004,71.0,0.0,-763.7004,-183.4226,71.0,-876.1229999999999
2026-01-01 17:00:00+00:00,191.4142,0.0,0.0,803.48885,73.5,0.0,-803.48885,-191.4142,73.5,-921.4030499999999
2026-01-01 18:00:00+00:00,197.5555,0.0,0.0,788.60535,58.25,0.0,-788.60535,-197.5555,58.25,-927.91085
2026-01-01 19:00:00+00:00,147.1749,0.0,0.0,855.725175,73.0,0.0,-855.725175,-147.1749,73.0,-929.900075
2026-01-01 20:00:00+00:00,166.6057,0.0,0.0,863.60785,0.75,0.0,-863.60785,-166.6057,0.75,-1029.46355
2026-01-01 21:00:00+00:00,136.8538,0.0,0.0,789.600475,0.5,0.0,-789.600475,-136.8538,0.5,-925.9542749999999
2026-01-01 22:00:00+00:00,196.9537,0.0,0.0,870.41945,50.75,0.0,-870.41945,-196.9537,50.75,-1016.6231499999999
2026-01-01 23:00:00+00:00,219.6363,0.0,0.0,856.214825,70.0,0.0,-856.214825,-219.6363,70.0,-1005.8511250000001
2026-01-02 00:00:00+00:00,233.918,0.0,0.0,855.685,70.5,0.0,-855.685,-233.918,70.5,-1019.1030000000001
2026-01-02 01:00:00+00:00,233.0191,0.0,0.0,843.647775,70.5,0.0,-843.647775,-233.0191,70.5,-1006.1668750000001
2026-01-02 02:00:00+00:00,224.4796,0.0,0.0,811.987075,70.5,0.0,-811.987075,-224.4796,70.5,-965.9666750000001
2026-01-02 03:00:00+00:00,190.579,0.0,0.0,759.3478,70.75,0.0,-759.3478,-190.579,70.75,-879.1768
2026-01-02 04:00:00+00:00,187.6746,0.0,0.0,761.48595,70.5,0.0,-761.48595,-187.6746,70.5,-878.6605500000001
2026-01-02 05:00:00+00:00,168.3051,0.0,0.0,743.332975,70.75,0.0,-743.332975,-168.3051,70.75,-840.8880750000001
2026-01-02 06:00:00+00:00,38.4179,0.0,0.0,598.40305,70.5,0.0,-598.40305,-38.4179,70.5,-566.32095
2026-01-02 07:00:00+00:00,0.0,221.5909,20.988,233.886775,70.75,0.0,-212.898775,221.5909,70.75,79.442125
2026-01-02 08:00:00+00:00,0.0,351.8385,66.26805,79.829,70.5,0.0,-13.560949999999991,351.8385,70.5,408.77755
2026-01-02 09:00:00+00:00,0.0,393.7283,148.799875,33.605,70.25,0.0,115.194875,393.7283,70.25,579.173175
2026-01-02 10:00:00+00:00,0.0,424.7525,213.18315,32.384,70.5,0.0,180.79915,424.7525,70.5,676.05165
2026-01-02 11:00:00+00:00,0.0,371.276,92.92005,47.357,69.25,0.0,45.563050000000004,371.276,69.25,486.08905000000004
2026-01-02 12:00:00+00:00,0.0,303.2078,45.99015,98.874,0.75,0.0,-52.883849999999995,303.2078,0.75,251.07395000000002
2026-01-02 13:00:00+00:00,0.0,144.1647,2.343,329.94255,0.5,0.0,-327.59954999999997,144.1647,0.5,-182.93484999999995
2026-01-02 14:00:00+00:00,98.6002,0.0,0.462,583.47975,0.25,0.0,-583.01775,-98.6002,0.25,-681.36795
2026-01-02 15:00:00+00:00,130.2302,0.0,0.33,602.42965,0.5,0.0,-602.09965,-130.2302,0.5,-731.82985
2026-01-02 16:00:00+00:00,129.811,0.0,10.164,540.413325,0.5,0.0,-530.249325,-129.811,0.5,-659.560325
2026-01-02 17:00:00+00:00,116.0796,0.0,24.684,487.115075,0.25,0.0,-462.43107499999996,-116.0796,0.25,-578.260675
2026-01-02 18:00:00+00:00,107.7593,0.0,7.062,533.2368,0.5,0.0,-526.1748,-107.7593,0.5,-633.4341
2026-01-02 19:00:00+00:00,113.072,0.0,1.65,554.34195,0.5,0.0,-552.69195,-113.072,0.5,-665.26395
2026-01-02 20:00:00+00:00,0.0,8.9624,5.28,476.910775,0.25,0.0,-471.630775,8.9624,0.25,-462.418375
