,BE_NL,NL_BE,NL_DE_LU,DE_LU_NL,NL_GB,GB_NL,NL_NO_2,NO_2_NL,NL_DK_1,DK_1_NL,NL_BE_net_export,NL_DE_LU_net_export,NL_GB_net_export,NL_NO_2_net_export,NL_DK_1_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,3531.669,113.21000000000001,1290.13,1017.2099999999999,0.0,0.0,564.3225,0.0,699.7,3531.669,-1176.92,1017.2099999999999,-564.3225,-699.7,2107.9365
2026-01-01 01:00:00+00:00,0.0,3707.125,305.43,1473.75,860.5775,0.0,0.0,323.095,0.0,699.9375,3707.125,-1168.32,860.5775,-323.095,-699.9375,2376.3500000000004
2026-01-01 02:00:00+00:00,0.0,3373.404,367.95,1488.36,962.5825,0.0,90.58250000000001,64.2975,0.0,700.03,3373.404,-1120.4099999999999,962.5825,26.28500000000001,-700.03,2541.8315000000002
2026-01-01 03:00:00+00:00,0.0,2714.609,838.0699999999999,1516.94,723.9549999999999,0.0,109.7925,0.0,0.0,699.75,2714.609,-678.8700000000001,723.9549999999999,109.7925,-699.75,2169.7364999999995
2026-01-01 04:00:00+00:00,0.0,2272.301,1221.32,1093.09,664.66,0.0,72.47999999999999,0.0,0.0,698.24,2272.301,128.23000000000002,664.66,72.47999999999999,-698.24,2439.4309999999996
2026-01-01 05:00:00+00:00,0.0,2611.043,1012.28,1027.16,754.295,0.0,0.0,6.59,0.0,682.6825,2611.043,-14.88000000000011,754.295,-6.59,-682.6825,2661.1855
2026-01-01 06:00:00+00:00,0.0,2446.123,917.33,806.34,799.9549999999999,0.0,0.0,149.72,0.0,700.045,2446.123,110.99000000000001,799.9549999999999,-149.72,-700.045,2507.3030000000003
2026-01-01 07:00:00+00:00,0.0,3062.13,0.0,1503.4099999999999,804.7975,0.0,0.0,125.235,0.0,700.085,3062.13,-1503.4099999999999,804.7975,-125.235,-700.085,1538.1975000000002
2026-01-01 08:00:00+00:00,0.0,3322.977,0.0,2190.8900000000003,666.175,0.0,149.2025,49.2975,0.0,698.3775,3322.977,-2190.8900000000003,666.175,99.90499999999999,-698.3775,1199.7894999999994
2026-01-01 09:00:00+00:00,0.0,3614.779,0.0,2988.84,595.6875,0.0,386.87,0.0,0.0,696.175,3614.779,-2988.84,595.6875,386.87,-696.175,912.3214999999998
2026-01-01 10:00:00+00:00,0.0,3336.753,0.0,2179.48,369.14,0.0,304.22249999999997,0.0,0.0,699.8525,3336.753,-2179.48,369.14,304.22249999999997,-699.8525,1130.783
2026-01-01 11:00:00+00:00,0.0,3191.108,138.73,1621.44,0.03,0.2425,0.0,0.0,0.0,699.8199999999999,3191.108,-1482.71,-0.2125,0.0,-699.8199999999999,1008.3655000000001
