,NL_NO_2,NO_2_NL,GB_NO_2,NO_2_GB,NO_2_DE_LU,DE_LU_NO_2,NO_2_DK_1,DK_1_NO_2,NO_2_NO_1,NO_1_NO_2,NO_2_NO_5,NO_5_NO_2,NO_2_DE_LU_net_export,NO_2_DK_1_net_export,NO_2_NL_net_export,NO_2_NO_1_net_export,NO_2_NO_5_net_export,NO_2_GB_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,564.3225,0.0,675.4286529999999,0.0,1343.66425,0.0,1553.988317,715.21624775,0.0,87.50864925,0.0,-1343.66425,-1553.988317,564.3225,715.21624775,87.50864925,675.4286529999999,-855.1765169999999
2026-01-01 01:00:00+00:00,0.0,323.095,0.0,670.68651375,0.0,1298.2525,0.0,1604.33086775,787.797202,0.0,117.54629225000001,0.0,-1298.2525,-1604.33086775,323.095,787.797202,117.54629225000001,670.68651375,-1003.4583597500001
2026-01-01 02:00:00+00:00,90.58250000000001,64.2975,0.0,388.4941175,0.0,1106.6865,0.0,1604.67520875,792.48639325,0.0,142.38577,0.0,-1106.6865,-1604.67520875,-26.28500000000001,792.48639325,142.38577,388.4941175,-1414.2804279999996
2026-01-01 03:00:00+00:00,109.7925,0.0,0.348611,33.2604715,0.0,1046.56175,0.0,1604.47340425,717.287783,0.0,104.141261,0.0,-1046.56175,-1604.47340425,-109.7925,717.287783,104.141261,32.9118605,-1906.4867497500002
2026-01-01 04:00:00+00:00,72.47999999999999,0.0,127.663716,0.0,0.0,1182.298,0.0,1604.01180725,766.1076265,0.0,100.59412499999999,0.0,-1182.298,-1604.01180725,-72.47999999999999,766.1076265,100.59412499999999,-127.663716,-2119.7517717499995
2026-01-01 05:00:00+00:00,0.0,6.59,148.606763,0.0,0.0,1394.1215,0.0,1604.8347765,1070.74019825,0.0,155.52558775,0.0,-1394.1215,-1604.8347765,6.59,1070.74019825,155.52558775,-148.606763,-1914.7072535
2026-01-01 06:00:00+00:00,0.0,149.72,333.8937525,0.0,0.0,1398.806,0.0,1604.7158805,1106.89877,0.0,127.91469375,0.0,-1398.806,-1604.7158805,149.72,1106.89877,127.91469375,-333.8937525,-1952.88216925
2026-01-01 07:00:00+00:00,0.0,125.235,221.636148,0.0,0.0,1394.6425,0.0,1605.0828207499999,995.8753322499999,0.0,83.5085955,0.0,-1394.6425,-1605.0828207499999,125.235,995.8753322499999,83.5085955,-221.636148,-2016.7425409999998
2026-01-01 08:00:00+00:00,149.2025,49.2975,133.395078,0.0,0.0,1133.53625,0.0,1604.9979935000001,1012.072541,0.0,73.60047225,0.0,-1133.53625,-1604.9979935000001,-99.90499999999999,1012.072541,73.60047225,-133.395078,-1886.1613082500005
2026-01-01 09:00:00+00:00,386.87,0.0,6.186159,0.0002145,0.0,980.22275,0.0,1605.2953715,869.445624,0.0,13.666561999999999,5.1429575,-980.22275,-1605.2953715,-386.87,869.445624,8.5236045,-6.1859445,-2100.6048375
2026-01-01 10:00:00+00:00,304.22249999999997,0.0,3.81568025,1.41686275,0.0,823.49575,0.0,1605.208848,651.36883675,0.0,0.0,47.0222835,-823.49575,-1605.208848,-304.22249999999997,651.36883675,-47.0222835,-2.3988175000000003,-2130.97936225
2026-01-01 11:00:00+00:00,0.0,0.0,98.731391,0.0,0.0,1029.1622499999999,0.0,1605.02378925,1223.1990270000001,0.0,153.08216825,0.0,-1029.1622499999999,-1605.02378925,0.0,1223.1990270000001,153.08216825,-98.731391,-1356.6362349999997
