,NO_1_NO_3,NO_3_NO_1,NO_5_NO_3,NO_3_NO_5,NO_4_NO_3,NO_3_NO_4,SE_2_NO_3,NO_3_SE_2,NO_3_NO_1_net_export,NO_3_NO_4_net_export,NO_3_NO_5_net_export,NO_3_SE_2_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,261.6534125,0.0,461.64797775,342.47192925,0.0,288.368196,0.0,261.6534125,-342.47192925,461.64797775,-288.368196,92.46126499999997
2026-01-01 01:00:00+00:00,0.0,209.00604425,0.0,360.15174824999997,225.01030875,0.0,410.67395799999997,0.0,209.00604425,-225.01030875,360.15174824999997,-410.67395799999997,-66.52647424999998
2026-01-01 02:00:00+00:00,0.0,170.62364374999999,0.0,215.364663,192.03757325,0.0,582.009472,0.0,170.62364374999999,-192.03757325,215.364663,-582.009472,-388.0587385
2026-01-01 03:00:00+00:00,0.0,144.22974325,0.0,99.28559874999999,200.14379525,0.0,653.373218,0.0,144.22974325,-200.14379525,99.28559874999999,-653.373218,-610.00167125
2026-01-01 04:00:00+00:00,0.0,173.07782500000002,9.42680575,9.8546315,256.96689575,0.0,666.9669477499999,0.0,173.07782500000002,-256.96689575,0.4278257500000002,-666.9669477499999,-750.4281927499999
2026-01-01 05:00:00+00:00,0.0,133.3359105,77.746609,0.0,281.41746224999997,0.0,661.303651,0.0,133.3359105,-281.41746224999997,-77.746609,-661.303651,-887.1318117499999
2026-01-01 06:00:00+00:00,0.0,182.2771945,87.53541575,0.0,247.71576575,0.0,613.13361875,0.0,182.2771945,-247.71576575,-87.53541575,-613.13361875,-766.10760575
2026-01-01 07:00:00+00:00,0.0,206.07761349999998,102.67635200000001,0.0,337.81405275,0.0,615.170649,0.0,206.07761349999998,-337.81405275,-102.67635200000001,-615.170649,-849.58344025
2026-01-01 08:00:00+00:00,0.0,214.11631275,86.49929375,0.0,432.10187625000003,0.0,630.6367447499999,0.0,214.11631275,-432.10187625000003,-86.49929375,-630.6367447499999,-935.1216019999999
2026-01-01 09:00:00+00:00,0.0,266.69712849999996,13.754122,0.0,613.8861475,0.0,591.58093725,0.0,266.69712849999996,-613.8861475,-13.754122,-591.58093725,-952.52407825
