,FI_NO_4,NO_4_FI,NO_4_SE_2,SE_2_NO_4,NO_4_NO_3,NO_3_NO_4,NO_4_SE_1,SE_1_NO_4,NO_4_SE_2_net_export,NO_4_FI_net_export,NO_4_NO_3_net_export,NO_4_SE_1_net_export,Net Export
2026-01-01 00:00:00+00:00,23.70072225,0.0,0.0,36.372785,342.47192925,0.0,0.0,211.16296925,-36.372785,-23.70072225,342.47192925,-211.16296925,71.23545275000004
2026-01-01 01:00:00+00:00,22.045104000000002,0.0,0.0,46.515221249999996,225.01030875,0.0,0.0,252.8813075,-46.515221249999996,-22.045104000000002,225.01030875,-252.8813075,-96.43132399999999
2026-01-01 02:00:00+00:00,25.758841,0.0,0.0,69.45142625,192.03757325,0.0,0.0,294.39416175,-69.45142625,-25.758841,192.03757325,-294.39416175,-197.56685575
2026-01-01 03:00:00+00:00,25.28701625,0.0,0.0,81.0128995,200.14379525,0.0,0.0,295.91940999999997,-81.0128995,-25.28701625,200.14379525,-295.91940999999997,-202.07553049999996
2026-01-01 04:00:00+00:00,31.508955750000002,0.0,0.0,79.63339625,256.96689575,0.0,0.0,281.9130955,-79.63339625,-31.508955750000002,256.96689575,-281.9130955,-136.08855175000002
2026-01-01 05:00:00+00:00,32.970211750000004,0.0,0.0,82.77113675000001,281.41746224999997,0.0,0.0,310.56598925000003,-82.77113675000001,-32.970211750000004,281.41746224999997,-310.56598925000003,-144.88987550000007
2026-01-01 06:00:00+00:00,37.47104675,0.0,0.0,77.00629749999999,247.71576575,0.0,0.0,281.14920925,-77.00629749999999,-37.47104675,247.71576575,-281.14920925,-147.91078775
2026-01-01 07:00:00+00:00,36.841852,0.0,0.0,68.057149,337.81405275,0.0,0.0,257.758744,-68.057149,-36.841852,337.81405275,-257.758744,-24.843692250000004
2026-01-01 08:00:00+00:00,40.86838,0.0,0.0,51.408122,432.10187625000003,0.0,0.0,212.8264995,-51.408122,-40.86838,432.10187625000003,-212.8264995,126.99887475000003
2026-01-01 09:00:00+00:00,37.488324500000004,0.0,0.0,19.86253825,613.8861475,0.0,0.0,145.06332325,-19.86253825,-37.488324500000004,613.8861475,-145.06332325,411.47196149999996
2026-01-01 10:00:00+00:00,12.875821,0.0,11.50553475,0.0,635.83829175,0.0,31.43393725,0.0,11.50553475,-12.875821,635.83829175,31.43393725,665.90194275
2026-01-01 11:00:00+00:00,11.073407,0.0,5.19505525,0.0,642.8981145,0.0,8.822288,12.31774975,5.19505525,-11.073407,642.8981145,-3.4954617500000005,633.524301
2026-01-01 12:00:00+00:00,11.7677125,0.0,0.0,31.75729225,690.44590925,0.0,0.0,47.548227499999996,-31.75729225,-11.7677125,690.44590925,-47.548227499999996,599.3726770000001
2026-01-01 13:00:00+00:00,4.36244275,2.808175,0.0,58.86507275,641.2814805,0.0,0.0,176.913597,-58.86507275,-1.5542677499999997,641.2814805,-176.913597,403.9485430000001
