,ES_PT,PT_ES,PT_ES_net_export,Net Export
2026-01-01 00:00:00+00:00,98.03,82.84,-15.189999999999998,-15.189999999999998
2026-01-01 01:00:00+00:00,11.85,65.99000000000001,54.14000000000001,54.14000000000001
2026-01-01 02:00:00+00:00,285.1,3.33,-281.77000000000004,-281.77000000000004
2026-01-01 03:00:00+00:00,851.8199999999999,0.0,-851.8199999999999,-851.8199999999999
2026-01-01 04:00:00+00:00,1016.26,0.0,-1016.26,-1016.26
2026-01-01 05:00:00+00:00,977.65,0.0,-977.65,-977.65
2026-01-01 06:00:00+00:00,416.73,0.0,-416.73,-416.73
2026-01-01 07:00:00+00:00,555.71,0.0,-555.71,-555.71
2026-01-01 08:00:00+00:00,987.47,0.0,-987.47,-987.47
2026-01-01 09:00:00+00:00,1365.78,0.0,-1365.78,-1365.78
2026-01-01 10:00:00+00:00,1614.33,0.0,-1614.33,-1614.33
2026-01-01 11:00:00+00:00,1982.19,0.0,-1982.19,-1982.19
2026-01-01 12:00:00+00:00,2054.13,0.0,-2054.13,-2054.13
2026-01-01 13:00:00+00:00,1749.23,0.0,-1749.23,-1749.23
2026-01-01 14:00:00+00:00,1673.23,0.0,-1673.23,-1673.23
2026-01-01 15:00:00+00:00,974.93,0.0,-974.93,-974.93
2026-01-01 16:00:00+00:00,0.0,698.09,698.09,698.09
2026-01-01 17:00:00+00:00,0.0,1785.15,1785.15,1785.15
2026-01-01 18:00:00+00:00,0.0,2171.9700000000003,2171.9700000000003,2171.9700000000003
2026-01-01 19:00:00+00:00,0.0,2307.36,2307.36,2307.36
2026-01-01 20:00:00+00:00,0.0,2394.57,2394.57,2394.57
2026-01-01 21:00:00+00:00,0.0,2243.29,2243.29,2243.29
2026-01-01 22:00:00+00:00,0.0,1647.1599999999999,1647.1599999999999,1647.1599999999999
2026-01-01 23:00:00+00:00,108.66,426.63,317.97,317.97
2026-01-02 00:00:00+00:00,728.11,0.0,-728.11,-728.11
2026-01-02 01:00:00+00:00,840.37,0.0,-840.37,-840.37
2026-01-02 02:00:00+00:00,534.22,0.0,-534.22,-534.22
2026-01-02 03:00:00+00:00,176.91,0.0,-176.91,-176.91
2026-01-02 04:00:00+00:00,163.69,3.72,-159.97,-159.97
2026-01-02 05:00:00+00:00,0.0,49.879999999999995,49.879999999999995,49.879999999999995
2026-01-02 06:00:00+00:00,0.0,1039.45,1039.45,1039.45
2026-01-02 07:00:00+00:00,0.0,2212.13,2212.13,2212.13
2026-01-02 08:00:00+00:00,0.0,2276.23,2276.23,2276.23
2026-01-02 09:00:00+00:00,0.0,1610.6799999999998,1610.6799999999998,1610.6799999999998
2026-01-02 10:00:00+00:00,0.0,727.64,727.64,727.64
2026-01-02 11:00:00+00:00,0.0,342.86,342.86,342.86
2026-01-02 12:00:00+00:00,47.87,25.97,-21.9,-21.9
2026-01-02 13:00:00+00:00,137.25,3.87,-133.38,-133.38
2026-01-02 14:00:00+00:00,23.15,116.98,93.83000000000001,93.83000000000001
2026-01-02 15:00:00+00:00,0.0,904.67,904.67,904.67
2026-01-02 16:00:00+00:00,0.0,1730.28,1730.28,1730.28
2026-01-02 17:00:00+00:00,0.0,2472.14,2472.14,2472.14
2026-01-02 18:00:00+00:00,0.0,2106.48,2106.48,2106.48
2026-01-02 19:00:00+00:00,0.0,1750.13,1750.13,1750.13
2026-01-02 20:00:00+00:00,0.0,1801.95,1801.95,1801.95
2026-01-02 21:00:00+00:00,0.0,1683.42,1683.42,1683.42
2026-01-02 22:00:00+00:00,0.0,1162.3,1162.3,1162.3
2026-01-02 23:00:00+00:00,0.0,905.4,905.4,905.4
2026-01-03 00:00:00+00:00,0.0,1082.0,1082.0,1082.0
2026-01-03 01:00:00+00:00,0.0,1157.74,1157.74,1157.74
2026-01-03 02:00:00+00:00,0.0,1205.37,1205.37,1205.37
2026-01-03 03:00:00+00:00,0.0,1390.78,1390.78,1390.78
2026-01-03 04:00:00+00:00,0.0,1590.21,1590.21,1590.21
2026-01-03 05:00:00+00:00,0.0,1588.72,1588.72,1588.72
2026-01-03 06:00:00+00:00,0.0,1699.43,1699.43,1699.43
2026-01-03 07:00:00+00:00,0.0,2034.02,2034.02,2034.02
2026-01-03 08:00:00+00:00,0.0,2548.5,2548.5,2548.5
2026-01-03 09:00:00+00:00,0.0,2299.21,2299.21,2299.21
2026-01-03 10:00:00+00:00,0.0,1418.7,1418.7,1418.7
2026-01-03 11:00:00+00:00,0.0,789.21,789.21,789.21
2026-01-03 12:00:00+00:00,0.0,330.63,330.63,330.63
2026-01-03 13:00:00+00:00,0.0,506.79,506.79,506.79
2026-01-03 14:00:00+00:00,0.0,794.3,794.3,794.3
2026-01-03 15:00:00+00:00,0.0,1679.47,1679.47,1679.47
2026-01-03 16:00:00+00:00,0.0,2326.97,2326.97,2326.97
2026-01-03 17:00:00+00:00,0.0,2020.57,2020.57,2020.57
2026-01-03 18:00:00+00:00,0.0,1392.02,1392.02,1392.02
2026-01-03 19:00:00+00:00,0.0,593.13,593.13,593.13
2026-01-03 20:00:00+00:00,0.0,240.02,240.02,240.02
2026-01-03 21:00:00+00:00,88.13,138.04000000000002,49.910000000000025,49.910000000000025
2026-01-03 22:00:00+00:00,335.24,0.0,-335.24,-335.24
2026-01-03 23:00:00+00:00,157.03,210.48000000000002,53.45000000000002,53.45000000000002
2026-01-04 00:00:00+00:00,632.26,0.0,-632.26,-632.26
2026-01-04 01:00:00+00:00,1909.95,0.0,-1909.95,-1909.95
2026-01-04 02:00:00+00:00,1922.78,0.0,-1922.78,-1922.78
2026-01-04 03:00:00+00:00,1743.03,0.0,-1743.03,-1743.03
2026-01-04 04:00:00+00:00,1905.53,0.0,-1905.53,-1905.53
2026-01-04 05:00:00+00:00,1762.72,0.0,-1762.72,-1762.72
2026-01-04 06:00:00+00:00,1640.38,0.0,-1640.38,-1640.38
2026-01-04 07:00:00+00:00,1731.32,0.0,-1731.32,-1731.32
2026-01-04 08:00:00+00:00,1830.6100000000001,0.0,-1830.6100000000001,-1830.6100000000001
2026-01-04 09:00:00+00:00,1878.53,0.0,-1878.53,-1878.53
2026-01-04 10:00:00+00:00,1764.1799999999998,0.0,-1764.1799999999998,-1764.1799999999998
2026-01-04 11:00:00+00:00,2223.69,0.0,-2223.69,-2223.69
2026-01-04 12:00:00+00:00,2337.34,0.0,-2337.34,-2337.34
2026-01-04 13:00:00+00:00,2066.84,0.0,-2066.84,-2066.84
2026-01-04 14:00:00+00:00,2090.27,0.0,-2090.27,-2090.27
2026-01-04 15:00:00+00:00,1959.53,0.0,-1959.53,-1959.53
2026-01-04 16:00:00+00:00,1548.99,0.0,-1548.99,-1548.99
2026-01-04 17:00:00+00:00,537.4300000000001,0.0,-537.4300000000001,-537.4300000000001
2026-01-04 18:00:00+00:00,285.46,0.0,-285.46,-285.46
2026-01-04 19:00:00+00:00,0.0,189.89,189.89,189.89
2026-01-04 20:00:00+00:00,0.0,581.71,581.71,581.71
2026-01-04 21:00:00+00:00,0.0,600.35,600.35,600.35
2026-01-04 22:00:00+00:00,150.04000000000002,97.94,-52.10000000000002,-52.10000000000002
2026-01-04 23:00:00+00:00,991.29,0.0,-991.29,-991.29
2026-01-05 00:00:00+00:00,1295.1399999999999,0.0,-1295.1399999999999,-1295.1399999999999
2026-01-05 01:00:00+00:00,1165.83,0.0,-1165.83,-1165.83
2026-01-05 02:00:00+00:00,1387.37,0.0,-1387.37,-1387.37
2026-01-05 03:00:00+00:00,1209.95,0.0,-1209.95,-1209.95
2026-01-05 04:00:00+00:00,667.3100000000001,0.0,-667.3100000000001,-667.3100000000001
2026-01-05 05:00:00+00:00,58.25,75.00999999999999,16.75999999999999,16.75999999999999
2026-01-05 06:00:00+00:00,0.0,908.28,908.28,908.28
2026-01-05 07:00:00+00:00,0.0,1399.79,1399.79,1399.79
2026-01-05 08:00:00+00:00,0.0,1347.53,1347.53,1347.53
2026-01-05 09:00:00+00:00,0.0,1195.63,1195.63,1195.63
2026-01-05 10:00:00+00:00,0.0,417.09,417.09,417.09
2026-01-05 11:00:00+00:00,91.47,0.0,-91.47,-91.47
2026-01-05 12:00:00+00:00,162.19,0.0,-162.19,-162.19
2026-01-05 13:00:00+00:00,225.53,0.0,-225.53,-225.53
2026-01-05 14:00:00+00:00,579.11,0.0,-579.11,-579.11
2026-01-05 15:00:00+00:00,688.91,0.0,-688.91,-688.91
2026-01-05 16:00:00+00:00,74.33,137.85,63.519999999999996,63.519999999999996
2026-01-05 17:00:00+00:00,0.0,963.32,963.32,963.32
2026-01-05 18:00:00+00:00,0.0,842.53,842.53,842.53
2026-01-05 19:00:00+00:00,0.0,628.8100000000001,628.8100000000001,628.8100000000001
2026-01-05 20:00:00+00:00,0.0,567.36,567.36,567.36
2026-01-05 21:00:00+00:00,0.0,367.72,367.72,367.72
2026-01-05 22:00:00+00:00,27.85,133.32999999999998,105.47999999999999,105.47999999999999
2026-01-05 23:00:00+00:00,6.37,181.19,174.82,174.82
2026-01-06 00:00:00+00:00,230.2,15.1,-215.1,-215.1
2026-01-06 01:00:00+00:00,626.72,0.0,-626.72,-626.72
2026-01-06 02:00:00+00:00,1493.31,0.0,-1493.31,-1493.31
2026-01-06 03:00:00+00:00,1563.3600000000001,0.0,-1563.3600000000001,-1563.3600000000001
2026-01-06 04:00:00+00:00,1499.66,0.0,-1499.66,-1499.66
2026-01-06 05:00:00+00:00,1853.44,0.0,-1853.44,-1853.44
2026-01-06 06:00:00+00:00,2050.54,0.0,-2050.54,-2050.54
2026-01-06 07:00:00+00:00,2761.62,0.0,-2761.62,-2761.62
2026-01-06 08:00:00+00:00,3422.5,0.0,-3422.5,-3422.5
2026-01-06 09:00:00+00:00,4321.18,0.0,-4321.18,-4321.18
2026-01-06 10:00:00+00:00,4095.97,0.0,-4095.97,-4095.97
2026-01-06 11:00:00+00:00,4014.08,0.0,-4014.08,-4014.08
2026-01-06 12:00:00+00:00,4025.9300000000003,0.0,-4025.9300000000003,-4025.9300000000003
2026-01-06 13:00:00+00:00,4027.8,0.0,-4027.8,-4027.8
2026-01-06 14:00:00+00:00,3908.11,0.0,-3908.11,-3908.11
2026-01-06 15:00:00+00:00,3851.5600000000004,0.0,-3851.5600000000004,-3851.5600000000004
2026-01-06 16:00:00+00:00,2848.0,0.0,-2848.0,-2848.0
2026-01-06 17:00:00+00:00,703.9499999999999,0.0,-703.9499999999999,-703.9499999999999
2026-01-06 18:00:00+00:00,388.39,0.0,-388.39,-388.39
2026-01-06 19:00:00+00:00,309.16999999999996,0.0,-309.16999999999996,-309.16999999999996
2026-01-06 20:00:00+00:00,640.4499999999999,0.0,-640.4499999999999,-640.4499999999999
2026-01-06 21:00:00+00:00,1108.28,0.0,-1108.28,-1108.28
2026-01-06 22:00:00+00:00,2079.77,0.0,-2079.77,-2079.77
2026-01-06 23:00:00+00:00,2718.4900000000002,0.0,-2718.4900000000002,-2718.4900000000002
2026-01-07 00:00:00+00:00,2815.1,0.0,-2815.1,-2815.1
2026-01-07 01:00:00+00:00,2655.9700000000003,0.0,-2655.9700000000003,-2655.9700000000003
2026-01-07 02:00:00+00:00,3113.01,0.0,-3113.01,-3113.01
2026-01-07 03:00:00+00:00,3193.92,0.0,-3193.92,-3193.92
2026-01-07 04:00:00+00:00,2676.05,0.0,-2676.05,-2676.05
2026-01-07 05:00:00+00:00,1644.09,0.0,-1644.09,-1644.09
2026-01-07 06:00:00+00:00,403.73,40.81,-362.92,-362.92
2026-01-07 07:00:00+00:00,0.0,249.62,249.62,249.62
2026-01-07 08:00:00+00:00,652.3299999999999,0.0,-652.3299999999999,-652.3299999999999
2026-01-07 09:00:00+00:00,2320.74,0.0,-2320.74,-2320.74
2026-01-07 10:00:00+00:00,2714.06,0.0,-2714.06,-2714.06
2026-01-07 11:00:00+00:00,2610.83,0.0,-2610.83,-2610.83
2026-01-07 12:00:00+00:00,2397.96,0.0,-2397.96,-2397.96
2026-01-07 13:00:00+00:00,2658.9300000000003,0.0,-2658.9300000000003,-2658.9300000000003
2026-01-07 14:00:00+00:00,2195.85,0.0,-2195.85,-2195.85
2026-01-07 15:00:00+00:00,1646.01,0.0,-1646.01,-1646.01
2026-01-07 16:00:00+00:00,781.32,0.0,-781.32,-781.32
2026-01-07 17:00:00+00:00,217.42000000000002,0.0,-217.42000000000002,-217.42000000000002
2026-01-07 18:00:00+00:00,584.41,0.0,-584.41,-584.41
2026-01-07 19:00:00+00:00,1331.19,0.0,-1331.19,-1331.19
2026-01-07 20:00:00+00:00,1730.3999999999999,0.0,-1730.3999999999999,-1730.3999999999999
2026-01-07 21:00:00+00:00,2417.75,0.0,-2417.75,-2417.75
2026-01-07 22:00:00+00:00,2740.27,0.0,-2740.27,-2740.27
2026-01-07 23:00:00+00:00,2789.75,0.0,-2789.75,-2789.75
2026-01-08 00:00:00+00:00,2335.8599999999997,0.0,-2335.8599999999997,-2335.8599999999997
2026-01-08 01:00:00+00:00,1955.93,0.0,-1955.93,-1955.93
2026-01-08 02:00:00+00:00,2037.5099999999998,0.0,-2037.5099999999998,-2037.5099999999998
2026-01-08 03:00:00+00:00,2004.22,0.0,-2004.22,-2004.22
2026-01-08 04:00:00+00:00,1746.8,0.0,-1746.8,-1746.8
2026-01-08 05:00:00+00:00,1423.18,0.0,-1423.18,-1423.18
2026-01-08 06:00:00+00:00,429.04,0.0,-429.04,-429.04
2026-01-08 07:00:00+00:00,27.11,3.41,-23.7,-23.7
2026-01-08 08:00:00+00:00,927.0699999999999,0.0,-927.0699999999999,-927.0699999999999
2026-01-08 09:00:00+00:00,2525.35,0.0,-2525.35,-2525.35
2026-01-08 10:00:00+00:00,3304.16,0.0,-3304.16,-3304.16
2026-01-08 11:00:00+00:00,3038.75,0.0,-3038.75,-3038.75
2026-01-08 12:00:00+00:00,2559.28,0.0,-2559.28,-2559.28
2026-01-08 13:00:00+00:00,2435.81,0.0,-2435.81,-2435.81
2026-01-08 14:00:00+00:00,2393.6800000000003,0.0,-2393.6800000000003,-2393.6800000000003
2026-01-08 15:00:00+00:00,2180.41,0.0,-2180.41,-2180.41
2026-01-08 16:00:00+00:00,1583.6100000000001,0.0,-1583.6100000000001,-1583.6100000000001
2026-01-08 17:00:00+00:00,0.0,217.5,217.5,217.5
2026-01-08 18:00:00+00:00,6.02,127.66999999999999,121.64999999999999,121.64999999999999
2026-01-08 19:00:00+00:00,5.45,21.419999999999998,15.969999999999999,15.969999999999999
2026-01-08 20:00:00+00:00,173.47,0.0,-173.47,-173.47
2026-01-08 21:00:00+00:00,571.4200000000001,0.0,-571.4200000000001,-571.4200000000001
2026-01-08 22:00:00+00:00,1171.31,0.0,-1171.31,-1171.31
2026-01-08 23:00:00+00:00,1448.58,0.0,-1448.58,-1448.58
2026-01-09 00:00:00+00:00,1626.25,0.0,-1626.25,-1626.25
2026-01-09 01:00:00+00:00,1519.22,0.0,-1519.22,-1519.22
2026-01-09 02:00:00+00:00,1958.89,0.0,-1958.89,-1958.89
2026-01-09 03:00:00+00:00,2094.9700000000003,0.0,-2094.9700000000003,-2094.9700000000003
2026-01-09 04:00:00+00:00,1864.75,0.0,-1864.75,-1864.75
2026-01-09 05:00:00+00:00,961.08,0.0,-961.08,-961.08
2026-01-09 06:00:00+00:00,128.26,92.53999999999999,-35.72,-35.72
2026-01-09 07:00:00+00:00,0.0,642.05,642.05,642.05
2026-01-09 08:00:00+00:00,533.38,125.79,-407.59,-407.59
2026-01-09 09:00:00+00:00,2064.65,0.0,-2064.65,-2064.65
2026-01-09 10:00:00+00:00,2867.21,0.0,-2867.21,-2867.21
2026-01-09 11:00:00+00:00,3215.71,0.0,-3215.71,-3215.71
2026-01-09 12:00:00+00:00,3128.02,0.0,-3128.02,-3128.02
2026-01-09 13:00:00+00:00,3148.31,0.0,-3148.31,-3148.31
2026-01-09 14:00:00+00:00,3193.26,0.0,-3193.26,-3193.26
2026-01-09 15:00:00+00:00,2896.62,0.0,-2896.62,-2896.62
2026-01-09 16:00:00+00:00,1775.16,0.0,-1775.16,-1775.16
2026-01-09 17:00:00+00:00,63.28,122.19,58.91,58.91
2026-01-09 18:00:00+00:00,0.0,201.71,201.71,201.71
2026-01-09 19:00:00+00:00,312.28999999999996,8.73,-303.55999999999995,-303.55999999999995
2026-01-09 20:00:00+00:00,947.02,0.0,-947.02,-947.02
2026-01-09 21:00:00+00:00,1308.16,0.0,-1308.16,-1308.16
2026-01-09 22:00:00+00:00,2116.78,0.0,-2116.78,-2116.78
2026-01-09 23:00:00+00:00,2146.07,0.0,-2146.07,-2146.07
2026-01-10 00:00:00+00:00,2058.96,0.0,-2058.96,-2058.96
2026-01-10 01:00:00+00:00,2013.8500000000001,0.0,-2013.8500000000001,-2013.8500000000001
2026-01-10 02:00:00+00:00,2473.89,0.0,-2473.89,-2473.89
2026-01-10 03:00:00+00:00,2581.26,0.0,-2581.26,-2581.26
2026-01-10 04:00:00+00:00,2518.74,0.0,-2518.74,-2518.74
2026-01-10 05:00:00+00:00,1804.28,0.0,-1804.28,-1804.28
2026-01-10 06:00:00+00:00,1263.79,0.0,-1263.79,-1263.79
2026-01-10 07:00:00+00:00,938.71,0.0,-938.71,-938.71
2026-01-10 08:00:00+00:00,264.23,50.0,-214.23000000000002,-214.23000000000002
2026-01-10 09:00:00+00:00,1682.0700000000002,0.0,-1682.0700000000002,-1682.0700000000002
2026-01-10 10:00:00+00:00,3394.39,0.0,-3394.39,-3394.39
2026-01-10 11:00:00+00:00,4091.92,0.0,-4091.92,-4091.92
2026-01-10 12:00:00+00:00,4498.32,0.0,-4498.32,-4498.32
2026-01-10 13:00:00+00:00,4528.32,0.0,-4528.32,-4528.32
2026-01-10 14:00:00+00:00,4214.75,0.0,-4214.75,-4214.75
