,HU_RO,RO_HU,RS_RO,RO_RS,RO_BG,BG_RO,RO_BG_net_export,RO_HU_net_export,RO_RS_net_export,Net Export
2026-01-01 00:00:00+00:00,726.812,0.0,0.0,84.8261,651.04,0.0,651.04,-726.812,84.8261,9.054099999999949
2026-01-01 01:00:00+00:00,715.48725,0.0,0.0,77.7393,693.04,0.0,693.04,-715.48725,77.7393,55.292049999999946
2026-01-01 02:00:00+00:00,685.24425,0.0,0.0,76.7973,664.88,0.0,664.88,-685.24425,76.7973,56.43305000000004
2026-01-01 03:00:00+00:00,680.52175,0.0,0.0,49.8548,705.84,0.0,705.84,-680.52175,49.8548,75.17305000000003
2026-01-01 04:00:00+00:00,671.5295,0.0,0.0,0.7243,713.12,0.0,713.12,-671.5295,0.7243,42.31480000000002
2026-01-01 05:00:00+00:00,616.27325,0.0,0.0,63.542,928.0,0.0,928.0,-616.27325,63.542,375.26875000000007
2026-01-01 06:00:00+00:00,454.58299999999997,0.0,0.0,92.8536,803.44,0.0,803.44,-454.58299999999997,92.8536,441.7106000000001
2026-01-01 07:00:00+00:00,152.96,2.11225,0.0,187.734,317.04,214.0,103.04000000000002,-150.84775000000002,187.734,139.92625
2026-01-01 08:00:00+00:00,1.79775,139.445,0.0,249.9553,202.4,380.64,-178.23999999999998,137.64724999999999,249.9553,209.36255
2026-01-01 09:00:00+00:00,0.0,168.695,0.0,319.174,401.6,317.76,83.84000000000003,168.695,319.174,571.7090000000001
2026-01-01 10:00:00+00:00,23.69725,4.117999999999999,0.0,320.2515,674.4,176.4,498.0,-19.579250000000002,320.2515,798.6722500000001
2026-01-01 11:00:00+00:00,47.08825,0.665,0.0,339.694,760.0,158.32,601.6800000000001,-46.42325,339.694,894.95075
2026-01-01 12:00:00+00:00,209.38825,0.0,0.0,327.1762,834.8,49.04,785.76,-209.38825,327.1762,903.54795
2026-01-01 13:00:00+00:00,376.36,0.0,0.0,276.5415,1140.0,0.48,1139.52,-376.36,276.5415,1039.7015
2026-01-01 14:00:00+00:00,608.11375,0.0,0.0,37.0587,1422.72,0.0,1422.72,-608.11375,37.0587,851.6649500000001
2026-01-01 15:00:00+00:00,578.8835,0.0,0.0,92.3795,1334.56,0.0,1334.56,-578.8835,92.3795,848.0559999999999
