,FI_SE_1,SE_1_FI,NO_4_SE_1,SE_1_NO_4,SE_1_SE_2,SE_2_SE_1,SE_1_FI_net_export,SE_1_NO_4_net_export,SE_1_SE_2_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,1778.375,0.0,211.16296925,0.0,616.9333799999999,1778.375,211.16296925,-616.9333799999999,1372.6045892500001
2026-01-01 01:00:00+00:00,0.0,1785.525,0.0,252.8813075,0.0,950.3512880000001,1785.525,252.8813075,-950.3512880000001,1088.0550195
2026-01-01 02:00:00+00:00,0.0,1858.675,0.0,294.39416175,0.0,1296.5650485,1858.675,294.39416175,-1296.5650485,856.50411325
2026-01-01 03:00:00+00:00,0.0,1810.425,0.0,295.91940999999997,0.0,1390.9716795,1810.425,295.91940999999997,-1390.9716795,715.3727304999998
2026-01-01 04:00:00+00:00,0.0,1791.825,0.0,281.9130955,0.0,1276.063263,1791.825,281.9130955,-1276.063263,797.6748324999999
2026-01-01 05:00:00+00:00,0.0,1790.45,0.0,310.56598925000003,0.0,1311.895569,1790.45,310.56598925000003,-1311.895569,789.12042025
2026-01-01 06:00:00+00:00,0.0,1933.175,0.0,281.14920925,0.0,1179.13931275,1933.175,281.14920925,-1179.13931275,1035.1848965
2026-01-01 07:00:00+00:00,0.0,1854.275,0.0,257.758744,0.0,1105.600342,1854.275,257.758744,-1105.600342,1006.4334020000003
2026-01-01 08:00:00+00:00,0.0,1942.825,0.0,212.8264995,0.0,1188.42990125,1942.825,212.8264995,-1188.42990125,967.2215982500002
2026-01-01 09:00:00+00:00,0.0,1732.6750000000002,0.0,145.06332325,0.0,989.854431,1732.6750000000002,145.06332325,-989.854431,887.8838922500001
2026-01-01 10:00:00+00:00,0.0,2049.55,31.43393725,0.0,0.0,1122.81555175,2049.55,-31.43393725,-1122.81555175,895.3005110000001
2026-01-01 11:00:00+00:00,0.0,1958.5,8.822288,12.31774975,0.0,1105.919159,1958.5,3.4954617500000005,-1105.919159,856.07630275
2026-01-01 12:00:00+00:00,0.0,1835.875,0.0,47.548227499999996,0.0,932.9726865,1835.875,47.548227499999996,-932.9726865,950.4505409999999
2026-01-01 13:00:00+00:00,0.0,1842.025,0.0,176.913597,0.0,952.19844025,1842.025,176.913597,-952.19844025,1066.74015675
2026-01-01 14:00:00+00:00,0.0,1806.225,0.0,226.07570725,0.0,738.079529,1806.225,226.07570725,-738.079529,1294.2211782499999
2026-01-01 15:00:00+00:00,0.0,1828.575,0.0,312.53919675,0.0,688.3955384999999,1828.575,312.53919675,-688.3955384999999,1452.7186582499999
2026-01-01 16:00:00+00:00,0.0,1899.9,0.0,404.94608475,0.0,664.15733325,1899.9,404.94608475,-664.15733325,1640.6887515
2026-01-01 17:00:00+00:00,0.0,1835.35,0.0,222.59425075000001,0.0,365.85155475,1835.35,222.59425075000001,-365.85155475,1692.0926959999997
2026-01-01 18:00:00+00:00,0.0,1688.125,0.0,138.0333555,0.0,175.4834595,1688.125,138.0333555,-175.4834595,1650.674896
2026-01-01 19:00:00+00:00,0.0,1767.8,0.0,101.32273375,0.0,214.72941225,1767.8,101.32273375,-214.72941225,1654.3933215
2026-01-01 20:00:00+00:00,0.0,1891.075,0.0,79.24413625,0.0,295.56663875,1891.075,79.24413625,-295.56663875,1674.7524975000001
2026-01-01 21:00:00+00:00,0.0,1807.975,0.0,179.792824,0.0,462.19068175,1807.975,179.792824,-462.19068175,1525.57714225
2026-01-01 22:00:00+00:00,0.0,1818.275,0.0,285.33426775,0.0,621.09825925,1818.275,285.33426775,-621.09825925,1482.5110085000001
2026-01-01 23:00:00+00:00,0.0,1883.65,0.0,402.0841765,0.0,770.679184,1883.65,402.0841765,-770.679184,1515.0549925
