,SE_3_SE_2,SE_2_SE_3,NO_4_SE_2,SE_2_NO_4,SE_1_SE_2,SE_2_SE_1,SE_2_NO_3,NO_3_SE_2,SE_2_NO_3_net_export,SE_2_NO_4_net_export,SE_2_SE_1_net_export,SE_2_SE_3_net_export,Net Export
2026-01-01 00:00:00+00:00,0.0,6464.784668,0.0,36.372785,0.0,616.9333799999999,288.368196,0.0,288.368196,36.372785,616.9333799999999,6464.784668,7406.459029000001
2026-01-01 01:00:00+00:00,0.0,5691.477173,0.0,46.515221249999996,0.0,950.3512880000001,410.67395799999997,0.0,410.67395799999997,46.515221249999996,950.3512880000001,5691.477173,7099.01764025
2026-01-01 02:00:00+00:00,0.0,4903.151123,0.0,69.45142625,0.0,1296.5650485,582.009472,0.0,582.009472,69.45142625,1296.5650485,4903.151123,6851.17706975
2026-01-01 03:00:00+00:00,0.0,4530.6132815,0.0,81.0128995,0.0,1390.9716795,653.373218,0.0,653.373218,81.0128995,1390.9716795,4530.6132815,6655.9710785
2026-01-01 04:00:00+00:00,0.0,4649.681274250001,0.0,79.63339625,0.0,1276.063263,666.9669477499999,0.0,666.9669477499999,79.63339625,1276.063263,4649.681274250001,6672.344881250001
2026-01-01 05:00:00+00:00,0.0,4311.87683125,0.0,82.77113675000001,0.0,1311.895569,661.303651,0.0,661.303651,82.77113675000001,1311.895569,4311.87683125,6367.847188
2026-01-01 06:00:00+00:00,0.0,4250.1513672500005,0.0,77.00629749999999,0.0,1179.13931275,613.13361875,0.0,613.13361875,77.00629749999999,1179.13931275,4250.1513672500005,6119.43059625
2026-01-01 07:00:00+00:00,0.0,4348.32678225,0.0,68.057149,0.0,1105.600342,615.170649,0.0,615.170649,68.057149,1105.600342,4348.32678225,6137.15492225
2026-01-01 08:00:00+00:00,0.0,4566.26147475,0.0,51.408122,0.0,1188.42990125,630.6367447499999,0.0,630.6367447499999,51.408122,1188.42990125,4566.26147475,6436.73624275
2026-01-01 09:00:00+00:00,0.0,4968.829956,0.0,19.86253825,0.0,989.854431,591.58093725,0.0,591.58093725,19.86253825,989.854431,4968.829956,6570.1278624999995
2026-01-01 10:00:00+00:00,0.0,5202.30529775,11.50553475,0.0,0.0,1122.81555175,492.06834475,0.0,492.06834475,-11.50553475,1122.81555175,5202.30529775,6805.6836595
2026-01-01 11:00:00+00:00,0.0,5621.683837750001,5.19505525,0.0,0.0,1105.919159,541.122241,0.0,541.122241,-5.19505525,1105.919159,5621.683837750001,7263.530182500001
2026-01-01 12:00:00+00:00,0.0,6049.67309575,0.0,31.75729225,0.0,932.9726865,605.83051725,0.0,605.83051725,31.75729225,932.9726865,6049.67309575,7620.23359175
2026-01-01 13:00:00+00:00,0.0,6423.15185525,0.0,58.86507275,0.0,952.19844025,648.9005405,0.0,648.9005405,58.86507275,952.19844025,6423.15185525,8083.11590875
2026-01-01 14:00:00+00:00,0.0,6801.04882825,0.0,72.362496,0.0,738.079529,619.6009865,0.0,619.6009865,72.362496,738.079529,6801.04882825,8231.091839749999
2026-01-01 15:00:00+00:00,0.0,7012.635498,0.0,99.2712175,0.0,688.3955384999999,669.60016,0.0,669.60016,99.2712175,688.3955384999999,7012.635498,8469.902414
2026-01-01 16:00:00+00:00,0.0,7151.16796875,0.0,128.6336115,0.0,664.15733325,656.83587175,0.0,656.83587175,128.6336115,664.15733325,7151.16796875,8600.79478525
2026-01-01 17:00:00+00:00,0.0,7291.824707,0.0,59.8976425,0.0,365.85155475,515.20518975,0.0,515.20518975,59.8976425,365.85155475,7291.824707,8232.779094
2026-01-01 18:00:00+00:00,0.0,7290.78393575,0.0,55.1836725,0.0,175.4834595,532.4211625,0.0,532.4211625,55.1836725,175.4834595,7290.78393575,8053.87223025
2026-01-01 19:00:00+00:00,0.0,7074.22705075,0.0,47.971392,0.0,214.72941225,514.490192,0.0,514.490192,47.971392,214.72941225,7074.22705075,7851.418047
2026-01-01 20:00:00+00:00,0.0,6769.409912,0.0,37.04985225,0.0,295.56663875,473.179844,0.0,473.179844,37.04985225,295.56663875,6769.409912,7575.206247
2026-01-01 21:00:00+00:00,0.0,6268.9418945,0.0,67.334847,0.0,462.19068175,551.205292,0.0,551.205292,67.334847,462.19068175,6268.9418945,7349.67271525
2026-01-01 22:00:00+00:00,0.0,5798.053467,0.0,117.37004575,0.0,621.09825925,655.11609525,0.0,655.11609525,117.37004575,621.09825925,5798.053467,7191.6378672499995
2026-01-01 23:00:00+00:00,0.0,4987.385254,0.0,160.78605225,0.0,770.679184,745.1615127499999,0.0,745.1615127499999,160.78605225,770.679184,4987.385254,6664.012003
2026-01-02 00:00:00+00:00,0.0,4761.8394775,0.0,182.7362865,0.0,560.75320425,828.80378575,0.0,828.80378575,182.7362865,560.75320425,4761.8394775,6334.132754
2026-01-02 01:00:00+00:00,0.0,4412.5562745,0.0,186.29255125,0.0,805.10301225,868.92789875,0.0,868.92789875,186.29255125,805.10301225,4412.5562745,6272.879736749999
2026-01-02 02:00:00+00:00,0.0,4244.78869625,0.0,194.64218175000002,0.0,899.3448637500001,877.59940225,0.0,877.59940225,194.64218175000002,899.3448637500001,4244.78869625,6216.375144
2026-01-02 03:00:00+00:00,0.0,4538.14367675,0.0,200.092246,0.0,502.28424824999996,892.00507275,0.0,892.00507275,200.092246,502.28424824999996,4538.14367675,6132.52524375
2026-01-02 04:00:00+00:00,0.0,4839.6588135,0.0,171.5030475,0.0,451.90316,854.3967595,0.0,854.3967595,171.5030475,451.90316,4839.6588135,6317.4617805
2026-01-02 05:00:00+00:00,0.0,5809.9316405,0.0,157.1994105,37.041042250000004,22.646530249999998,725.99898075,0.0,725.99898075,157.1994105,-14.394512000000006,5809.9316405,6678.73551975
2026-01-02 06:00:00+00:00,0.0,6626.5635985,0.0,147.444938,3.284645,51.181279,655.86442175,0.0,655.86442175,147.444938,47.896634000000006,6626.5635985,7477.76959225
2026-01-02 07:00:00+00:00,0.0,6672.62597675,0.0,93.964186,36.8848115,104.9575615,562.34647425,0.0,562.34647425,93.964186,68.07275,6672.62597675,7397.009387
