,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14.353149643226732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.76832085951156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.67853089257268,0.0,0.0,0.0,45.387670877146746,43.45147689791363,201.37648885495358,413.31857616266234,0.0,1.2992340517892926,37.70720670369409,2.9980219141341116,13.87491657203099,0.0,0.0,0.0,0.0,40.38640657036437,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,1.5040738198696835,0.0,0.0,1.7612616661496632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652893709906833,0.0,0.02979320698922761,0.0,0.0,0.0,0.0,0.0,0.4443213950447506,0.0,1.9172331308473216,0.0,0.0,0.0,0.0,4.255275179872222,22.708060278465073,51.005567754652404,0.0,0.6626975500576843,3.2730656154003346,0.0,1.7513574378802717,0.0,0.0,0.0,0.0,4.934399254864507,0.0
2026-01-01 02:00:00+00:00,0.0,0.0,39.34737296899743,0.0,0.0,8.577718692745483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3777125153435762,0.0,12.720959924650234,0.0,2.2145881162775995,0.0,10.211159658222524,0.0,0.0,0.0,0.0,0.0,8.766243623649418,0.0,0.0,0.0,8.729797679186442,14.38190101185843,89.3064796585423,222.75595592387407,0.0,0.0,10.363901298199178,0.0,8.114192544529985,0.0,0.0,0.0,0.0,20.03201638392335,0.0
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 07:00:00+00:00,0.0,0.0,9.573959227184396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.88231419354796,0.0,1.924110901083158,10.335380891459193,0.0,13.523594281971903,0.0,0.0,0.0,0.0,0.0,14.314617652417201,7.301754188725814,0.0,0.0,0.0,37.83426956437523,27.633192710171123,139.77541927894114,403.2338932749439,0.0,0.0,24.03658541045416,0.0,17.98029559986536,0.0,0.0,0.5920341234102009,0.0,34.458578701449284,0.0
2026-01-01 08:00:00+00:00,3.696390076921099,0.0,133.46809217325045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.64375739975134,0.0,6.504005721043646,61.21908678567019,0.0,64.75443397391324,0.0,0.0,0.0,0.0,0.0,39.75784296052124,0.8826973426597391,0.0,0.0,0.0,0.0,82.7243895143254,398.0478848184342,1084.6967803281677,0.0,0.0,90.0184169534122,0.0,78.62235367063984,0.0,0.0,15.891590712944788,0.0,47.87227756834515,0.0
2026-01-01 09:00:00+00:00,0.0,0.0,412.57598610314153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.41730532898754,0.0,17.57056163565699,99.7172510843127,0.0,70.33381383041743,0.0,0.0,0.0,0.0,0.0,72.39253862755164,0.0,0.0,0.0,0.0,102.77558792167392,105.4253531711646,523.6935745033767,1401.2736115337884,0.0,0.0,126.27440429589944,0.0,147.14527235008373,0.0,0.0,16.223862081462258,0.0,45.18087753248292,0.0
