,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,10.13144372051921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.012308968361324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.302203428589145,0.0,0.0,0.0,32.037750913734904,30.671051560616576,142.14542551171093,291.74877968427217,0.0,0.9170890712267498,26.616349168821003,2.1162108004821567,9.79387380962532,0.0,0.0,0.0,0.0,28.507513362040566,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,9.090597834449985,0.0,0.0,10.645037016592127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.122014308360058,0.0,0.18006966104965427,0.0,0.0,0.0,0.0,0.0,2.685471323437813,0.0,11.587726025925043,0.0,0.0,0.0,0.0,25.718814345486567,137.2471489530081,308.27682634321013,0.0,4.005333271455823,19.7823556279631,0.0,10.585176021162109,0.0,0.0,0.0,0.0,29.823429267899492,0.0
2026-01-01 02:00:00+00:00,0.0,0.0,49.99334457620479,0.0,0.0,10.898538172346614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4799078186285732,0.0,16.162790165285475,0.0,2.813775315538056,0.0,12.973929002029825,0.0,0.0,0.0,0.0,0.0,11.138071109890163,0.0,0.0,0.0,11.091764215110214,18.273121651939014,113.46957302524815,283.02563603620104,0.0,0.0,13.167996988334885,0.0,10.309598665099788,0.0,0.0,0.0,0.0,25.451953258143455,0.0
2026-01-01 03:00:00+00:00,0.0,0.0,52.67872543721445,0.0,0.0,11.491492740555506,5.248895766718693,0.0,0.0,0.0,0.0,0.0,0.0,9.404495893822558,0.0,14.018140685697354,0.0,3.286616272391551,0.0,14.866487856198644,0.0,0.0,0.0,0.0,2.260165544677672,9.734682841199053,0.0,0.0,0.0,0.0,17.032891074787063,115.96156619391009,309.40221738742576,0.0,0.0,8.520258837736874,0.0,7.442665023065225,0.0,0.0,0.0,0.0,27.150698444599602,0.0
2026-01-01 04:00:00+00:00,0.0,0.0,29.938870686368002,0.0,0.0,8.893177610106466,17.36207787226736,0.0,0.0,0.0,0.0,0.0,0.0,20.675624202349262,0.0,6.146472646293879,0.0,2.9187208302331635,0.0,13.433457439177856,0.0,0.0,0.0,0.0,4.880470016508631,8.113770731486138,0.0,0.0,0.0,0.0,16.283030452140213,110.02442139892977,297.2118311347843,0.0,0.0,7.025332867038266,0.0,5.915979922057863,0.0,0.0,0.0,0.0,25.426762190258792,0.0
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,10.709786245997929,24.105756641341713,0.0,0.0,0.0,0.0,0.0,0.0,39.97276226970999,0.0,3.2857869309081997,0.0,0.0,0.0,12.451403106599491,0.0,0.0,0.0,0.0,6.7790064667929215,7.496623421864872,0.0,0.0,0.0,0.0,18.796026634743548,112.60957826354577,341.45857842739287,0.0,0.0,0.8138438965490252,0.0,6.513474576396279,0.0,0.0,3.853616665756405,0.0,26.15375645240095,0.0
2026-01-01 06:00:00+00:00,0.0,0.0,20.128843408569153,0.0,0.0,5.995275174771552,16.078722250897883,0.0,0.0,0.0,0.0,0.0,0.0,52.25686200191635,0.0,1.1227506102876768,0.0,0.0,0.0,7.793806992878112,0.0,0.0,0.0,0.0,9.908413655182244,11.68969580281894,0.0,0.0,0.0,0.7706543954030634,24.474745680473458,125.64304829965324,384.13240434987,0.0,0.0,3.2591730323036736,0.0,11.988520976546669,0.0,0.0,0.0,0.0,29.507083368428024,0.0
2026-01-01 07:00:00+00:00,0.0,0.0,7.182835113303342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.1782620385866,0.0,1.4435586171024806,7.754089506225099,0.0,10.146037345845611,0.0,0.0,0.0,0.0,0.0,10.73950033287663,5.478119880286324,0.0,0.0,0.0,28.385050893213315,20.73172260100249,104.86610249213862,302.52505768619926,0.0,0.0,18.033378416726325,0.0,13.489664570074426,0.0,0.0,0.44417188218537745,0.0,25.852448624234096,0.0
2026-01-01 08:00:00+00:00,0.8490708256488181,0.0,30.65798275102697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.250793543884114,0.0,1.4939877536385462,14.062190266962228,0.0,14.874269104317257,0.0,0.0,0.0,0.0,0.0,9.13248435528315,0.20275797357252784,0.0,0.0,0.0,0.0,19.002016628268848,91.43267868851811,249.1577922476689,0.0,0.0,20.677474513159922,0.0,18.059767869842297,0.0,0.0,3.6503414863488004,0.0,10.99639199185953,0.0
2026-01-01 09:00:00+00:00,0.0,0.0,73.00118289980183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.55538996926522,0.0,3.108934661301826,17.643967486880218,0.0,12.44486295959875,0.0,0.0,0.0,0.0,0.0,12.80913366491891,0.0,0.0,0.0,0.0,18.185109517326932,18.65395890297986,92.66232573753011,247.9413117918863,0.0,0.0,22.342989398476497,0.0,26.035880180831068,0.0,0.0,2.8706496816174436,0.0,7.994303147585008,0.0
