,BE,NL,FR,CH,AT,CZ,GB,NO_2,HU,IT_NORD,ES,SI,RS,PL,ME,DK_1,RO,LT,BG,SE_3,LV,BA,NO_1,SE_4,NO_5,SK,EE,DK_2,FI,NO_4,SE_1,SE_2,DE_LU,MK,PT,GR,NO_3,IT_SUD,IT_CSUD,IT_CNOR,IT_SARD,IT_SICI,IT_CALA,HR
2026-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,2.76581908630386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.012148391322718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.177403287507704,0.0,0.0,0.0,8.746100299604278,8.373000151158692,38.80478851348996,79.6455436674199,0.0,0.2503594282325674,7.266092431600695,0.5777119613033754,2.6736646680128837,0.0,0.0,0.0,0.0,7.78236811404342,0.0
2026-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.3108450154326232,0.6996548878828457,0.0,0.0,0.0,0.0,0.0,0.0,1.1601850512428036,0.0,0.09536796214099422,0.0,0.0,0.0,0.3613943828500833,0.0,0.0,0.0,0.0,0.19675652915813627,0.2175849237077856,0.0,0.0,0.0,0.0,0.5455432120815817,3.2684243447224306,9.910627032404829,0.0,0.0,0.023621322851057103,0.0,0.18904962794906296,0.0,0.0,0.11184887395732018,0.0,0.7590968336184676,0.0
2026-01-01 06:00:00+00:00,0.0,0.0,2.2092458852824755,0.0,0.0,0.6580128198206169,1.7647238965689276,0.0,0.0,0.0,0.0,0.0,0.0,5.735464031001392,0.0,0.12322775410535909,0.0,0.0,0.0,0.8554110974091836,0.0,0.0,0.0,0.0,1.0875002429632448,1.2830052789613982,0.0,0.0,0.0,0.0845833522304746,2.686231398913973,13.789981959529168,42.160541293313166,0.0,0.0,0.3577112934355292,0.0,1.315802905336481,0.0,0.0,0.0,0.0,3.238556791128639,0.0
2026-01-01 07:00:00+00:00,0.0,0.0,1.322422339509779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23825392493039,0.0,0.26577168117259325,1.42759523556355,0.0,1.8679736109765976,0.0,0.0,0.0,0.0,0.0,1.9772353021253304,1.0085694567575312,0.0,0.0,0.0,5.225934441928773,3.816890221147925,19.306760409421315,55.697491065157784,0.0,0.0,3.3201016171099256,0.0,2.483564428051577,0.0,0.0,0.08177590189925925,0.0,4.759660364247626,0.0
2026-01-01 08:00:00+00:00,0.16860923964397995,0.0,6.088089479130139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78736193458966,0.0,0.2966774167348445,2.7924822488508703,0.0,2.953745586562148,0.0,0.0,0.0,0.0,0.0,1.813536864876,0.04026385870659751,0.0,0.0,0.0,0.0,3.7734373607129883,18.15678264590344,49.47797596290035,0.0,0.0,4.106151277495047,0.0,3.5863247643139977,0.0,0.0,0.7248880586420177,0.0,2.183673300937856,0.0
2026-01-01 09:00:00+00:00,0.0,0.0,6.7232367867173695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.471836908216149,0.0,0.286325550519564,1.6249677958541724,0.0,1.1461425299158794,0.0,0.0,0.0,0.0,0.0,1.1796910028179348,0.0,0.0,0.0,0.0,1.6748057006855495,1.717985623418831,8.533981675289281,22.834810097175783,0.0,0.0,2.057736632230396,0.0,2.397843164357879,0.0,0.0,0.2643800658370057,0.0,0.7362564669641796,0.0
2026-01-01 10:00:00+00:00,0.0,0.0,2.8729361242316727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0081926024404706,0.0,0.13015077996199007,0.7715876553115588,0.0,0.05082666893124559,0.0,0.0,0.0,0.0,0.0,0.5791220852086867,0.0,0.0,0.0,0.0,0.8657787467312447,0.7960304663958918,3.865156094889756,10.106872333385049,0.0,0.0,0.9351244395899142,0.0,1.2655624892017627,0.0,0.0,0.0,0.0,0.3026595137207124,0.0
